Huidige naam;Identificatie;Meetobject.Namespace;Namespace;Begindatum;Resultaatdatum;Eenheid.code;GeometriePunt.X_RD;GeometriePunt.Y_RD;Meetobject.lokaalID;GeoObject.lokaalID;Orgaan.code;Organisme.naam;BeginDiepte_m;EindDiepte_m;Referentievlak.code;Monsterbewerkingsmethode.codespace;Bemonsteringsmethode.codespace;Bemonsteringsapparaat.codespace;Tijd_UTCoffset;GerelateerdMonsterobjectRol.id;Referentiehorizontaal.code;Typering.code;Grootheid.code;Parameter.code;Biotaxon.naam;Numeriekewaarde;Alfanumeriekewaarde;Waardebewerkingsmethode.codespace;Waardepalingsmethode.codespace;GerelateerdObservatieobjectRol.id;Meetapparaat.codespace;Meetinstantie.codespace;Monstertype.id;MonsterCompartiment.code;Monsterbewerkingsmethode.code;Bemonsteringsmethode.code;Bemonsteringssoort.code;Monstercriterium.code;Bemonsteringsapparaat.code;Monsterophaaldatum;Monsterophaaltijd;GerelateerdMonsterobject;GeometriePunt.X;GeometriePunt.Y;Monster.Opmerking;Meetwaarde.lokaalID;Begintijd;Einddatum;Eindtijd;Resultaattijd;Hoedanigheid.code;AnalyseCompartiment.code;Levensstadium.code;Lengteklasse.code;Geslacht.code;Verschijningsvorm.code;Levensvorm.code;Gedrag.code;Limietsymbool;Waardebewerkingsmethode.code;Waardebepalingsmethode.code;Waardebepalingstechniek.code;Kwaliteitsoordeel.code;GerelateerdObservatieobject;Meetapparaat.code;Meetinstantie.code;LocatieTypeWaardeBepaling.id;Volgnummer;MeetwaardeOpmerking;Recovery;Spread;MeasurementUncertainty;Z-score;Drift;AutomatedControl.code;ExpertControl.code;ValidationScore.code;Versie;Omschrijving;Plaatsbepaling.code;Plaatsbepaling.codespace;MeetobjectSoort.code;GerelateerdMeetobject;GerelateerdMeetobjectRol.id
Verplicht;J;J;J;J;J;J;J;J;C;C;C;C;N;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;C;N;N;C
caco3___0_;;NL80;NL80;2012-10-01;2012-10-01;%;;;;;;;0;0.1;;;;;;;;;MASSFTE;CaCo3;;;;;;;;;;OK;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caco3__10_;;NL80;NL80;2012-10-01;2012-10-01;%;;;;;;;0.1;0.2;;;;;;;;;MASSFTE;CaCo3;;;;;;;;;;OK;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caco3__20_;;NL80;NL80;2012-10-01;2012-10-01;%;;;;;;;0.2;0.3;;;;;;;;;MASSFTE;CaCo3;;;;;;;;;;OK;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ph;;NL80;NL80;2012-10-01;2012-10-01;DIMSLS;;;;;;;0;0.1;;;;;;;;;pH;;;;;;;;;;;OK;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n_nh4;;NL80;NL80;2012-10-01;2012-10-01;mg/kg;;;;;;;0;0.1;;;;;;;;;MASSFTE;NH4;;;;;;;;;;OK;;;;;42;;;;;;Gemeten pH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n__no3_no2;;NL80;NL80;2012-10-01;2012-10-01;mg/kg;;;;;;;0;0.1;;;;;;;;;MASSFTE;NOx;;;;;;;;;;OK;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nts;;NL80;NL80;2012-10-01;2012-10-01;mg/kg;;;;;;;0;0.1;;;;;;;;;MASSFTE;Ntot;;;;;;;;;;OK;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
p_po4;;NL80;NL80;2012-10-01;2012-10-01;mg/kg;;;;;;;0;0.1;;;;;;;;;MASSFTE;PO4;;;;;;;;;;OK;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organische;;NL80;NL80;2012-10-01;2012-10-01;%;;;;;;;0;0.1;;;;;;;;;MASSFTE;OSTOF;;;;;;;;;;OK;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ph1;;NL80;NL80;2012-10-01;2012-10-01;DIMSLS;;;;;;;0;0.1;;;;;;;;;pH;;;;;;;;;;;OK;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PH op 20 graden celsius;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
