--- http://localhost:8080/opendap/data/nc/coads.nc.dods?SST ---
Lookup time;Connect time;Pretransfer time;Starttransfer time;Total time;Response
0.008;0.009;0.009;0.095;0.096;200
0.008;0.008;0.008;0.094;0.095;200
0.001;0.001;0.001;0.090;0.093;200
0.001;0.001;0.001;0.090;0.090;200
0.001;0.001;0.001;0.087;0.087;200
0.001;0.001;0.001;0.107;0.108;200
0.001;0.001;0.001;0.091;0.092;200
0.001;0.002;0.002;0.082;0.082;200
0.001;0.001;0.001;0.091;0.092;200
0.001;0.001;0.001;0.082;0.083;200
0.001;0.001;0.001;0.091;0.092;200
0.001;0.006;0.006;0.086;0.087;200
0.001;0.001;0.001;0.083;0.085;200
0.001;0.001;0.001;0.082;0.083;200
0.001;0.001;0.001;0.090;0.091;200
0.001;0.001;0.001;0.090;0.091;200
0.001;0.001;0.001;0.083;0.084;200
0.001;0.001;0.001;0.082;0.085;200
0.001;0.001;0.001;0.096;0.096;200
0.001;0.001;0.001;0.088;0.089;200
--- http://localhost:8080/opendap/data/nc/coads.nc.dods?SST ---
0.001;0.001;0.001;0.141;2.622;200
0.001;0.001;0.001;0.137;2.284;200
0.001;0.001;0.001;0.145;2.504;200
0.001;0.001;0.001;0.129;2.322;200
0.001;0.006;0.006;0.139;2.517;200
