Server;Url;Lookup;Connect;Pretransfer;Starttransfer;Total;Response
hyrax 1.4.2;COADSX;0.001;0.002;0.002;1.365;1.444;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.362;1.441;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.373;1.452;200
hyrax 1.4.2;COADSX;0.001;0.006;0.006;1.366;1.445;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.362;1.441;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.361;1.440;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.371;1.450;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.361;1.440;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.366;1.445;200
hyrax 1.4.2;COADSX;0.001;0.005;0.005;1.365;1.444;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.364;1.443;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.362;1.441;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.360;1.440;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.361;1.441;200
hyrax 1.4.2;COADSX;0.001;0.007;0.007;1.367;1.446;200
hyrax 1.4.2;COADSX;0.001;0.002;0.002;1.362;1.441;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.364;1.443;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.360;1.439;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.362;1.441;200
hyrax 1.4.2;COADSX;0.001;0.001;0.001;1.372;1.450;200
hyrax 1.4.2;SST;0.001;0.001;0.001;1.409;3.666;200
hyrax 1.4.2;SST;0.001;0.001;0.001;1.424;3.448;200
hyrax 1.4.2;SST;0.001;0.001;0.001;1.418;3.485;200
hyrax 1.4.2;SST;0.001;0.001;0.001;1.412;3.475;200
hyrax 1.4.2;SST;0.001;0.001;0.001;1.429;3.542;200
hyrax 1.5.0;COADSX;0.008;0.009;0.009;0.095;0.096;200
hyrax 1.5.0;COADSX;0.008;0.008;0.008;0.094;0.095;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.090;0.093;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.090;0.090;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.087;0.087;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.107;0.108;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.091;0.092;200
hyrax 1.5.0;COADSX;0.001;0.002;0.002;0.082;0.082;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.091;0.092;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.082;0.083;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.091;0.092;200
hyrax 1.5.0;COADSX;0.001;0.006;0.006;0.086;0.087;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.083;0.085;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.082;0.083;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.090;0.091;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.090;0.091;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.083;0.084;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.082;0.085;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.096;0.096;200
hyrax 1.5.0;COADSX;0.001;0.001;0.001;0.088;0.089;200
hyrax 1.5.0;SST;0.001;0.001;0.001;0.141;2.622;200
hyrax 1.5.0;SST;0.001;0.001;0.001;0.137;2.284;200
hyrax 1.5.0;SST;0.001;0.001;0.001;0.145;2.504;200
hyrax 1.5.0;SST;0.001;0.001;0.001;0.129;2.322;200
hyrax 1.5.0;SST;0.001;0.006;0.006;0.139;2.517;200
