Lookup time;Connect time;Pretransfer time;Starttransfer time;Total time
0.001;0.003;0.003;0.058;0.058
0.001;0.001;0.001;0.044;0.044
0.001;0.001;0.001;0.047;0.048
0.001;0.001;0.001;0.044;0.044
0.001;0.001;0.001;0.043;0.043
0.001;0.001;0.001;0.044;0.044
0.001;0.001;0.001;0.044;0.044
0.001;0.001;0.001;0.044;0.044
0.001;0.001;0.001;0.047;0.048
0.001;0.001;0.001;0.044;0.044
0.001;0.002;0.002;0.044;0.044
0.001;0.001;0.001;0.043;0.043
0.001;0.001;0.001;0.044;0.044
0.001;0.001;0.001;0.044;0.044
0.001;0.001;0.001;0.043;0.044
0.001;0.001;0.001;0.043;0.044
0.001;0.001;0.001;0.043;0.043
0.001;0.001;0.001;0.043;0.043
0.001;0.001;0.001;0.047;0.047
0.001;0.001;0.001;0.043;0.044
