Lookup time;Connect time;Pretransfer time;Starttransfer time;Total time
0.001;0.001;0.001;0.367;0.368
0.001;0.001;0.001;0.416;0.416
0.001;0.001;0.001;0.401;0.401
0.001;0.001;0.001;0.403;0.403
0.001;0.001;0.001;0.399;0.399
0.001;0.001;0.001;0.399;0.399
0.001;0.001;0.001;0.404;0.405
0.001;0.001;0.001;0.401;0.401
0.001;0.001;0.001;0.399;0.399
0.001;0.001;0.001;0.400;0.400
0.001;0.001;0.001;0.401;0.401
0.001;0.001;0.001;0.406;0.407
0.001;0.001;0.001;0.402;0.402
0.001;0.001;0.001;0.399;0.399
0.001;0.001;0.001;0.403;0.403
0.001;0.001;0.001;0.404;0.404
0.001;0.001;0.001;0.401;0.401
0.001;0.001;0.001;0.403;0.403
0.001;0.001;0.001;0.399;0.399
0.001;0.001;0.001;0.402;0.403
