Lookup time;Connect time;Pretransfer time;Starttransfer time;Total time;Response
0.001;0.002;0.002;0.178;0.178;200
0.001;0.001;0.001;0.127;0.127;200
0.001;0.001;0.001;0.136;0.136;200
0.001;0.001;0.001;0.124;0.125;200
0.001;0.001;0.001;0.130;0.130;200
0.001;0.001;0.001;0.127;0.127;200
0.001;0.001;0.001;0.134;0.135;200
0.001;0.001;0.001;0.127;0.127;200
0.001;0.001;0.001;0.124;0.124;200
0.001;0.001;0.001;0.127;0.127;200
0.001;0.001;0.001;0.131;0.131;200
0.001;0.001;0.001;0.124;0.124;200
0.001;0.002;0.002;0.129;0.129;200
0.001;0.001;0.001;0.129;0.131;200
0.001;0.001;0.001;0.124;0.124;200
0.001;0.002;0.002;0.133;0.134;200
0.001;0.001;0.001;0.127;0.128;200
0.001;0.001;0.001;0.127;0.127;200
0.001;0.001;0.001;0.128;0.128;200
0.001;0.001;0.001;0.132;0.133;200
