Lookup time;Connect time;Pretransfer time;Starttransfer time;Total time;Response
0.001;0.002;0.002;0.219;0.219;200
0.001;0.001;0.001;0.228;0.229;200
0.001;0.001;0.001;0.229;0.229;200
0.001;0.001;0.001;0.227;0.227;200
0.001;0.001;0.001;0.237;0.237;200
0.001;0.001;0.001;0.226;0.227;200
0.001;0.001;0.001;0.227;0.227;200
0.001;0.001;0.001;0.231;0.231;200
0.001;0.001;0.001;0.224;0.224;200
0.001;0.001;0.002;0.231;0.231;200
0.001;0.001;0.001;0.227;0.227;200
0.001;0.001;0.001;0.223;0.223;200
0.001;0.002;0.002;0.227;0.227;200
0.001;0.001;0.001;0.223;0.223;200
0.001;0.001;0.001;0.227;0.227;200
0.001;0.001;0.001;0.236;0.236;200
0.001;0.001;0.001;0.227;0.227;200
0.001;0.001;0.001;0.223;0.224;200
0.001;0.002;0.002;0.227;0.227;200
0.001;0.001;0.001;0.230;0.231;200
