"Datatype","Extract","Transform read","Load","No Inspire URL","Inspire URL","Country"
"Water levels - Tides","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/arpa-simc/WP3","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/arpa-simc/WP3/sea_level/RMN_porto_corsini_20060101_20091111_SEA_LEVEL.xml","it"
"Waves - Nearshore","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/arpa-simc/WP3","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/arpa-simc/WP3/waves/Nausicaa_20090101_20091031.xml","it"
"Waves - Offshore","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/arpa-simc/WP3","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/arpa-simc/WP3/waves/swan_20090120_20090308.xml","it"
"Waves - Offshore","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/arpa-simc/WP3","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/arpa-simc/WP3/waves/swan_20090320_20090605.xml","it"
"Winds - punctual","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/arpa-simc/WP3","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/arpa-simc/WP3/wind/RMN_porto_corsini_20060101_20091111_WIND.xml","it"
"Storms - Historical records (up to 50-150 yr)","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/arpa-simc/storm_occurrence_review_50_years",,"it"
"Storms - Historical records (up to 50-150 yr)","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/arpa-simc/wave_storminess",,"it"
"Storms - Historical records (up to 50-150 yr)","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/brgm/historical%20storms",,"fr"
"Waves - Nearshore","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/brgm/sete_wavegauge","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/brgm/sete_wavegauge/metadata_wavegauge_sete_and_camargue_xls_file.xml","fr"
"Morphology - Bathymetry","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/brgm/topo-bathymetry","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/brgm/topo-bathymetry/metadata_topobathy.xml","fr"
"Waves - Nearshore","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/deltares/argus","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/deltares/argus/InspireDescription.xml","nl"
"Land boundaries","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/deltares/landboundaries","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/deltares/landboundaries/holland.xml","nl"
"Land boundaries","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/deltares/landboundaries","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/deltares/landboundaries/northsea.xml","nl"
"Unclear","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/fcul/pt","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/fcul/pt/PT readings.xml","pt"
"Storms - records","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/fcul/storms","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/fcul/storms/Historical Storms.xml","pt"
"Morphology - Bathymetry","Data included","Script found","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/bathymetrybaseline","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/bathymetrybaseline/InspireDescription.xml","be"
"Water levels - Surges","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/hydrodynamicmeasurementcampaign","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/hydrodynamicmeasurementcampaign/InspireDescription.xml","be"
"Storms - records","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/storms","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/storms/InspireDescription.xml","be"
"Water levels - Tides","Data missing","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/tide","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/tide/InspireDescription.xml","be"
"Morphology - Topography","Data missing","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/topography","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/topography/InspireDescription.xml","be"
"Water levels","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/waterlevels","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/waterlevels/InspireDescription.xml","be"
"Waves - Offshore","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/waves","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/waves/InspireDescription.xml","be"
"Winds - punctual","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/wind","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/imdc/wind/InspireDescription.xml","be"
"Morphology - Bathymetry","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Barthymetry",,"bg"
"Morphology - Topography","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/BeachTopography","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/BeachTopography/Shkorpilovtsi_Beach_Topography/inspire_decription.xml","bg"
"Morphology - Topography","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/PierProfiles","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/PierProfiles/inspire_description.xml","bg"
"Morphology - Shore Line","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Shorelines","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Shorelines/inspire_decription.xml","bg"
"Storms - Historical records (up to 50-150 yr)","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Storms",,"bg"
"Unclear","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/SynopticMaps_SM","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/SynopticMaps_SM/inspire_description.xml","bg"
"Unclear","Data missing","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/VoluntaryObservingShipsProgram_VOSP","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/VoluntaryObservingShipsProgram_VOSP/inspire_description.xml","bg"
"Waves - Nearshore","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Waves_ADCP",,"bg"
"Waves - Offshore","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Waves_Black%20Sea_hindcast","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Waves_Black%20Sea_hindcast/inspire_description.xml","bg"
"Waves - Offshore","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Waves_Westernshelf_hindcast","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Waves_Westernshelf_hindcast/inspire_description.xml","bg"
