ID;Name;Value_T;Freq_TminGT20;Freq_TmaxGT25;Value_ET;Range_T;T_effect
1;Adding green in streetscape: grass/herbs;0.5;0.0;0.0;;?;
2;Adding green in streetscape: Shrubbery;1.1;0.0;0.0;;0.6 tot 1.6;
3;Adding green in streetscape: Trees;1.1;0.0;0.0;;0.6 tot 1.6;
4;Artificial urban wetlands;4;0.0;0.0;;;
5;Bank infiltration;0;0.0;0.0;;?;
6;Bioswales/Infiltrating filter swales;0.5;0.0;0.0;;0.5;
7;Cooling with water elements: fountains;4;0.0;0.0;;4;
8;Cooling with water elements: ponds;4;0.0;0.0;;4;
9;Decentral Separator for road runoff treatment ;0;0.0;0.0;;;FALSE
10;Deep groundwater infiltration;0;0.0;0.0;;;FALSE
11;Ditches, Infiltration strips with above-ground storage;0.5;0.0;0.0;;0.5;
12;Extra intensive green roof;1;0.0;0.0;;1;
13;Floating  puri-plants (floatlands);0;0.0;0.0;;?;
14;Green facades;0.2;0.0;0.0;;0.1 tot 0.3;
15;Green roofs (extensive);0.5;0.0;0.0;;0.5;
16;Green roofs (intensive);0.5;0.0;0.0;;0.5;
17;Green shores and riverbanks;0.5;0.0;0.0;;0.5;
18;Helophyte filters (horizontal and vertical);4;0.0;0.0;;4;
19;Increase storage or discharge capacity of surface water ;0;0.0;0.0;;0;
20;Infiltration and Transport-sewer;0;0.0;0.0;;;FALSE
21;Infiltration boxes -silt;0;0.0;0.0;;;FALSE
22;Infiltration fields with above-ground storage;0.5;0.0;0.0;;;
23;Infiltration trenches, verges;0.5;0.0;0.0;;;
24;Infilttration shafts;0;0.0;0.0;;;FALSE
25;Parks and urban forests;1;0.0;0.0;;1;
26;Porous pavements;0;0.0;0.0;;;FALSE
27;Private green gardens;1;0.0;0.0;;1;
28;Rainwater retention ponds, with or without infiltration possibilities;4;0.0;0.0;;4;
29;Rainwater retention tank;0;0.0;0.0;;;FALSE
30;Rainwater storage below buildings;0;0.0;0.0;;;FALSE
31;Retention soil filter;0;0.0;0.0;;;FALSE
32;Seasonal storage (by realizing extra storage height of surface water);0;0.0;0.0;;;FALSE
33;"Shallow infiltration measures; infiltration boxes -sand";0;0.0;0.0;;;FALSE
34;Specific seasonal storage facilities (larger ones);0;0.0;0.0;;?;
35;Surface drains;0;0.0;0.0;;?;
36;Swales (subsurface storage);0.5;0.0;0.0;;0.5;
37;Systems for using precipitation in buildings (rainwater tank);0;0.0;0.0;;FALSE;
38;Tree pit bioretention;1.1;0.0;0.0;;?;
39;Urban farms/ urban agriculture;0.5;0.0;0.0;;0.5;
40;Water roofs/Blue roofs;4;0.0;0.0;;4;
41;Water squares;4;0.0;0.0;;4;
42;Green roofs with drainage delay;0.5;0.0;0.0;;;
43;Bioswales/Infiltrating filter swales on sandy soil;0.5;0.0;0.0;;;
44;Wet proofing (water resistant construction);0;0.0;0.0;;FALSE;
45;Raised curbs/ hollow roads;0;0.0;0.0;;FALSE;
46;Storage/settling tank and storage basins;0;0.0;0.0;;FALSE;assuming empty when not raining
47;Pumping station (Increased capacity);0;0.0;0.0;;FALSE;
48;Sewer system (increase capacity);0;0.0;0.0;;FALSE;
49;Reconstruct combined sewer systems to separated sewer systems;0;0.0;0.0;;FALSE;
50;Smart-drain (groundwater);0;0.0;0.0;;FALSE;
51;Improve soil infiltration capacity;0;0.0;0.0;;?;Possitive effect if ET continues for longer period
52;Use of treated wastewater;0;0.0;0.0;;FALSE;
53;Use of groundwater (aquifer storage and recovery);0;0.0;0.0;;FALSE;
54;Water inlet systems;0;0.0;0.0;;;Possibly if water is available to vegetation, or water surface is increased
55;Disconnecting paved surfaces from sewer system;0;0.0;0.0;;FALSE;
56;Smart irrigation measures;0;0.0;0.0;;;Possibly if used 
57;Building without a crawlspace;0;0.0;0.0;;FALSE;
58;Reconstructing (wooden) foundations;0;0.0;0.0;;FALSE;
59;Replacing leaking/draining sewers;0;0.0;0.0;;FALSE;Possibly rising groundwater level is available to vegetation
60;Green ventilation grids;1.1;0.0;0.0;;;same as park
61;Wetting surfaces (of gardens, roofs, roads);2;0.0;0.0;;;Cooling with water elements: ponds, estimation based on Slingerland
62;Cool paving and building materials;2;0.0;0.0;;?;Estimate
63;Gutter;0;0.0;0.0;;FALSE;
64;Inclination of roads;0;0.0;0.0;;FALSE;
65;Water circulation systems;0;0.0;0.0;;FALSE;
66;Increase height difference between street level and ground floor level;0;0.0;0.0;;FALSE;
68;Tree cells;;;;;;
69;French drain;0.0;;;;;
70;Infiltration Recreation Field;0.5;;;;;same as swale
71;Rainwater detention pond (wet pond);4;;;;;Cooling with water elements: ponds
72;Bioretention cell;0.5;;;;;same as infiltration fields
73;Green open space;0.5;;;;;same as swale
74;Cistern;0;;;;;no effect
