ast_id;name;city;neighbourhood;street;building;sand;peat;clay;bed_rock;sloping_area;flat_area_on_high_ground;flat_area_on_low_ground;red_space;grey_space;green_space_private_gardens;undeveloped_land_and_green_space_no_recreational_use;green_space_recreational_use_urban_farming;grey_green_space_sports_playground;blue_space;enables_multifunctional_land_use;low_slope_roofs;flat_roofs;very_low;low;medium;high;attenuation;infiltration;storage_harvesting;cooling;point;linear_conveyance;heatstress_threshold_capacity;heatstress_coping_capacity;drought_threshold_capacity;drought_coping_capacity;flood_threshold_capacity;flood_coping_capacity;multifunctional_landuse;type;show
20;Infiltration_and_Transport-sewer;0;4;10;4;10;4;4;0;0;10;4;0;10;3;6;4;10;0;5;0;0;1;0;0;0;0;4;0;0;0;1;0;0;1;0;1;0;;Blue_Grey;TRUE
11;Ditch_or_infiltration-strip;0;4;10;0;10;4;4;4;10;10;4;0;6;4;10;0;0;0;0;0;0;1;0;0;0;4;4;0;1;0;1;0;0;1;0;1;1;;Blue_Green;TRUE
19;Increase_area_of_surface_water_;10;10;4;0;4;10;10;4;4;10;10;0;1;1;10;8;0;10;2;0;0;0;1;0;0;0;0;5;2;1;1;1;1;0;1;1;1;;Blue_Green;TRUE
26;Porous_pavement;0;4;10;10;10;4;4;0;10;10;4;0;10;10;0;4;6;0;5;0;0;1;0;0;0;0;3;0;0;1;0;0;1;1;0;1;0;;Blue_Grey;TRUE
22;Infiltration_field;0;10;4;0;10;4;4;0;4;10;4;0;0;0;10;6;4;0;3;0;0;1;0;0;0;0;3;0;2;1;0;1;1;1;0;1;1;;Blue_Green;TRUE
28;Rainwater_retention_pond;0;10;4;2;10;10;10;10;0;10;10;0;0;2;10;8;0;10;1;0;0;0;0;0;1;0;1;5;5;1;0;1;1;0;1;1;1;;Blue_Green;TRUE
6;Bioswales;0;10;10;0;10;4;4;4;10;10;4;0;4;0;10;8;8;0;1;0;0;0;0;0;1;5;3;0;3;0;1;1;1;1;0;1;1;;Blue_Green;TRUE
21;Infiltration_boxes;0;4;10;10;10;4;4;0;4;10;4;0;10;5;0;0;10;0;5;0;0;0;1;0;0;0;5;0;2;1;0;0;0;1;0;1;0;;Blue_Grey;TRUE
23;Infiltration_trenche;0;4;10;0;10;4;4;0;4;10;4;0;10;10;6;0;5;0;0;0;0;0;1;0;0;3;3;0;2;0;1;0;0;1;0;1;1;;Blue_Green;TRUE
36;Swale;0;4;10;0;10;4;4;0;4;10;4;0;8;0;10;2;2;0;1;0;0;0;1;0;0;3;3;0;2;0;1;0;0;1;0;1;1;;Blue_Green;TRUE
14;Green_facades;0;0;0;10;10;10;10;10;10;10;10;10;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;;Blue_Green;TRUE
40;Water_roof;0;0;0;10;10;10;10;10;10;10;10;10;0;0;0;0;0;0;4;0;1;0;0;0;0;1;0;0;3;0;0;1;1;0;0;0;0;;Blue_Grey;TRUE
30;Rainwater_storage_below_buildings;0;0;4;10;10;10;10;10;4;10;10;10;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;4;0;1;0;0;0;0;1;1;0;;Blue_Grey;TRUE
67;Lowering_embankments;0;0;10;0;4;10;10;4;4;10;10;0;0;0;0;0;0;10;2;0;0;1;0;0;0;0;0;3;2;1;0;0;0;1;1;1;1;;Blue_Green;FALSE
34;Specific_seasonal_storage_facility;10;4;0;0;10;4;4;10;4;10;10;5;8;0;6;4;3;0;3;0;0;1;0;0;0;0;0;5;0;1;0;0;0;1;1;1;0;;Blue_Green;TRUE
41;Water_squares;0;10;4;0;10;4;10;4;0;10;10;0;10;0;0;0;10;0;4;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;1;1;;Blue_Grey;TRUE
4;Artificial_urban_wetland;10;4;0;0;10;10;10;4;0;10;10;0;0;0;0;7;0;10;2;0;0;0;0;0;1;0;1;2;5;0;0;1;1;0;1;1;1;;Blue_Green;TRUE
18;Helophyte_filter;0;10;10;4;10;10;10;4;0;10;10;0;0;5;10;7;3;8;0;0;0;0;1;0;0;0;5;5;5;1;0;1;1;1;1;1;1;;Blue_Green;TRUE
29;Rainwater_tank;0;0;0;10;10;10;10;10;10;10;10;10;10;10;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;;Blue_Grey;TRUE
37;Systems_for_rainwater_harvesting;0;0;4;10;10;10;10;10;10;10;10;10;0;8;0;0;0;0;1;0;0;1;0;0;0;0;0;3;0;1;0;0;0;1;1;0;0;;Blue_Grey;TRUE
1;Adding_grass_herbs_in_streetscape;0;4;10;10;10;10;10;10;10;10;10;0;10;0;7;0;9;0;2;0;0;1;0;0;0;2;2;0;2;0;0;1;1;0;0;1;0;;Blue_Green;TRUE
2;Adding_shrubbery_in_streetscape;0;4;10;10;10;10;10;10;10;10;10;0;10;0;7;0;9;0;0;0;0;0;1;0;0;3;2;0;3;0;0;1;1;0;0;1;0;;Blue_Green;TRUE
3;Adding_trees_in_streetscape;4;10;10;4;10;10;10;10;10;10;10;0;10;0;7;0;9;0;4;0;0;0;0;0;1;1;0;0;3;0;0;1;1;0;0;1;0;;Blue_Green;TRUE
25;Park_or_urban_forest;10;10;4;0;10;10;10;10;10;10;10;0;7;0;6;3;8;0;4;0;0;0;0;0;1;4;1;0;5;0;0;1;1;0;0;1;1;;Blue_Green;TRUE
27;Private_green_garden;0;4;4;10;10;10;10;10;10;10;10;0;8;10;4;0;0;0;4;0;0;0;0;1;0;4;2;0;2;0;0;1;1;0;0;1;1;;Blue_Green;TRUE
17;Green_shores_and_riverbanks;10;10;4;0;10;10;10;10;10;10;10;0;0;0;0;0;0;6;2;0;0;0;1;0;0;4;3;0;2;1;0;1;1;1;0;1;1;;Blue_Green;TRUE
7;Cooling_with_water_elements;0;4;10;10;10;10;10;10;10;10;10;0;10;8;6;9;9;7;2;0;0;1;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;;Blue_Green;TRUE
