DataTimeStamp;Hsig;PeakPeriod;MeanMagneticDirection
2010/01/01 00:00:00;0;28.6;317.9
2010/01/01 01:00:00;0;28.6;298.2
2010/01/01 02:00:00;0;28.6;325.7
2010/01/01 03:00:00;0;28.6;25.8
2010/01/01 04:00:00;0;28.6;332.2
2010/01/01 05:00:00;0;28.6;97.6
2010/01/01 06:00:00;0;28.6;203.7
2010/01/01 07:00:00;0;28.6;126.1
2010/01/01 08:00:00;0;28.6;77.2
2010/01/01 09:00:00;0;28.6;176.6
2010/01/01 10:00:00;0;28.6;274.3
2010/01/01 11:00:00;0;28.6;43.9
2010/01/01 12:00:00;0;28.6;111.5
2010/01/01 13:00:00;0;28.6;27.2
2010/01/01 14:00:00;0;28.6;339.3
2010/01/01 15:00:00;0;25;234.2
2010/01/01 16:00:00;0;28.6;268.1
2010/01/01 17:00:00;0;28.6;228.9
2010/01/01 18:00:00;0;28.6;43
2010/01/01 19:00:00;0;28.6;65.8
2010/01/01 20:00:00;0;28.6;207.1
2010/01/01 21:00:00;0;28.6;66
2010/01/01 22:00:00;0;28.6;125.9
2010/01/01 23:00:00;0;28.6;62.3
2010/01/02 00:00:00;0;28.6;346.1
2010/01/02 01:00:00;0;28.6;225.9
2010/01/02 02:00:00;0;28.6;154.8
2010/01/02 03:00:00;0;28.6;195.9
2010/01/02 04:00:00;0;28.6;40.1
2010/01/02 05:00:00;0;28.6;355.7
2010/01/02 06:00:00;0;28.6;52.1
2010/01/02 07:00:00;0;28.6;61.7
2010/01/02 08:00:00;0;28.6;137.3
2010/01/02 09:00:00;0;28.6;46.5
2010/01/02 10:00:00;0;28.6;50.1
2010/01/02 11:00:00;0;28.6;295
2010/01/02 12:00:00;0;28.6;50.1
2010/01/02 13:00:00;0;28.6;350.7
2010/01/02 14:00:00;0;28.6;74.3
2010/01/02 15:00:00;0;28.6;167.6
2010/01/02 16:00:00;0;28.6;344.5
2010/01/02 17:00:00;0;28.6;18.4
2010/01/02 18:00:00;0;28.6;151.2
2010/01/02 19:00:00;0.24;10;183.1
2010/01/02 20:00:00;0.85;25;243.5
2010/01/02 21:00:00;2.55;33.3;184.5
2010/01/02 22:00:00;9.1;28.6;183.1
2010/01/02 23:00:00;0.93;11.1;215.8
2010/01/03 00:00:00;0.95;10.5;212.2
2010/01/03 01:00:00;1;11.1;209.3
2010/01/03 02:00:00;1.04;9.1;219.1
2010/01/03 03:00:00;1.05;16.7;223.1
2010/01/03 04:00:00;1;11.1;221.1
2010/01/03 05:00:00;1.06;9.1;215.5
2010/01/03 06:00:00;1.1;9.5;209.5
2010/01/03 07:00:00;1.05;11.1;208.9
2010/01/03 08:00:00;1.05;11.1;214.8
2010/01/03 09:00:00;1.05;11.1;211.4
2010/01/03 10:00:00;0.96;10.5;214.7
2010/01/03 11:00:00;0.87;11.1;209.1
2010/01/03 12:00:00;0.85;11.8;214.6
2010/01/03 13:00:00;0.96;11.8;204.2
2010/01/03 14:00:00;0.92;11.1;204.3
2010/01/03 15:00:00;1.04;11.8;204.4
2010/01/03 16:00:00;1.06;11.8;206.8
2010/01/03 17:00:00;1.09;11.8;201.2
2010/01/03 18:00:00;1.01;11.8;197.7
2010/01/03 19:00:00;1.07;11.8;204.8
2010/01/03 20:00:00;1.04;10.5;203.1
2010/01/03 21:00:00;1.08;11.1;211.5
2010/01/03 22:00:00;0.86;9.5;213.4
2010/01/03 23:00:00;0.83;10.5;208.8
2010/01/04 00:00:00;0.74;11.8;206.9
2010/01/04 01:00:00;0.9;10.5;204.4
2010/01/04 02:00:00;0.9;11.8;200.3
2010/01/04 03:00:00;1.04;11.8;195.4
2010/01/04 04:00:00;1.02;11.8;196.8
2010/01/04 05:00:00;1.05;11.8;198.9
2010/01/04 06:00:00;0.95;11.8;202.5
2010/01/04 07:00:00;0.96;10.5;206.7
2010/01/04 08:00:00;0.93;11.8;213
2010/01/04 09:00:00;0.92;10;206.2
2010/01/04 10:00:00;0.85;10;204.8
2010/01/04 11:00:00;0.88;11.8;209.2
2010/01/04 12:00:00;0.84;12.5;220.1
2010/01/04 13:00:00;0.79;12.5;191.4
2010/01/04 14:00:00;0.83;13.3;211.6
2010/01/04 15:00:00;1.01;13.3;207.5
2010/01/04 16:00:00;1.01;12.5;199.8
2010/01/04 17:00:00;1.1;11.8;204.6
2010/01/04 18:00:00;0.87;12.5;198.4
2010/01/04 19:00:00;0.95;11.1;198.1
2010/01/04 20:00:00;1.01;10;203.5
2010/01/04 21:00:00;1.04;11.1;209.3
2010/01/04 22:00:00;0.96;11.1;209.9
2010/01/04 23:00:00;0.93;10.5;204
2010/01/05 00:00:00;1;12.5;205.9
2010/01/05 01:00:00;1.05;13.3;205.1
2010/01/05 02:00:00;1.16;12.5;200.3
2010/01/05 03:00:00;1.09;11.8;198.5
