TOA5;voorbeeld FTP mini;CR200X.Std.01;CR2xx
TIMESTAMP;RECORD;batterij;waterstand
TS;RN;Vdc;mm
;;smp;smp
31-05-2000 22:00;1;11.3;0
28-04-2014 12:30;2;11.3;0
28-04-2014 12:45;3;11.3;0
28-04-2014 13:00;4;11.2;0
28-04-2014 13:15;5;11.3;0
28-04-2014 13:30;6;11.2;0
28-04-2014 13:45;7;11.2;0
28-04-2014 14:00;8;11.2;0
28-04-2014 14:15;9;11.2;-1503
29-04-2014 15:30;10;12.3;-369
29-04-2014 15:45;11;12.2;-375
29-04-2014 16:00;12;12.2;-377
29-04-2014 16:15;13;12.2;-378
29-04-2014 16:30;14;12.2;-379
29-04-2014 16:45;1;12.2;-379
29-04-2014 17:00;2;12.2;-379
29-04-2014 17:15;3;12.2;-379
29-04-2014 17:30;4;12.2;-379
29-04-2014 17:45;5;12.2;-379
29-04-2014 18:00;6;12.2;-379
29-04-2014 18:15;7;12.2;-379
29-04-2014 18:30;8;12.2;-379
29-04-2014 18:45;9;12.2;-379
29-04-2014 19:00;10;12.2;-378
29-04-2014 19:15;11;12.2;-378
29-04-2014 19:30;12;12.2;-378
29-04-2014 19:45;13;12.2;-378
29-04-2014 20:00;14;12.2;-378
29-04-2014 20:15;1;12.2;-378
29-04-2014 20:30;2;12.2;-378
29-04-2014 20:45;3;12.2;-378
29-04-2014 21:00;4;12.2;-378
29-04-2014 21:15;5;12.2;-378
29-04-2014 21:30;6;12.2;-378
29-04-2014 21:45;7;12.2;-378
29-04-2014 22:00;8;12.2;-378
29-04-2014 22:15;9;12.2;-377
29-04-2014 22:30;10;12.2;-377
29-04-2014 22:45;11;12.2;-377
29-04-2014 23:00;12;12.2;-377
29-04-2014 23:15;13;12.2;-376
29-04-2014 23:30;14;12.2;-376
29-04-2014 23:45;1;12.2;-376
30-04-2014 0:00;2;12.2;-376
30-04-2014 0:15;3;12.3;-376
30-04-2014 0:30;4;12.2;-375
30-04-2014 0:45;5;12.2;-375
30-04-2014 1:00;6;12.2;-375
30-04-2014 1:15;7;12.3;-375
30-04-2014 1:30;8;12.2;-375
30-04-2014 1:45;9;12.2;-374
30-04-2014 2:00;10;12.2;-374
30-04-2014 2:15;11;12.3;-374
30-04-2014 2:30;12;12.3;-374
30-04-2014 2:45;13;12.2;-373
30-04-2014 3:00;14;12.2;-373
30-04-2014 3:15;1;12.3;-373
30-04-2014 3:30;2;12.2;-373
30-04-2014 3:45;3;12.2;-373
30-04-2014 4:00;4;12.2;-372
30-04-2014 4:15;5;12.3;-372
30-04-2014 4:30;6;12.2;-372
30-04-2014 4:45;7;12.2;-372
30-04-2014 5:00;8;12.2;-372
30-04-2014 5:15;9;12.3;-372
30-04-2014 5:30;10;12.2;-372
30-04-2014 5:45;11;12.2;-372
30-04-2014 6:00;12;12.2;-372
30-04-2014 6:15;13;12.3;-371
30-04-2014 6:30;14;12.2;-372
30-04-2014 6:45;1;12.2;-372
30-04-2014 7:00;2;12.2;-371
30-04-2014 7:15;3;12.3;-372
30-04-2014 7:30;4;12.2;-372
30-04-2014 7:45;5;12.2;-372
30-04-2014 8:00;6;12.2;-372
30-04-2014 8:15;7;12.3;-372
30-04-2014 8:30;8;12.2;-372
30-04-2014 8:45;9;12.2;-371
30-04-2014 9:00;10;12.2;-371
30-04-2014 9:15;11;12.3;-371
30-04-2014 9:30;12;12.2;-371
30-04-2014 9:45;13;12.2;-371
30-04-2014 10:00;14;12.2;-371
30-04-2014 10:15;1;12.3;-371
30-04-2014 10:30;2;12.2;-371
30-04-2014 10:45;3;12.2;-371
30-04-2014 11:00;4;12.2;-371
30-04-2014 11:15;5;12.2;-371
30-04-2014 11:30;6;12.2;-371
30-04-2014 11:45;7;12.2;-372
30-04-2014 12:00;8;12.2;-372
30-04-2014 12:15;9;12.2;-372
30-04-2014 12:30;10;12.2;-373
30-04-2014 12:45;11;12.2;-372
30-04-2014 13:00;12;12.2;-372
30-04-2014 13:15;13;12.2;-372
30-04-2014 13:30;14;12.2;-373
30-04-2014 13:45;1;12.2;-373
30-04-2014 14:00;2;12.2;-373
30-04-2014 14:15;3;12.2;-373
30-04-2014 14:30;4;12.2;-373
30-04-2014 14:45;5;12.2;-374
30-04-2014 15:00;6;12.2;-374
30-04-2014 15:15;7;12.2;-374
30-04-2014 15:30;8;12.2;-374
30-04-2014 15:45;9;12.2;-374
30-04-2014 16:00;10;12.2;-374
30-04-2014 16:15;11;12.2;-374
30-04-2014 16:30;12;12.2;-374
