time,DIV_10_control,FIXIRR_30_forcing,FIXIRR_80_forcing,LOWFL_85_Q,PWS_15_forcing,QDV_15_QIn,QDV_15_QOut,QSW_10_QIn,QSW_10_QOut,QSW_20_QIn,QSW_20_QOut,QSW_25_QIn,QSW_25_QOut,QSW_30_QIn,QSW_30_QOut,QSW_35_QIn,QSW_35_QOut,QSW_40_QIn,QSW_40_QOut,QSW_45_QIn,QSW_45_QOut,QSW_50_QIn,QSW_50_QOut,QSW_55_QIn,QSW_55_QOut,QSW_5_QIn,QSW_5_QOut,QSW_60_QIn,QSW_60_QOut,QSW_65_QIn,QSW_65_QOut,QSW_70_QIn,QSW_70_QOut,QSW_75_QIn,QSW_75_QOut,QSW_80_QIn,QSW_80_QOut,QSW_85_QIn,QSW_85_QOut,RSV_40_V,RSV_40_release,RSV_70_V,RSV_70_release,TERM_20_Q,TERM_90_Q
1900-01-01 00:00:00,109.600000,-25.086791,-97.200399,8.999601,-1.389175,12.500000,12.500000,109.600000,109.600000,11.110825,11.110825,123.000000,123.000000,97.913209,97.913209,6.200000,6.200000,100.000000,100.000000,100.000000,100.000000,197.913209,197.913209,197.913209,197.913209,122.100000,122.100000,197.913209,197.913209,197.913209,197.913209,100.000000,100.000000,106.200000,106.200000,8.999601,8.999601,8.999601,8.999601,369824400.000000,100.000000,1618603800.000000,100.000000,11.110825,8.999601
1900-02-01 00:00:00,110.547517,-9.491767,-115.760554,19.777651,-1.389175,12.452483,12.452483,110.547517,110.547517,11.063308,11.063308,126.800000,126.800000,117.308233,117.308233,6.200000,6.200000,110.620731,110.620731,110.620731,110.620731,227.928964,227.928964,227.928964,227.928964,123.000000,123.000000,227.928964,227.928964,227.928964,227.928964,129.338205,129.338205,135.538205,135.538205,19.777651,19.777651,19.777651,19.777651,369628304.389878,110.620731,1882669287.537168,129.338205,11.063308,19.777651
1900-03-01 00:00:00,124.063838,-11.893300,-94.929064,22.240278,-1.389175,13.436162,13.436162,124.063838,124.063838,12.046987,12.046987,139.200000,139.200000,127.306700,127.306700,6.600000,6.600000,106.362371,106.362371,106.362371,106.362371,233.669071,233.669071,233.669071,233.669071,137.500000,137.500000,233.669071,233.669071,233.669071,233.669071,110.569342,110.569342,117.169342,117.169342,22.240278,22.240278,22.240278,22.240278,412451692.537308,106.362371,2180472152.220297,110.569342,12.046987,22.240278
1900-04-01 00:00:00,129.331417,-11.748608,-98.689709,20.567779,-1.389175,11.668583,11.668583,129.331417,129.331417,10.279408,10.279408,139.300000,139.300000,127.551392,127.551392,5.800000,5.800000,80.734811,80.734811,80.734811,80.734811,208.286204,208.286204,208.286204,208.286204,141.000000,141.000000,208.286204,208.286204,208.286204,208.286204,113.457488,113.457488,119.257488,119.257488,20.567779,20.567779,20.567779,20.567779,542612840.545895,80.734811,2434461384.708983,113.457488,10.279408,20.567779
1900-05-01 00:00:00,83.054397,-12.877029,-140.931004,19.333560,-1.389175,6.945603,6.945603,83.054397,83.054397,5.556428,5.556428,101.300000,101.300000,88.422971,88.422971,2.700000,2.700000,76.207398,76.207398,76.207398,76.207398,164.630369,164.630369,164.630369,164.630369,90.000000,90.000000,164.630369,164.630369,164.630369,164.630369,157.564564,157.564564,160.264564,160.264564,19.333560,19.333560,19.333560,19.333560,560360261.949380,76.207398,2452775951.383389,157.564564,5.556428,19.333560
1900-06-01 00:00:00,43.711205,-13.401160,-108.059504,18.999158,-1.388794,1.388795,1.388795,43.711205,43.711205,0.000000,0.000000,57.000000,57.000000,43.598840,43.598840,2.000000,2.000000,60.863579,60.863579,60.863579,60.863579,104.462419,104.462419,104.462419,104.462419,45.100000,45.100000,104.462419,104.462419,104.462419,104.462419,125.058662,125.058662,127.058662,127.058662,18.999158,18.999158,18.999158,18.999158,514419344.288655,60.863579,2397610972.499994,125.058662,0.000000,18.999158
1900-07-01 00:00:00,26.611205,-15.367799,-131.474896,18.999158,-1.388794,1.388795,1.388795,26.611205,26.611205,0.000000,0.000000,34.100000,34.100000,18.732201,18.732201,1.300000,1.300000,54.876961,54.876961,54.876961,54.876961,73.609161,73.609161,73.609161,73.609161,28.000000,28.000000,73.609161,73.609161,73.609161,73.609161,149.174054,149.174054,150.474054,150.474054,18.999158,18.999158,18.999158,18.999158,441154506.579982,54.876961,2201746770.818399,149.174054,0.000000,18.999158
1900-08-01 00:00:00,17.611205,-14.393234,-128.354860,11.999468,-1.388794,1.388795,1.388795,17.611205,17.611205,0.000000,0.000000,22.000000,22.000000,7.606766,7.606766,2.500000,2.500000,47.106362,47.106362,47.106362,47.106362,54.713128,54.713128,54.713128,54.713128,19.000000,19.000000,54.713128,54.713128,54.713128,54.713128,137.854328,137.854328,140.354328,140.354328,11.999468,11.999468,11.999468,11.999468,362154678.805235,47.106362,1979061381.348012,137.854328,0.000000,11.999468
1900-09-01 00:00:00,16.211205,-14.062945,-118.718741,4.999778,-1.388794,1.388795,1.388795,16.211205,16.211205,0.000000,0.000000,21.800000,21.800000,7.737055,7.737055,3.500000,3.500000,47.401289,47.401289,47.401289,47.401289,55.138344,55.138344,55.138344,55.138344,17.600000,17.600000,55.138344,55.138344,55.138344,55.138344,120.218520,120.218520,123.718520,123.718520,4.999778,4.999778,4.999778,4.999778,278615158.666948,47.401289,1804750637.619643,120.218520,0.000000,4.999778
1900-10-01 00:00:00,42.611205,-19.699789,-138.378048,12.999424,-1.388794,1.388795,1.388795,42.611205,42.611205,0.000000,0.000000,47.400000,47.400000,27.700211,27.700211,6.200000,6.200000,53.938144,53.938144,53.938144,53.938144,81.638355,81.638355,81.638355,81.638355,44.000000,44.000000,81.638355,81.638355,81.638355,81.638355,145.177472,145.177472,151.377472,151.377472,12.999424,12.999424,12.999424,12.999424,249255732.532251,53.938144,1640057248.759208,145.177472,0.000000,12.999424
1900-11-01 00:00:00,86.611205,-18.704797,-131.908276,13.999379,-1.388794,1.388795,1.388795,86.611205,86.611205,0.000000,0.000000,84.100000,84.100000,65.395203,65.395203,3.900000,3.900000,67.906400,67.906400,67.906400,67.906400,133.301603,133.301603,133.301603,133.301603,88.000000,88.000000,133.301603,133.301603,133.301603,133.301603,142.007656,142.007656,145.907656,145.907656,13.999379,13.999379,13.999379,13.999379,299354684.381214,67.906400,1616738956.789515,142.007656,0.000000,13.999379
1900-12-01 00:00:00,113.511205,-33.133135,-152.124131,12.999424,-1.388794,1.388795,1.388795,113.511205,113.511205,0.000000,0.000000,110.000000,110.000000,76.866865,76.866865,2.600000,2.600000,86.334463,86.334463,86.334463,86.334463,163.201327,163.201327,163.201327,163.201327,114.900000,114.900000,163.201327,163.201327,163.201327,163.201327,162.523555,162.523555,165.123555,165.123555,12.999424,12.999424,12.999424,12.999424,369796801.338151,86.334463,1618495743.695881,162.523555,0.000000,12.999424
