Cijfercode,Omschrijving
42,Akkermanboor
43,Akoestische zandtransportmeter
83,Aqualock
71,Automatisch monstername apparaat
54,Avegaarboor
12,Beeker-sampler
44,Begeman-sampler
45,Bodemschaaf
55,Boomkor
46,Box-corer
72,Continuous soil sampler
35,Dompelpomp
85,Doorstroomcentrifuge
73,Drukkend boorsysteem
41,Eckman-Birge happer
20,Edelmanboor
56,Elektrisch schepnet
33,Emmer
67,Flushing sampler
74,Foliesteektoestel
57,Fuik
24,Grindboor
31,Gutsboor
75,Hamerend boorsysteem
58,Handnet
76,Handpuls
77,Holle avegaar
78,Jenkins-mudsampler
79,Kernboor
59,Korf
60,Kuil
47,Modderpuls
61,Mosselkorf
80,Mostap
48,Multi-sampler
62,Pelagic trawl
13,Piston-corer
63,Planktonnet
49,Poliepgrijper
69,Pollepel
68,Pomp
26,Pulsboor
27,Ramguts
25,Riversideboor
70,Roset sampler
64,Schietfuik
50,Sedimentval
84,Siliconen rubber passive sampler
51,Slib sampler
65,Snoeischaar
28,Sondeerapparaat
81,Sonisch boorsysteem
86,Speeddisk passive sampler
23,Spiraal
29,Spitsmuisboor
34,Steekbuis
53,Steektoestel zonder folie
36,Vacuumpomp
14,Valbom
15,Van Veenhapper
82,Van der Horst-steektoestel
18,Veenboor
16,Vibro-corer
52,Vrijwitboor
32,Waterhapper
66,Werpkorf
17,Zuigerboor
