Code;Omschrijving;Groep;Titel;D_BEGIN;D_EIND;D_STATUS
"HH-W10A:2010";"HH-W10A:2010 Bemonstering van zoöplankton voor EBeo";"Voorschrift water";"Handboek Hydrobiologie - Werkvoorschrift 10A - Bemonstering van zoöplankton voor EBeo";13-06-2011;;"G"
"HH-W11A:2010";"HH-W11A:2010 Inventarisatie van vegetatie";"Voorschrift water";"Handboek Hydrobiologie - Werkvoorschrift 11A - Inventarisatie van vegetatie";13-06-2011;;"G"
"HH-W12A:2010";"HH-W12A:2010 Bemonstering van macrofauna";"Voorschrift water";"Handboek Hydrobiologie - Werkvoorschrift 12A - Bemonstering van macrofauna";13-06-2011;;"G"
"HH-W13A:2010";"HH-W13A:2010 Bestandsopname van vis voor de KRW";"Voorschrift water";"Handboek Hydrobiologie - Werkvoorschrift 13A - Bestandsopname van vis voor de KRW";13-06-2011;;"G"
"HH-W7A:2010";"HH-W7A:2010 Bemonstering van fytoplankton in opp.water";"Voorschrift water";"Handboek Hydrobiologie - Werkvoorschrift 7A - Bemonstering van fytoplankton in oppervlaktewater";13-06-2011;;"G"
"HH-W8A:2010";"HH-W8A:2010 Bemonstering van sieralgen in opp.water";"Voorschrift water";"Handboek Hydrobiologie - Werkvoorschrift 8A - Bemonstering van sieralgen in oppervlaktewater";13-06-2011;;"G"
"HH-W9A:2010";"HH-W9A:2010 Bemonstering van kiezelwieren in opp.water";"Voorschrift water";"Handboek Hydrobiologie - Werkvoorschrift 9A - Bemonstering van kiezelwieren in oppervlaktewater";13-06-2011;;"G"
"HVB-AM";"Stowa 2002-07 - HVB-AM";"Voorschrift water";"Stowa rapport 2002-07 - Handboek visstandbemonstering (HVB) - Acoustische Methode";13-06-2011;;"G"
"HVB-BOM";"Stowa 2002-07 - HVB-BOM";"Voorschrift water";"Stowa rapport 2002-07 - Handboek visstandbemonstering (HVB) - Bevist-Oppervlak-Methode";13-06-2011;;"G"
"HVB-KVM";"Stowa 2002-07 - HVB-KVM";"Voorschrift water";"Stowa rapport 2002-07 - Handboek visstandbemonstering (HVB) - Kwalitatief-Vissen-Methode";13-06-2011;;"G"
"HVB-MTM";"Stowa 2002-07 - HVB-MTM";"Voorschrift water";"Stowa rapport 2002-07 - Handboek visstandbemonstering (HVB) ? Merk-Terugvang-Methode";13-06-2011;;"G"
"I16665.05";"NEN-EN-ISO 16665:2005 en";"Norm water";"Water - Richtlijnen voor kwantitatieve bemonstering en monsterbehandeling van macro-invertebraten in marien zacht substraat";13-06-2011;;"G"
"I19458.07";"NEN-EN-ISO 19458:2007 en";"Norm water";"Water - Monsterneming voor microbiologisch onderzoek";13-06-2011;;"G"
"I23893-1.07";"NEN-ISO 23893-1:2007 en";"Norm water";"Water - Biochemische en fysiologische bepalingen aan vis - Deel 1: Monsterneming van visbehandeling en conservering van monsters";13-06-2011;;"G"
"I5667-10.92";"ISO 5667-10:1992 en";"Norm water";"Water - Monsterneming - Deel 10: Richtlijn voor monsterneming van afvalwater";13-06-2011;;"G"
"I5667-11.93";"ISO 5667-11:1993 en";"Norm water";"Water - Monsterneming - Deel 11: Richtlijn voor monsterneming van grondwater";13-06-2011;;"G"
"I5667-12.95";"ISO 5667-12:1995 en";"Norm water";"Water - Monsterneming - Deel 12: Richtlijn voor monsterneming van waterbodem";13-06-2011;;"G"
"I5667-13.98";"NEN-EN-ISO 5667-13:1998 en";"Norm water";"Water - Monsterneming - Deel 13: Richtlijn voor de monsterneming van slib van riolerings- en afvalwaterbehandelingsinstallaties";13-06-2011;;"G"
"I5667-16.98";"NEN-EN-ISO 5667-16:1998 en";"Norm water";"Water - Monsterneming - Deel 16: Richtlijn voor het biologisch onderzoek van monsters";13-06-2011;;"G"
"I5667-17.00";"ISO 5667-17:2000 en";"Norm water";"Water - Monsterneming - Deel 17: Richtlijn voor monsterneming van neergeslagen sediment";13-06-2011;;"G"
"I5667-18.01";"ISO 5667-18:2001 en";"Norm water";"Water - Monsterneming - Deel 18: Richtlijn voor monsterneming van grondwater op verontreinigde terreinen";13-06-2011;;"G"
"I5667-19.04";"NEN-EN-ISO 5667-19:2004";"Norm water";"Water - Monsterneming - Deel 19: Richtlijn voor monsterneming van sediment in zeewater";13-06-2011;;"G"
"I5667-4.87";"ISO 5667-4:1987 en";"Norm water";"Water - Monsterneming - Deel 4: Richtlijn voor monsterneming van natuurlijke en kunstmatige meren";13-06-2011;;"G"
"I5667-5.07";"NEN-ISO 5667-5:2007";"Norm water";"Water - Monsterneming - Deel 5: Richtlijn voor monsterneming van drinkwater van waterproductiebedrijven en pijpleiding-distributiesystemen";13-06-2011;;"G"
"I5667-6.05";"ISO 5667-6:2005";"Norm water";"Water - Monsterneming - Deel 6: Richtlijn voor monsterneming van rivieren en stromende wateren";13-06-2011;;"G"
"I5667-7.93";"ISO 5667-7:1993";"Norm water";"Water - Monsterneming - Deel 7: Richtlijn voor monsterneming van water en stoom in ketelwaterbedrijven";13-06-2011;;"G"
"I5667-8.93";"ISO 5667-8:1993";"Norm water";"Water - Monsterneming - Deel 8: Richtlijn voor monsterneming van natte depositie";13-06-2011;;"G"
"I5667-9.92";"ISO 5667-9:1992";"Norm water";"Water - Monsterneming - Deel 9: Richtlijn voor monsterneming van zeewater";13-06-2011;;"G"
"I7828.94";"NEN-ISO 7828:1994 en";"Norm water";"Water - Methoden voor biologische bemonstering - Richtlijn voor de bemonstering van bentische macro-invertebraten met een schepnet";13-06-2011;;"G"
"I9391.95";"NEN-EN-ISO 9391:1995 en";"Norm water";"Water - Bemonstering van macro-invertebraten in diepe wateren - Richtlijn voor het gebruik van kolonisatiekwalitatieve en kwantitatieve bemonsteringsapparatuur";13-06-2011;;"G"
"N13946.03";"NEN-EN 13946:2003 en";"Norm water";"Waterkwaliteit - Richtlijn voor de routinematige bemonstering en monstervoorbehandeling van benthische diatomeeën in rivieren";13-06-2011;;"G"
"N14011.03";"NEN-EN 14011:2003 en";"Norm water";"Water - Bemonstering van vis met behulp van elektriciteit";13-06-2011;;"G"
"N14184.03";"NEN-EN 14184:2003 en";"Norm water";"Waterkwaliteit - Richtlijn voor de inventarisatie van aquatische macrofyten in stromende wateren";13-06-2011;;"G"
"N14757.05";"NEN-EN 14757:2005 en";"Norm water";"Water - Bemonstering van vis met behulp van visnetten met meerdere maasgroottes";13-06-2011;;"G"
"N15196.06";"NEN-EN 15196:2006 en";"Norm water";"Water - Richtlijn voor bemonstering en behandeling van pupal exuviae van de Chironomidae (orde Diptera) voor ecologische beoordeling";13-06-2011;;"G"
"N15460.07";"NEN-EN 15460:2007 en";"Norm water";"Water - Richtlijn voor de inventarisatie van macrofyten in meren";13-06-2011;;"G"
"N15708.07";"NEN-EN 15708:2007 en";"Norm water";"Water - Richtlijn voor de inventarisatiebemonstering en laboratorium analyse van fytobenthos in ondiep stromend water";13-06-2011;;"G"
"N5625.07";"NEN 5625:2007 nl";"Norm water";"Radioactiviteitsmetingen - Monsterneming en monsterconservering van water en daarin onopgeloste stoffen";13-06-2011;;"G"
"N6600-1.02";"NEN 6600-1:2002 nl";"Norm water";"Water - Monsterneming ? Deel 1: Afvalwater";13-06-2011;;"G"
"N6600-2.02";"NEN 6600-2:2002 nl";"Norm water";"Water - Monsterneming ? Deel 2: Oppervlaktewater";13-06-2011;;"G"
"RWSV-B001b";"RWSV - 913.00.B001b";"Voorschrift water";"Rijkswaterstaat standaard voorschrift - Monsterneming van zoetwatermosselen";13-06-2011;;"G"
"RWSV-B002";"RWSV - 913.00.B002";"Voorschrift water";"Rijkswaterstaat standaard voorschrift - Monsterneming van macrofauna op hard substraat";13-06-2011;;"G"
"RWSV-B004b";"RWSV - 913.00.B004b";"Voorschrift water";"Rijkswaterstaat standaard voorschrift - Monsterneming van sediment en macrofauna met een Boxcorer";13-06-2011;;"G"
"RWSV-B005";"RWSV - 913.00.B005";"Voorschrift water";"Rijkswaterstaat standaard voorschrift - Monsterneming van macrofauna op kunstmatig substraat";13-06-2011;;"G"
"RWSV-B007";"RWSV - 913.00.B007";"Voorschrift water";"Rijkswaterstaat standaard voorschrift - Monsterneming van (oever)vegetatiesteen en gebruik kunstmatig substraat ten behoeve van de bepaling van fytobenthos";13-06-2011;;"G"
"RWSV-B050";"RWSV - 913.00.B050";"Voorschrift water";"Rijkswaterstaat standaard voorschrift - Bemonstering van macrofauna in het litoraal; methode: handnet en stenen";13-06-2011;;"G"
"RWSV-B051";"RWSV - 913.00.B051";"Voorschrift water";"Rijkswaterstaat standaard voorschrift - Bemonstering van macrofauna en bodemchemie in het profundaal; veldapparaat: boxcorerEkman-Birge happer van Veen happerwerpkorf en steekbuis";13-06-2011;;"G"
"RWSV-B200";"RWSV - 913.00.B200";"Voorschrift water";"Rijkswaterstaat standaard voorschrift - Bemonstering van macrozoöbenthos en bodemchemie in het litoraal en sublitoraal in de mariene wateren; methode: Reineck boxcorerFlushing samplersteekbuis";13-06-2011;;"G"
"RWSV-W001";"RWSV - 913.00.W001";"Voorschrift water";"Rijkswaterstaat standaard voorschrift - Monsterneming van oppervlaktewater met een emmer";13-06-2011;;"G"
"RWSV-W002";"RWSV - 913.00.W002";"Voorschrift water";"Rijkswaterstaat standaard voorschrift - Monsterneming van oppervlaktewater met behulp van een pompsysteem";13-06-2011;;"G"
"RWSV-W003";"RWSV - 913.00.W003";"Voorschrift water";"Rijkswaterstaat standaard voorschrift - Monsterneming van zoet oppervlaktewater ten behoeve van de bepaling van chlorofylfytoplankton en zoöplankton";13-06-2011;;"G"
