Code;Omschrijving;Dimensie;Omrekenfactor;Groep;D_BEGIN;D_EIND;D_STATUS
"%";"procent";;;"Overig";10-06-2011;;"G"
"/m";"per meter";"/L";"1";"SI afgeleide eenheid";09-02-2013;;"G"
"A";"ampère";"I";"1";"SI grondeenheid";10-06-2011;;"G"
"B";"Beaufort";;;"Overig";10-06-2011;;"G"
"Bq/kg";"becquerel per kilogram";"/MT";"1";"SI afgeleide eenheid";10-06-2011;;"G"
"Bq/m3";"becquerel per kubieke meter";"/L3T";"1";"SI afgeleide eenheid";10-06-2011;;"G"
"DIMSLS";"dimensieloos";;;"Overig";10-06-2011;;"G"
"EBC";"European Brewery Convention Turbidity Unit";;;"Overig";19-10-2013;;"G"
"FNU";"Formazine Nephelometric Unit";;;"Overig";19-10-2013;;"G"
"FTU";"Formazine Turbidity Unit";;;"Overig";10-06-2011;;"G"
"Hz";"hertz";"/T";"1";"SI afgeleide eenheid";10-06-2011;;"G"
"J";"joule";"L2M/T2";"1";"SI afgeleide eenheid";10-06-2011;;"G"
"J/cm2";"joule per vierkante centimeter";"L2M/L2T2";"0.0001";"SI afgeleide eenheid";11-12-2012;;"G"
"J/g";"joule per gram";"L2M/MT2";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"JTU";"Jackson Turbidity Unit";;;"Overig";10-06-2011;;"G"
"MJ/s";"megajoule per seconde";"L2M/T3";"1000000";"SI afgeleide eenheid";10-06-2011;;"G"
"NTU";"Nephelometric Turbidity Unit";;;"Overig";10-06-2011;;"G"
"Pa";"pascal";"M/LT2";"1";"SI afgeleide eenheid";10-06-2011;;"G"
"S/m";"siemens per meter";"T3I2/L3M";"1";"SI afgeleide eenheid";10-06-2011;;"G"
"TJ";"terajoule";"L2M/T2";"1.000000E+12";"SI afgeleide eenheid";11-12-2012;;"G"
"TU";"Toxic Unit";;;"Overig";10-06-2011;;"G"
"V";"volt";"L2M/T3I";"1";"SI afgeleide eenheid";10-06-2011;;"G"
"Wh/ie";"wattuur per inwoner equivalent";;;"Overig";10-06-2011;;"G"
