Code;Omschrijving;Groep;D_BEGIN;D_EIND;D_STATUS
"136gTZV";"uitgedrukt in 136 g TZV";"HoedanigheidEquivalent";10-06-2011;;"G"
"136gTZVd";"uitgedrukt in 136 g TZV / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"150gTZV";"uitgedrukt in 150 g TZV";"HoedanigheidEquivalent";10-06-2011;;"G"
"180gTZV";"uitgedrukt in 180 g TZV";"HoedanigheidEquivalent";10-06-2011;;"G"
"180gTZVd";"uitgedrukt in 180 g TZV / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"18oC";"t.o.v. 18 graden Celsius";"HoedanigheidReferentieBasis";10-06-2011;;"G"
"20oC";"t.o.v. 20 graden Celsius";"HoedanigheidReferentieBasis";10-06-2011;;"G"
"20oCINSU";"t.o.v. 20 graden Celsius / in situ gemeten";"HoedanigheidCombinatie";10-06-2011;;"G"
"22oC";"t.o.v. 22 graden Celsius";"HoedanigheidReferentieBasis";26-08-2011;;"G"
"25oC";"t.o.v. 25 graden Celsius";"HoedanigheidReferentieBasis";10-06-2011;;"G"
"25oCINSU";"t.o.v. 25 graden Celsius / in situ gemeten";"HoedanigheidCombinatie";10-06-2011;;"G"
"36oC";"t.o.v. 36 graden Celsius";"HoedanigheidReferentieBasis";26-08-2011;;"G"
"54gBZV";"uitgedrukt in 54 g BZV";"HoedanigheidEquivalent";10-06-2011;;"G"
"54gBZVdg";"uitgedrukt in 54 g BZV / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"ASTNMH";"t.o.v. astronomisch getij";"ReferentieVlak";10-06-2011;;"G"
"BODM";"t.o.v. de bodem";"ReferentieVlak";10-06-2011;;"G"
"BOORVLR";"t.o.v. boorvloer";"ReferentieVlak";10-06-2011;;"G"
"BZVdg";"uitgedrukt in BZV / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"BrO3";"uitgedrukt in Bromaat";"HoedanigheidEquivalent";10-06-2011;;"G"
"BraunBS";"uitgedrukt volgens Braun-Blanquet-Schaal";"HoedanigheidEquivalent";28-06-2011;;"G"
"Brnf";"uitgedrukt in Bromide na filtratie";"HoedanigheidCombinatie";10-06-2011;;"G"
"C";"uitgedrukt in Koolstof";"HoedanigheidEquivalent";10-06-2011;;"G"
"C05C06";"koolwaterstoffractie C5-C6";"KoolwaterstofFractie";21-01-2014;;"G"
"C06C08";"koolwaterstoffractie C6-C8";"KoolwaterstofFractie";17-10-2013;;"G"
"C06C10";"koolwaterstoffractie C6-C10";"KoolwaterstofFractie";10-06-2011;;"G"
"C06C10dg";"koolwaterstoffractie C6-C10 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C06C16";"koolwaterstoffractie C6-C16";"KoolwaterstofFractie";21-01-2014;;"G"
"C08C10";"koolwaterstoffractie C8-C10";"KoolwaterstofFractie";17-10-2013;;"G"
"C08C10dg";"koolwaterstoffractie C8-C10 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C10C12";"koolwaterstoffractie C10-C12";"KoolwaterstofFractie";10-06-2011;;"G"
"C10C12dg";"koolwaterstoffractie C10-C12 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C10C16";"koolwaterstoffractie C10-16";"KoolwaterstofFractie";26-05-2012;;"G"
"C10C16dg";"koolwaterstoffractie C10-C16 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C10C19dg";"koolwaterstoffractie C10-C19 / drooggewicht";"HoedanigheidCombinatie";02-08-2011;;"G"
"C10C20";"koolwaterstoffractie C10-C20";"KoolwaterstofFractie";10-06-2011;;"G"
"C10C20dg";"koolwaterstoffractie C10-C20 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C10C40";"koolwaterstoffractie C10-C40";"KoolwaterstofFractie";10-06-2011;;"G"
"C10C40dg";"koolwaterstoffractie C10-C40 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C12C14dg";"koolwaterstoffractie C12-C14 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C12C16";"koolwaterstoffractie C12-C16";"KoolwaterstofFractie";10-06-2011;;"G"
"C12C16dg";"koolwaterstoffractie C12-C16 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C12C20dg";"koolwaterstoffractie C12-C20 / drooggewicht";"HoedanigheidCombinatie";02-08-2011;;"G"
"C12C22";"koolwaterstoffractie C12-C22";"KoolwaterstofFractie";10-06-2011;;"G"
"C12C22dg";"koolwaterstoffractie C12-C22 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C14C20dg";"koolwaterstoffractie C14-C20 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C16C20";"koolwaterstoffractie C16-C20";"KoolwaterstofFractie";10-06-2011;;"G"
"C16C20dg";"koolwaterstoffractie C16-C20 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C16C21dg";"koolwaterstoffractie C16-C21 / drooggewicht";"HoedanigheidCombinatie";02-08-2011;;"G"
"C16C22";"koolwaterstoffractie C16-C22";"KoolwaterstofFractie";26-05-2012;;"G"
"C16C22dg";"koolwaterstoffractie C16-C22 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C20C24";"koolwaterstoffractie C20-C24";"KoolwaterstofFractie";10-06-2011;;"G"
"C20C24dg";"koolwaterstoffractie C20-C24 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C20C26dg";"koolwaterstoffractie C20-C26 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C20C27";"koolwaterstoffractie C20-C27";"KoolwaterstofFractie";21-01-2014;;"G"
"C20C29dg";"koolwaterstoffractie C20-C29 / drooggewicht";"HoedanigheidCombinatie";02-08-2011;;"G"
"C20C40";"koolwaterstoffractie C20-C40";"KoolwaterstofFractie";10-06-2011;;"G"
"C20C40dg";"koolwaterstoffractie C20-C40 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C21C30dg";"koolwaterstoffractie C21-C30 / drooggewicht";"HoedanigheidCombinatie";02-08-2011;;"G"
"C22C30";"koolwaterstoffractie C22-C30";"KoolwaterstofFractie";10-06-2011;;"G"
"C22C30dg";"koolwaterstoffractie C22-C30 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C24C28";"koolwaterstoffractie C24-C28";"KoolwaterstofFractie";10-06-2011;;"G"
"C24C28dg";"koolwaterstoffractie C24-C28 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C26C34dg";"koolwaterstoffractie C26-C34 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C28C32";"koolwaterstoffractie C28-C32";"KoolwaterstofFractie";10-06-2011;;"G"
"C28C32dg";"koolwaterstoffractie C28-C32 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C30C35dg";"koolwaterstoffractie C30-C35 / drooggewicht";"HoedanigheidCombinatie";02-08-2011;;"G"
"C30C40";"koolwaterstoffractie C30-C40";"KoolwaterstofFractie";10-06-2011;;"G"
"C30C40dg";"koolwaterstoffractie C30-C40 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C32C36";"koolwaterstoffractie C32-C36";"KoolwaterstofFractie";10-06-2011;;"G"
"C32C36dg";"koolwaterstoffractie C32-C36 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C34C40dg";"koolwaterstoffractie C34-C40 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"C35C40dg";"koolwaterstoffractie C35-C40 / drooggewicht";"HoedanigheidCombinatie";02-08-2011;;"G"
"C36C40";"koolwaterstoffractie C36-C40";"KoolwaterstofFractie";10-06-2011;;"G"
"C36C40dg";"koolwaterstoffractie C36-C40 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"CS2";"uitgedrukt in Koolstofdisulfide";"HoedanigheidEquivalent";10-06-2011;;"G"
"CS2dg";"uitgedrukt in Koolstofdisulfide / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"CTAB";"uitgedrukt in cetyltrimethylammoniumbromide";"HoedanigheidEquivalent";12-04-2014;;"G"
"CZVdg";"uitgedrukt in CZV / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"CaCO3";"uitgedrukt in Calciumcarbonaat";"HoedanigheidEquivalent";10-06-2011;;"G"
"CaCl2dg";"uitgedrukt in Calciumchloride / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"CaO";"uitgedrukt in calciumoxide";"HoedanigheidEquivalent";21-01-2014;;"G"
"CaOdg";"uitgedrukt in Calciumoxide / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"Cdg";"uitgedrukt in Koolstof / drooggewicht";"HoedanigheidCombinatie";26-08-2011;;"G"
"Cl";"uitgedrukt in Chloor";"HoedanigheidEquivalent";27-08-2011;;"G"
"Cldg";"uitgedrukt in Chloor / drooggewicht";"HoedanigheidCombinatie";27-08-2011;;"G"
"Clnb";"uitgedrukt in Chloor na beluchten";"HoedanigheidCombinatie";27-08-2011;;"G"
"Clnf";"uitgedrukt in Chloor na filtratie";"HoedanigheidCombinatie";27-08-2011;;"G"
"Cnf";"uitgedrukt in Koolstof na filtratie";"HoedanigheidCombinatie";10-06-2011;;"G"
"Cpg";"uitgedrukt in Koolstof particulair gebonden";"HoedanigheidCombinatie";26-08-2011;;"G"
"D002-032";"diameter tussen 2 en 32 mm";"KorrelgrootteFractie";24-05-2014;;"G"
"D038-050";"diameter tussen 38 en 50 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D038-063";"diameter tussen 38 en 63 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D050-063";"diameter tussen 50 en 63 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D063-090";"diameter tussen 63 en 90 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D063-125";"diameter tussen 63 en 125 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D090-125";"diameter tussen 90 en 125 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D106-150";"diameter tussen 106 en 150 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D125-180";"diameter tussen 125 en 180 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D125-250";"diameter tussen 125 en 250 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D150-212";"diameter tussen 150 en 212 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D180-250";"diameter tussen 180 en 250 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D1E3-2E3";"diameter tussen 1000 en 2000 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D212-250";"diameter tussen 212 en 250 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D250-300";"diameter tussen 250 en 300 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D250-355";"diameter tussen 250 en 355 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D250-500";"diameter tussen 250 en 500 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D300-425";"diameter tussen 300 en 425 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D355-500";"diameter tussen 355 en 500 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D500-1E3";"diameter tussen 500 en 1000 um";"KorrelgrootteFractie";10-06-2011;;"G"
"DICHT";"dicht";"HoedanigheidFractieBasis";07-08-2013;;"G"
"DNAKPN";"uitgedrukt in DNA-kopieën";"HoedanigheidEquivalent";12-02-2013;;"G"
"DOOD";"Dood";"BiologischKenmerk";17-03-2012;;"G"
"DRIJVD";"Drijvende fractie";"HoedanigheidFractieBasis";05-08-2011;;"G"
"Dg0038";"diameter groter dan 38 um";"KorrelgrootteFractie";08-12-2012;;"G"
"Dg0043";"diameter groter dan 43 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg0050";"diameter groter dan 50 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg0053";"diameter groter dan 53 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg0063";"diameter groter dan 63 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg0150";"diameter groter dan 150 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg0210";"diameter groter dan 210 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg0250";"diameter groter dan 250 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg032";"diameter groter dan 32 mm";"KorrelgrootteFractie";24-05-2014;;"G"
"Dg0425";"diameter groter dan 425 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg2000";"diameter groter dan 2000 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg2000md";"diameter groter dan 2000 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0002";"diameter kleiner dan 2 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0002dg";"diameter kleiner dan 2 um / drooggewicht";"KorrelgrootteFractie";26-05-2012;;"G"
"Dk0002md";"diameter kleiner dan 2 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0004";"diameter kleiner dan 4 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0008";"diameter kleiner dan 8 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0010";"diameter kleiner dan 10 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0016";"diameter kleiner dan 16 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0016dg";"diameter kleiner dan 16 um / drooggewicht";"KorrelgrootteFractie";26-05-2012;;"G"
"Dk0016md";"diameter kleiner dan 16 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0020";"diameter kleiner dan 20 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0032";"diameter kleiner dan 32 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0032md";"diameter kleiner dan 32 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0035";"diameter kleiner dan 35 um";"KorrelgrootteFractie";26-05-2012;;"G"
"Dk0038";"diameter kleiner dan 38 um";"KorrelgrootteFractie";08-12-2012;;"G"
"Dk0038md";"diameter kleiner dan 38 um / minerale delen";"KorrelgrootteFractie";08-12-2012;;"G"
"Dk0045";"diameter kleiner dan 45 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0050";"diameter kleiner dan 50 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0050md";"diameter kleiner dan 50 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0053";"diameter kleiner dan 53 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0063";"diameter kleiner dan 63 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0063dg";"diameter kleiner dan 63 um / drooggewicht";"KorrelgrootteFractie";21-11-2013;;"G"
"Dk0063md";"diameter kleiner dan 63 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
