Code;Omschrijving;CASnummer;Groep;SIKBid;D_BEGIN;D_EIND;D_STATUS
1112T4ClC2a;1.1.1.2-tetrachloorethaan;630-20-6;ChemischeStof;3;08-06-2011;;G
111TClC2a;1.1.1-trichloorethaan;71-55-6;ChemischeStof;4;08-06-2011;;G
111TClTol;1.1.1-trichloortolueen;98-07-7;ChemischeStof;2800;28-01-2014;;G
1122T4ClC2a;1.1.2.2-tetrachloorethaan;79-34-5;ChemischeStof;5;08-06-2011;;G
112TClC2a;1.1.2-trichloorethaan;79-00-5;ChemischeStof;6;08-06-2011;;G
112TClC3a;1.1.2-trichloorpropaan;598-77-6;ChemischeStof;2801;28-01-2014;;G
11DBrC2a;1.1-dibroomethaan;557-91-5;ChemischeStof;2802;28-01-2014;;G
11DC1yC2y2C1;1.1-dimethylethyl-2-methoxyfenol;53894-31-8;ChemischeStof;4941;21-01-2014;;G
11DC1yhdzne;1.1-dimethylhydrazine;57-14-7;ChemischeStof;2803;28-01-2014;;G
11DClC2a;1.1-dichloorethaan;75-34-3;ChemischeStof;8;08-06-2011;;G
11DClC2e;1.1-dichlooretheen;75-35-4;ChemischeStof;9;08-06-2011;;G
11DClC3a;1.1-dichloorpropaan;78-99-9;ChemischeStof;10;08-06-2011;;G
11DClC3e;1.1-dichloorpropeen;563-58-6;ChemischeStof;2066;08-06-2011;;G
122TClC3a;1.2.2-trichloorpropaan;3175-23-3;ChemischeStof;2804;28-01-2014;;G
1234T4C1yBen;1.2.3.4-tetramethylbenzeen;488-23-3;ChemischeStof;2805;28-01-2014;;G
1234T4ClBen;1.2.3.4-tetrachloorbenzeen;634-66-2;ChemischeStof;16;08-06-2011;;G
1234T4HNaf;1.2.3.4-tetrahydronaftaleen;119-64-2;ChemischeStof;1547;08-06-2011;;G
1235T4C1yBen;1.2.3.5-tetramethylbenzeen;527-53-7;ChemischeStof;19;08-06-2011;;G
1235T4ClBen;1.2.3.5-tetrachloorbenzeen;634-90-2;ChemischeStof;18;08-06-2011;;G
123TC1yBen;1.2.3-trimethylbenzeen;526-73-8;ChemischeStof;29;08-06-2011;;G
123TClBen;1.2.3-trichloorbenzeen;87-61-6;ChemischeStof;26;08-06-2011;;G
123TClC3a;1.2.3-trichloorpropaan;96-18-4;ChemischeStof;27;08-06-2011;;G
123TClC3e;1.2.3-trichloorpropeen;96-19-5;ChemischeStof;28;06-07-2013;;G
