Code;Omschrijving;Groep;D_BEGIN;D_EIND;D_STATUS
"201";"Akoestische afstandsmeter";;06-10-2011;;"G"
"202";"Duimstok";;06-10-2011;;"G"
"203";"Afstandkijker";;06-10-2011;;"G"
"204";"Radiolog";;06-10-2011;;"G"
"205";"Afstandsdraad";;06-10-2011;;"G"
"206";"Meetband";;06-10-2011;;"G"
"207";"Hi-Fix";;06-10-2011;;"G"
"208";"Trisponder";;06-10-2011;;"G"
"209";"Hyperfix";;06-10-2011;;"G"
"210";"Trident";;06-10-2011;;"G"
"211";"Decca";;06-10-2011;;"G"
"212";"Sextant";;06-10-2011;;"G"
"213";"Theodoliet";;06-10-2011;;"G"
"214";"Total Station";;06-10-2011;;"G"
"215";"Radar";;06-10-2011;;"G"
"216";"Tachymeter";;06-10-2011;;"G"
"217";"DGPS";;06-10-2011;;"G"
"218";"GPS";;06-10-2011;;"G"
"219";"RTK/LRK DGPS";;06-10-2011;;"G"
