Code;Omschrijving;Groep;Titel;D_BEGIN;D_EIND;D_STATUS
"AQUOKIT";"Met Aquo-kit berekend oordeel of toetsresultaat";"Methodiek";;05-11-2013;;"G"
"AUTOMATISCH";"Niet genormaliseerde automatische waardebepaling";"Algemeen niet-genormaliseerd";;11-06-2011;;"G"
"BLAUWAP:2010";"Blauwalgenprotocol 2010";"Voorschrift vervallen";"Blauwalgenprotocol 2010";11-06-2011;;"G"
"BLAUWAP:2011";"Blauwalgenprotocol 2011";"Voorschrift vervallen";"Blauwalgenprotocol 2011";07-07-2012;;"G"
"BLAUWAP:2012";"Blauwalgenprotocol 2012";"Voorschrift";"Blauwalgenprotocol 2012";07-07-2012;;"G"
"CIW";"Bepaling klasse (1-5) volgens CIW-methodiek";"Methodiek";;11-06-2011;;"G"
"DESK";"Bepaling klasse (1-5) door deskundige";"Methodiek";;11-06-2011;;"G"
"EBEO";"Bepaling waarde / EBEO-klasse (1-5) volgens EBEO-systematiek";"Methodiek";;11-06-2011;;"G"
"GWPROTEU.13";"Oordeel deskundige o.b.v. protocol toetsen grondw. 2013 EU";"Methodiek";"Door deskundige bepaald oordeel op basis van protocol toetsen grondwater: 2013, paragraaf 2.3 (EU Oordeel)";05-11-2013;;"G"
"GWPROTNL.13";"Oordeel deskundige o.b.v. protocol toetsen grondw. 2013 NL";"Methodiek";"Door deskundige bepaald oordeel op basis van protocol toetsen grondwater: 2013, paragraaf 2.2 (NL Oordeel)";05-11-2013;;"G"
"HH-W10B:2010";"HH-10B Analyse van zoöplankton voor EBeo";"Voorschrift";"Handboek Hydrobiologie - Werkvoorschrift 10B - Analyse van zoöplankton voor EBeo";11-06-2011;;"G"
"HH-W11A:2010";"HH-11A Inventarisatie van vegetatie";"Voorschrift";"Handboek Hydrobiologie - Werkvoorschrift 11A - Inventarisatie";11-06-2011;;"G"
"HH-W12B:2010";"HH-12B Analyse van macrofauna";"Voorschrift";"Handboek Hydrobiologie - Werkvoorschrift 12B - Analyse van macrofauna";11-06-2011;;"G"
"HH-W13A:2010";"HH-13A Bestandsopname van vis voor de KRW";"Voorschrift";"Handboek Hydrobiologie - Werkvoorschrift 13A - Bestandsopname van vis voor de KRW";11-06-2011;;"G"
"HH-W7B:2010";"HH-7B Analyse van fytoplankton in oppervlaktewater";"Voorschrift";"Handboek Hydrobiologie - Werkvoorschrift 7B - Analyse van fytoplankton in oppervlaktewater";11-06-2011;;"G"
