Code;Omschrijving;Groep;D_BEGIN;D_EIND;D_STATUS
BER;Berekend;Methodiek;11-06-2011;;G
C10;CUWVO 10 percentiel;Richtlijn/protocol;11-06-2011;;G
C90;CUWVO 90 percentiel;Richtlijn/protocol;11-06-2011;;G
GEM;Gemiddelde;Statistiek;11-06-2011;;G
GSD;Gestandaardiseerde waarde;Richtlijn/protocol;11-06-2011;;G
JGM;Jaargemiddelde;Richtlijn/protocol;11-06-2011;;G
MAX;Maximum;Statistiek;11-06-2011;;G
MED;50-Percentiel (mediaan);Percentielen;11-06-2011;;G
MIN;Minimum;Statistiek;11-06-2011;;G
NBO;Aantal meetwaarden boven maximum detectiegrens;Statistiek;11-06-2011;;G
NON;Aantal meetwaarden onder minimum detectiegrens;Statistiek;11-06-2011;;G
NUM;Aantal meetwaarden;Statistiek;11-06-2011;;G
NVT;Niet van toepassing;(technisch);11-06-2011;;G
P05;5-Percentiel;Percentielen;11-06-2011;;G
P10;10-Percentiel;Percentielen;11-06-2011;;G
P15;15-Percentiel;Percentielen;11-06-2011;;G
P20;20-Percentiel;Percentielen;11-06-2011;;G
P25;25-Percentiel;Percentielen;11-06-2011;;G
P30;30-Percentiel;Percentielen;11-06-2011;;G
P35;35-Percentiel;Percentielen;11-06-2011;;G
P40;40-Percentiel;Percentielen;11-06-2011;;G
P45;45-Percentiel;Percentielen;11-06-2011;;G
P55;55-Percentiel;Percentielen;11-06-2011;;G
P60;60-Percentiel;Percentielen;11-06-2011;;G
P65;65-Percentiel;Percentielen;11-06-2011;;G
P67;67-Percentiel;Percentielen;11-06-2011;;G
P70;70-Percentiel;Percentielen;11-06-2011;;G
P75;75-Percentiel;Percentielen;11-06-2011;;G
P80;80-Percentiel;Percentielen;11-06-2011;;G
P85;85-Percentiel;Percentielen;11-06-2011;;G
P90;90-Percentiel;Percentielen;11-06-2011;;G
P90ZWR;90 percentiel volgens Zwemwaterrichtlijn 2006;Percentielen;08-12-2012;;G
P95;95-Percentiel;Percentielen;11-06-2011;;G
P95ZWR;95 percentiel volgens Zwemwaterrichtlijn 2006 ;Percentielen;08-12-2012;;G
P96;96-Percentiel;Percentielen;11-06-2011;;G
P97;97-Percentiel;Percentielen;11-06-2011;;G
P98;98-Percentiel;Percentielen;11-06-2011;;G
P98MAX;98-Percentiel van de maximale dagwaarde;Richtlijn/protocol;11-06-2011;;G
P99;99-Percentiel;Percentielen;11-06-2011;;G
S07;Sommatie waarden deelparameters (factor 0.7 als onder bepg);Sommatie deelparameters;11-06-2011;;G
S10;Sommatie waarden deelparameters boven bepalingsgrens;Sommatie deelparameters;11-06-2011;;G
SOM;Sommatie waarden;Sommatie deelparameters;11-06-2011;;G
STD;Standaarddeviatie;Statistiek;11-06-2011;;G
VAR;Variantie;Statistiek;11-06-2011;;G
WGM;Wintergemiddelde;Richtlijn/protocol;11-06-2011;;G
ZGM;Zomergemiddelde;Richtlijn/protocol;11-06-2011;;G
ZHJ;Zomerhalfjaar;Richtlijn/protocol;11-06-2011;;G
ZHM;Zomerhalfjaar doorzicht;Richtlijn/protocol;11-06-2011;;G
ZPH;Zomerhalfjaar ionenconcentratie;Richtlijn/protocol;11-06-2011;;G
