code,omschrijving
00,Normale waarde
03,Waarde heeft een grotere spreiding dan beschreven
04,Bepaald met hele detectiegrens
05,Bepaald met halve detectiegrens
06,Bepaald met nul waarde voor detectiegrens
07,Waarde is verhoogde rapportagegrens
10,In de ruimte geinterpoleerde waarde
20,In de tijd geinterpoleerde waarde
25,In ruimte en tijd geinterpoleerde waarde
30,Waarde beinvloedt door ruimtelijke activiteiten
50,Niet-plausibele waarde
98,Waarde bepaald op onvolledige basis
99,Hiaat waarde
