Omschrijving,Groep,Cijfercode
Akkermanboor,Bodembemonstering,42
Akoestische zandtransportmeter,Bodembemonstering,43
Aqualock,Bodembemonstering,83
Automatisch monstername apparaat,Waterbemonstering,71
Avegaarboor,Bodembemonstering,54
Beeker-sampler,Bodembemonstering,12
Begeman-sampler,Bodembemonstering,44
Bodemschaaf,Bodembemonstering,45
Boomkor,Ecologische bemonstering,55
Box-corer,Bodembemonstering,46
Continuous soil sampler,Bodembemonstering,72
Dompelpomp,Waterbemonstering,35
Doorstroomcentrifuge,Waterbemonstering,85
Drukkend boorsysteem,Bodembemonstering,73
Eckman-Birge happer,Bodembemonstering,41
Edelmanboor,Bodembemonstering,20
Elektrisch schepnet,Ecologische bemonstering,56
Emmer,Waterbemonstering,33
Flushing sampler,Waterbemonstering,67
Foliesteektoestel,Bodembemonstering,74
Fuik,Ecologische bemonstering,57
Grindboor,Bodembemonstering,24
Gutsboor,Bodembemonstering,31
Hamerend boorsysteem,Bodembemonstering,75
Handnet,Ecologische bemonstering,58
Handpuls,Bodembemonstering,76
Holle avegaar,Bodembemonstering,77
Jenkins-mudsampler,Bodembemonstering,78
Kernboor,Bodembemonstering,79
Korf,Ecologische bemonstering,59
Kuil,Ecologische bemonstering,60
Modderpuls,Bodembemonstering,47
Mosselkorf,Ecologische bemonstering,61
Mostap,Bodembemonstering,80
Multi-sampler,Bodembemonstering,48
Pelagic trawl,Ecologische bemonstering,62
Piston-corer,Bodembemonstering,13
Planktonnet,Ecologische bemonstering,63
Poliepgrijper,Bodembemonstering,49
Pollepel,Waterbemonstering,69
Pomp,Waterbemonstering,68
Pulsboor,Bodembemonstering,26
Ramguts,Bodembemonstering,27
Riversideboor,Bodembemonstering,25
Roset sampler,Waterbemonstering,70
Schietfuik,Ecologische bemonstering,64
Sedimentval,Bodembemonstering,50
Siliconen rubber passive sampler,Waterbemonstering,84
Slib sampler,Bodembemonstering,51
Snoeischaar,Ecologische bemonstering,65
Sondeerapparaat,Bodembemonstering,28
Sonisch boorsysteem,Bodembemonstering,81
Speeddisk passive sampler,Waterbemonstering,86
Spiraal,Bodembemonstering,23
Spitsmuisboor,Bodembemonstering,29
Steekbuis,Bodembemonstering,34
Steektoestel zonder folie,Bodembemonstering,53
Vacuümpomp,Waterbemonstering,36
Valbom,Bodembemonstering,14
Van Veenhapper,Bodembemonstering,15
Van der Horst-steektoestel,Bodembemonstering,82
Veenboor,Bodembemonstering,18
Vibro-corer,Bodembemonstering,16
Vrijwitboor,Bodembemonstering,52
Waterhapper,Waterbemonstering,32
Werpkorf,Ecologische bemonstering,66
Zuigerboor,Bodembemonstering,17
