Code,Omschrijving,Groep,Cijfercode
AW,Afvalwater,Medium,30
BF,Bouwstof,Medium,109
BS,Bodem/Sediment,Medium-MilieuCompartiment,40
CH,Chemische hulpstoffen,Medium,90
DL,Drijflaag,Medium,103
DW,Drinkwater,Medium,18
EZ,Emerse zone,Biotoop,110
GW,Grondwater,Medium-MilieuCompartiment,15
HW,Hemelwater,Medium-MilieuCompartiment,35
KH,Klinkhout,Biotoop,72
KS,Kunstmatig substraat,Biotoop,73
LM,Litoraal,Biotoop,85
LT,Lucht,Medium-MilieuCompartiment,80
LW,Lozingswater,Medium,31
NT,Niet van toepassing,(technisch),99
OE,Organisme (biota),(technisch),60
OP,Onderhoudspad (maaipad),Biotoop,107
OR,Oever,Biotoop,100
OW,Oppervlaktewater,Medium-MilieuCompartiment,10
PM,Profundaal,Biotoop,86
PW,Poriewater,Medium-MilieuCompartiment,20
SN,Steen,Biotoop,71
SR,Siliconenrubber,Biotoop,105
SZ,Submerse zone,Biotoop,111
TD,Talud,Biotoop,106
VE,Vegetatie,Medium,65
ZB,Zuiveringsslib,Medium,55
ZD,Zand,Medium,43
ZS,Zwevende stof,Medium-MilieuCompartiment,50
ZW,Zwembadwater,Medium,108
