Code,Omschrijving,Groep
136gTZV,uitgedrukt in 136 g TZV,HoedanigheidEquivalent
136gTZVd,uitgedrukt in 136 g TZV / drooggewicht,HoedanigheidCombinatie
150gTZV,uitgedrukt in 150 g TZV,HoedanigheidEquivalent
180gTZV,uitgedrukt in 180 g TZV,HoedanigheidEquivalent
180gTZVd,uitgedrukt in 180 g TZV / drooggewicht,HoedanigheidCombinatie
18oC,t.o.v. 18 graden Celsius,HoedanigheidReferentieBasis
20oC,t.o.v. 20 graden Celsius,HoedanigheidReferentieBasis
20oCINSU,t.o.v. 20 graden Celsius / in situ gemeten,HoedanigheidCombinatie
22oC,t.o.v. 22 graden Celsius,HoedanigheidReferentieBasis
25oC,t.o.v. 25 graden Celsius,HoedanigheidReferentieBasis
25oCINSU,t.o.v. 25 graden Celsius / in situ gemeten,HoedanigheidCombinatie
36oC,t.o.v. 36 graden Celsius,HoedanigheidReferentieBasis
54gBZV,uitgedrukt in 54 g BZV,HoedanigheidEquivalent
54gBZVdg,uitgedrukt in 54 g BZV / drooggewicht,HoedanigheidCombinatie
ASTNMH,t.o.v. astronomisch getij,ReferentieVlak
BODM,t.o.v. de bodem,ReferentieVlak
BOORVLR,t.o.v. boorvloer,ReferentieVlak
BZVdg,uitgedrukt in BZV / drooggewicht,HoedanigheidCombinatie
BrO3,uitgedrukt in Bromaat,HoedanigheidEquivalent
BraunBS,uitgedrukt volgens Braun-Blanquet-Schaal,HoedanigheidEquivalent
Brnf,uitgedrukt in Bromide na filtratie,HoedanigheidCombinatie
C,uitgedrukt in Koolstof,HoedanigheidEquivalent
C05C06,koolwaterstoffractie C5-C6,KoolwaterstofFractie
C06C08,koolwaterstoffractie C6-C8,KoolwaterstofFractie
C06C10,koolwaterstoffractie C6-C10,KoolwaterstofFractie
C06C10dg,koolwaterstoffractie C6-C10 / drooggewicht,HoedanigheidCombinatie
C06C16,koolwaterstoffractie C6-C16,KoolwaterstofFractie
C08C10,koolwaterstoffractie C8-C10,KoolwaterstofFractie
C08C10dg,koolwaterstoffractie C8-C10 / drooggewicht,HoedanigheidCombinatie
C10C12,koolwaterstoffractie C10-C12,KoolwaterstofFractie
C10C12dg,koolwaterstoffractie C10-C12 / drooggewicht,HoedanigheidCombinatie
C10C16,koolwaterstoffractie C10-16,KoolwaterstofFractie
C10C16dg,koolwaterstoffractie C10-C16 / drooggewicht,HoedanigheidCombinatie
C10C19dg,koolwaterstoffractie C10-C19 / drooggewicht,HoedanigheidCombinatie
C10C20,koolwaterstoffractie C10-C20,KoolwaterstofFractie
C10C20dg,koolwaterstoffractie C10-C20 / drooggewicht,HoedanigheidCombinatie
C10C40,koolwaterstoffractie C10-C40,KoolwaterstofFractie
C10C40dg,koolwaterstoffractie C10-C40 / drooggewicht,HoedanigheidCombinatie
C12C14dg,koolwaterstoffractie C12-C14 / drooggewicht,HoedanigheidCombinatie
C12C16,koolwaterstoffractie C12-C16,KoolwaterstofFractie
C12C16dg,koolwaterstoffractie C12-C16 / drooggewicht,HoedanigheidCombinatie
C12C20dg,koolwaterstoffractie C12-C20 / drooggewicht,HoedanigheidCombinatie
C12C22,koolwaterstoffractie C12-C22,KoolwaterstofFractie
C12C22dg,koolwaterstoffractie C12-C22 / drooggewicht,HoedanigheidCombinatie
C14C20dg,koolwaterstoffractie C14-C20 / drooggewicht,HoedanigheidCombinatie
C16C20,koolwaterstoffractie C16-C20,KoolwaterstofFractie
C16C20dg,koolwaterstoffractie C16-C20 / drooggewicht,HoedanigheidCombinatie
C16C21dg,koolwaterstoffractie C16-C21 / drooggewicht,HoedanigheidCombinatie
C16C22,koolwaterstoffractie C16-C22,KoolwaterstofFractie
C16C22dg,koolwaterstoffractie C16-C22 / drooggewicht,HoedanigheidCombinatie
C20C24,koolwaterstoffractie C20-C24,KoolwaterstofFractie
C20C24dg,koolwaterstoffractie C20-C24 / drooggewicht,HoedanigheidCombinatie
C20C26dg,koolwaterstoffractie C20-C26 / drooggewicht,HoedanigheidCombinatie
C20C27,koolwaterstoffractie C20-C27,KoolwaterstofFractie
C20C29dg,koolwaterstoffractie C20-C29 / drooggewicht,HoedanigheidCombinatie
C20C40,koolwaterstoffractie C20-C40,KoolwaterstofFractie
C20C40dg,koolwaterstoffractie C20-C40 / drooggewicht,HoedanigheidCombinatie
C21C30dg,koolwaterstoffractie C21-C30 / drooggewicht,HoedanigheidCombinatie
C22C30,koolwaterstoffractie C22-C30,KoolwaterstofFractie
C22C30dg,koolwaterstoffractie C22-C30 / drooggewicht,HoedanigheidCombinatie
C24C28,koolwaterstoffractie C24-C28,KoolwaterstofFractie
C24C28dg,koolwaterstoffractie C24-C28 / drooggewicht,HoedanigheidCombinatie
C26C34dg,koolwaterstoffractie C26-C34 / drooggewicht,HoedanigheidCombinatie
C28C32,koolwaterstoffractie C28-C32,KoolwaterstofFractie
C28C32dg,koolwaterstoffractie C28-C32 / drooggewicht,HoedanigheidCombinatie
C30C35dg,koolwaterstoffractie C30-C35 / drooggewicht,HoedanigheidCombinatie
C30C40,koolwaterstoffractie C30-C40,KoolwaterstofFractie
C30C40dg,koolwaterstoffractie C30-C40 / drooggewicht,HoedanigheidCombinatie
C32C36,koolwaterstoffractie C32-C36,KoolwaterstofFractie
C32C36dg,koolwaterstoffractie C32-C36 / drooggewicht,HoedanigheidCombinatie
C34C40dg,koolwaterstoffractie C34-C40 / drooggewicht,HoedanigheidCombinatie
C35C40dg,koolwaterstoffractie C35-C40 / drooggewicht,HoedanigheidCombinatie
C36C40,koolwaterstoffractie C36-C40,KoolwaterstofFractie
C36C40dg,koolwaterstoffractie C36-C40 / drooggewicht,HoedanigheidCombinatie
CS2,uitgedrukt in Koolstofdisulfide,HoedanigheidEquivalent
CS2dg,uitgedrukt in Koolstofdisulfide / drooggewicht,HoedanigheidCombinatie
CTAB,uitgedrukt in cetyltrimethylammoniumbromide,HoedanigheidEquivalent
CZVdg,uitgedrukt in CZV / drooggewicht,HoedanigheidCombinatie
CaCO3,uitgedrukt in Calciumcarbonaat,HoedanigheidEquivalent
CaCl2dg,uitgedrukt in Calciumchloride / drooggewicht,HoedanigheidCombinatie
CaO,uitgedrukt in calciumoxide,HoedanigheidEquivalent
CaOdg,uitgedrukt in Calciumoxide / drooggewicht,HoedanigheidCombinatie
Cdg,uitgedrukt in Koolstof / drooggewicht,HoedanigheidCombinatie
Cl,uitgedrukt in Chloor,HoedanigheidEquivalent
Cldg,uitgedrukt in Chloor / drooggewicht,HoedanigheidCombinatie
Clnb,uitgedrukt in Chloor na beluchten,HoedanigheidCombinatie
Clnf,uitgedrukt in Chloor na filtratie,HoedanigheidCombinatie
Cnf,uitgedrukt in Koolstof na filtratie,HoedanigheidCombinatie
Cpg,uitgedrukt in Koolstof particulair gebonden,HoedanigheidCombinatie
D002-032,diameter tussen 2 en 32 mm,KorrelgrootteFractie
D038-050,diameter tussen 38 en 50 um,KorrelgrootteFractie
D038-063,diameter tussen 38 en 63 um,KorrelgrootteFractie
D050-063,diameter tussen 50 en 63 um,KorrelgrootteFractie
D063-090,diameter tussen 63 en 90 um,KorrelgrootteFractie
D063-125,diameter tussen 63 en 125 um,KorrelgrootteFractie
D090-125,diameter tussen 90 en 125 um,KorrelgrootteFractie
D106-150,diameter tussen 106 en 150 um,KorrelgrootteFractie
D125-180,diameter tussen 125 en 180 um,KorrelgrootteFractie
D125-250,diameter tussen 125 en 250 um,KorrelgrootteFractie
D150-212,diameter tussen 150 en 212 um,KorrelgrootteFractie
D180-250,diameter tussen 180 en 250 um,KorrelgrootteFractie
D1E3-2E3,diameter tussen 1000 en 2000 um,KorrelgrootteFractie
D212-250,diameter tussen 212 en 250 um,KorrelgrootteFractie
D250-300,diameter tussen 250 en 300 um,KorrelgrootteFractie
D250-355,diameter tussen 250 en 355 um,KorrelgrootteFractie
D250-500,diameter tussen 250 en 500 um,KorrelgrootteFractie
D300-425,diameter tussen 300 en 425 um,KorrelgrootteFractie
D355-500,diameter tussen 355 en 500 um,KorrelgrootteFractie
D500-1E3,diameter tussen 500 en 1000 um,KorrelgrootteFractie
DICHT,dicht,HoedanigheidFractieBasis
DNAKPN,uitgedrukt in DNA-kopieën,HoedanigheidEquivalent
DOOD,Dood,BiologischKenmerk
DRIJVD,Drijvende fractie,HoedanigheidFractieBasis
Dg0038,diameter groter dan 38 um,KorrelgrootteFractie
Dg0043,diameter groter dan 43 um,KorrelgrootteFractie
Dg0050,diameter groter dan 50 um,KorrelgrootteFractie
Dg0053,diameter groter dan 53 um,KorrelgrootteFractie
Dg0063,diameter groter dan 63 um,KorrelgrootteFractie
Dg0150,diameter groter dan 150 um,KorrelgrootteFractie
Dg0210,diameter groter dan 210 um,KorrelgrootteFractie
Dg0250,diameter groter dan 250 um,KorrelgrootteFractie
Dg032,diameter groter dan 32 mm,KorrelgrootteFractie
Dg0425,diameter groter dan 425 um,KorrelgrootteFractie
Dg2000,diameter groter dan 2000 um,KorrelgrootteFractie
Dg2000md,diameter groter dan 2000 um / minerale delen,KorrelgrootteFractie
Dk0002,diameter kleiner dan 2 um,KorrelgrootteFractie
