Code,Omschrijving,Groep
00,Normale waarde,Normaal
03,Waarde heeft een grotere spreiding dan beschreven,Afwijkend
04,Bepaald met hele detectiegrens,Detectiegrens
05,Bepaald met halve detectiegrens,Detectiegrens
06,Bepaald met nul waarde voor detectiegrens,Detectiegrens
07,Waarde is verhoogde rapportagegrens,Detectiegrens
10,In de ruimte geïnterpoleerde waarde,Interpolatie
20,In de tijd geïnterpoleerde waarde,Interpolatie
25,In ruimte en tijd geïnterpoleerde waarde,Interpolatie
30,Waarde beïnvloedt door ruimtelijke activiteiten,Afwijkend
50,Niet-plausibele waarde,Afwijkend
55,"Gevlagde waarde, bepaald met halve detectiegrens",
56,"Gevlagde waarde, bepaald met nul waarde voor detectiegrens",Afwijkend
98,Waarde bepaald op onvolledige basis,Afwijkend
99,Hiaat waarde,Afwijkend
