Code,Omschrijving,Groep
BD,Bloed,
DB,Dijbeen,
DI,Dierlijk weefsel,
DM,Darm,Orgaan
DR,Dooier,
EO,Embryo,
EP,Ellepijp,
ES,Eierschaal,
EV,Eivlies,
FT,Filet,
GL,Gal,Orgaan
HB,Handwortelbeen,
HN,Hersenen,Orgaan
HT,Hart,Orgaan
KP,Kop,
LC,Levercel,
LR,Lever,Orgaan
MG,Maag,Orgaan
NR,Nier,Orgaan
OB,Opperarmbeen,
OG,Oog,Orgaan
PA,Plasma,
SB,Scheenbeen,
SF,Struif,
SL,Snavel,
SP,Schelp,
ST,Staart,
SW,Spierweefsel,Orgaan
T4,genetisch gemodificeerde T47D-cellijn,
VN,Vin,
VS,Vlees,
Vl,Vleugel,
