Code,Omschrijving,Groep,Titel
AQUOKIT,Met Aquo-kit berekend oordeel of toetsresultaat,Methodiek,
AUTOMATISCH,Niet genormaliseerde automatische waardebepaling,Algemeen niet-genormaliseerd,
BLAUWAP:2010,Blauwalgenprotocol 2010,Voorschrift vervallen,Blauwalgenprotocol 2010
BLAUWAP:2011,Blauwalgenprotocol 2011,Voorschrift vervallen,Blauwalgenprotocol 2011
BLAUWAP:2012,Blauwalgenprotocol 2012,Voorschrift,Blauwalgenprotocol 2012
CIW,Bepaling klasse (1-5) volgens CIW-methodiek,Methodiek,
DESK,Bepaling klasse door deskundige,Methodiek,
EBEO,Bepaling waarde / EBEO-klasse (1-5) volgens EBEO-systematiek,Methodiek,
GWPROTEU.13,Oordeel deskundige o.b.v. protocol toetsen grondw. 2013 EU,Methodiek,"Door deskundige bepaald oordeel op basis van protocol toetsen grondwater: 2013, paragraaf 2.3 (EU Oordeel)"
GWPROTNL.13,Oordeel deskundige o.b.v. protocol toetsen grondw. 2013 NL,Methodiek,"Door deskundige bepaald oordeel op basis van protocol toetsen grondwater: 2013, paragraaf 2.2 (NL Oordeel)"
HH-W10B:2010,HH-10B Analyse van zoöplankton voor EBeo,Voorschrift,Handboek Hydrobiologie - Werkvoorschrift 10B - Analyse van zoöplankton voor EBeo
HH-W11A:2010,HH-11A Inventarisatie van vegetatie,Voorschrift,Handboek Hydrobiologie - Werkvoorschrift 11A - Inventarisatie
HH-W12B:2010,HH-12B Analyse van macrofauna,Voorschrift,Handboek Hydrobiologie - Werkvoorschrift 12B - Analyse van macrofauna
HH-W13A:2010,HH-13A Bestandsopname van vis voor de KRW,Voorschrift,Handboek Hydrobiologie - Werkvoorschrift 13A - Bestandsopname van vis voor de KRW
HH-W7B:2010,HH-7B Analyse van fytoplankton in oppervlaktewater,Voorschrift,Handboek Hydrobiologie - Werkvoorschrift 7B - Analyse van fytoplankton in oppervlaktewater
HH-W8B:2010,HH-8B Analyse van sieralgen in opp.w. met een omkeermicrosc.,Voorschrift,Handboek Hydrobiologie - Werkvoorschrift 8B - Analyse van sieralgen in oppervlaktewater met een omkeermicroscoop
HH-W8C:2010,HH-8C Analyse van sieralgen in opp.w. met staande microsc.,Voorschrift,Handboek Hydrobiologie - Werkvoorschrift 8C - Analyse van sieralgen in oppervlaktewater met staande microscoop
