ID,NAME,X,Y,TYPE,TIMESTEP,PARAMETERS
aqu,Aqualectra,-68.9543457,12.11150169,Manual,86400,Rainfall
bar,Santa Barbara,-68.8441391,12.06584454,Manual,86400,Rainfall
bla,Plantage Blauwbaai,-68.98477936,12.13487244,Manual,86400,Rainfall
bll,Landhuis Blauw,-68.9829483,12.13935089,Manual,86400,Rainfall
car,Carmabi,-68.96928406,12.12306118,Manual,86400,Rainfall
dom,Dominguitu,-68.8956604,12.10585022,Manual,86400,Rainfall
ema,Emaus,-69.111763,12.27638531,Manual,86400,Rainfall
fon,Fontein,-69.06500244,12.25035286,Manual,86400,Rainfall
gro,Grote Berg,-68.99272919,12.18047523,Manual,86400,Rainfall
hab,Huize Habaai,-68.94939423,12.12412739,Manual,86400,Rainfall
hat,Hato Airport,-68.95863342,12.18836117,Manual,86400,Rainfall
hof,Hofi Mango,-69.13874817,12.30660725,Manual,86400,Rainfall
kae,KAE,-68.9543457,12.11150169,Manual,86400,Rainfall
kas,Kas di Orashon,-69.111763,12.27638531,Manual,86400,Rainfall
kol,Kolonia,-69.09251404,12.26385689,Manual,86400,Rainfall
kor,Tera Kora,-69.02877808,12.22426701,Manual,86400,Rainfall
kwa,Klein Kwartier,-68.8875885,12.12325001,Manual,86400,Rainfall
mah,Seru Mahuma,-68.95763397,12.18032837,Manual,86400,Rainfall
mar,Sta Maria,-68.94724274,12.16512108,Manual,86400,Rainfall
mil,Maria Imaculata,-68.94801331,12.12032413,Manual,86400,Rainfall
mmc,Mijn Maatschappij Cur,-68.83226776,12.06725121,Manual,86400,Rainfall
pop,Plantage Popo,-68.85934448,12.13346672,Manual,86400,Rainfall
R11,Curacao Hato Airport Station,-68.96443176,12.19120312,Automatic,60,"Rainfall,Temperature,Wind speed,Relative humidity,Pressure,Solar radiation"
R29,Curacao Hato Airport Station 2,-68.94191742,12.18286991,Automatic,60,Rainfall
rei,Reigerweg,-68.89115906,12.13002586,Manual,86400,Rainfall
ros,Pastorie Sta Rosa,-68.87153625,12.12262058,Manual,86400,Rainfall
sal,Landhuis San Juan,-69.09868622,12.25303745,Manual,86400,Rainfall
san,San Juan,-69.10324097,12.25198936,Manual,86400,Rainfall
sap,Plantage San Juan,-69.09740448,12.25383377,Manual,86400,Rainfall
sav,Savonet,-69.10609436,12.33916283,Manual,86400,Rainfall
ske,Skerpene,-68.87979126,12.10817623,Manual,86400,Rainfall
sol,Soltuna,-68.960289,12.15131855,Manual,86400,Rainfall
sot,So-to,-69.10057831,12.26725388,Manual,86400,Rainfall
sum,Sumbu,-69.06728363,12.26385689,Manual,86400,Rainfall
sun,Sunset Heights,-68.90655518,12.16546154,Manual,86400,Rainfall
val,Sun Valley,-68.90683746,12.16073513,Manual,86400,Rainfall
van,Van Engelen,-68.89004517,12.12657547,Manual,86400,Rainfall
wes,Westpunt,-69.1522522,12.37077236,Manual,86400,Rainfall
onv,Onverwacht,-68.905575,12.152986,Automatic,60,"Rainfall,Temperature,Wind speed,Relative humidity,Solar radiation"
steen,Steenrijk,-68.913708,12.098757,Automatic,60,"Rainfall,Temperature,Wind speed,Relative humidity"
koko,Kokori,-68.849218,12.141755,Automatic,60,"Rainfall,Temperature,Wind speed,Relative humidity"
sein,Seinpost,-68.86581,12.104098,Automatic,60,"Rainfall,Temperature,Wind speed,Relative humidity"
sum1,Sumbu,-69.066122,12.266745,Manual/Automatic,60,"Rainfall,Temperature,Wind speed,Relative humidity"
klkwart,Klein Kwartier, -68.891630, 12.119250,Automatic,60,"Rainfall,Temperature,Wind speed,Relative humidity,Solar radiation"
sta, Sta Maria,-68.949562,12.154105,Automatic,60,"Rainfall,Temperature,Wind speed,Relative humidity"
