GMT+1,H-RN-0001
,Q.uh
1951-01-03 01:00:00,220.77599
1951-01-04 01:00:00,623.66125
1951-01-05 01:00:00,1056.7762
1951-01-06 01:00:00,1607.869
1951-01-07 01:00:00,2227.4712
1951-01-08 01:00:00,2726.0217
1951-01-09 01:00:00,2992.9631
1951-01-10 01:00:00,3060.335
1951-01-11 01:00:00,3017.2317
1951-01-12 01:00:00,2933.2021
1951-01-13 01:00:00,2847.0398
1951-01-14 01:00:00,2768.4507
1951-01-15 01:00:00,2696.9705
1951-01-16 01:00:00,2656.1963
1951-01-17 01:00:00,2682.8286
1951-01-18 01:00:00,2816.0952
1951-01-19 01:00:00,3126.0398
1951-01-20 01:00:00,3603.0938
1951-01-21 01:00:00,4135.112
1951-01-22 01:00:00,4641.657
1951-01-23 01:00:00,5088.391
1951-01-24 01:00:00,5398.085
1951-01-25 01:00:00,5451.1064
1951-01-26 01:00:00,5187.767
1951-01-27 01:00:00,4685.023
1951-01-28 01:00:00,4111.3965
1951-01-29 01:00:00,3613.8613
1951-01-30 01:00:00,3251.3516
1951-01-31 01:00:00,3008.0742
1951-02-01 01:00:00,2842.325
1951-02-02 01:00:00,2718.774
1951-02-03 01:00:00,2616.1257
1951-02-04 01:00:00,2524.4214
1951-02-05 01:00:00,2441.1384
1951-02-06 01:00:00,2368.9685
1951-02-07 01:00:00,2311.775
1951-02-08 01:00:00,2268.3938
1951-02-09 01:00:00,2231.9685
1951-02-10 01:00:00,2196.8008
1951-02-11 01:00:00,2167.6033
1951-02-12 01:00:00,2158.5923
1951-02-13 01:00:00,2164.6528
1951-02-14 01:00:00,2175.078
1951-02-15 01:00:00,2206.645
1951-02-16 01:00:00,2251.9211
1951-02-17 01:00:00,2270.5374
1951-02-18 01:00:00,2252.218
1951-02-19 01:00:00,2234.511
1951-02-20 01:00:00,2249.1626
1951-02-21 01:00:00,2316.4058
1951-02-22 01:00:00,2445.642
1951-02-23 01:00:00,2628.484
1951-02-24 01:00:00,2838.0862
1951-02-25 01:00:00,3025.6084
1951-02-26 01:00:00,3120.8384
1951-02-27 01:00:00,3076.7268
1951-02-28 01:00:00,2918.706
1951-03-01 01:00:00,2716.6216
1951-03-02 01:00:00,2531.949
1951-03-03 01:00:00,2389.7998
1951-03-04 01:00:00,2283.6406
1951-03-05 01:00:00,2197.7021
1951-03-06 01:00:00,2121.3733
1951-03-07 01:00:00,2051.132
1951-03-08 01:00:00,1987.9747
1951-03-09 01:00:00,1933.6871
1951-03-10 01:00:00,1887.5122
1951-03-11 01:00:00,1846.0854
1951-03-12 01:00:00,1806.3429
1951-03-13 01:00:00,1767.7855
1951-03-14 01:00:00,1732.3799
1951-03-15 01:00:00,1706.574
1951-03-16 01:00:00,1703.9822
1951-03-17 01:00:00,1742.6182
1951-03-18 01:00:00,1857.2112
1951-03-19 01:00:00,2073.8123
1951-03-20 01:00:00,2379.7307
1951-03-21 01:00:00,2741.3457
1951-03-22 01:00:00,3091.9294
1951-03-23 01:00:00,3351.9602
1951-03-24 01:00:00,3471.9749
1951-03-25 01:00:00,3432.4883
1951-03-26 01:00:00,3264.755
1951-03-27 01:00:00,3060.0127
1951-03-28 01:00:00,2913.046
1951-03-29 01:00:00,2859.1711
1951-03-30 01:00:00,2892.3616
1951-03-31 01:00:00,2985.3435
1951-04-01 01:00:00,3072.3906
1951-04-02 01:00:00,3078.7822
1951-04-03 01:00:00,2987.7617
1951-04-04 01:00:00,2847.567
1951-04-05 01:00:00,2711.492
1951-04-06 01:00:00,2599.365
1951-04-07 01:00:00,2505.0066
1951-04-08 01:00:00,2419.1252
1951-04-09 01:00:00,2348.145
1951-04-10 01:00:00,2322.5522
1951-04-11 01:00:00,2382.797
1951-04-12 01:00:00,2522.3032
1951-04-13 01:00:00,2653.2778
1951-04-14 01:00:00,2688.8296
1951-04-15 01:00:00,2629.2786
1951-04-16 01:00:00,2522.4092
1951-04-17 01:00:00,2404.2358
1951-04-18 01:00:00,2292.7617
1951-04-19 01:00:00,2194.9993
1951-04-20 01:00:00,2112.3574
1951-04-21 01:00:00,2050.0754
1951-04-22 01:00:00,2011.1152
1951-04-23 01:00:00,1985.4541
1951-04-24 01:00:00,1960.2192
1951-04-25 01:00:00,1931.9789
1951-04-26 01:00:00,1902.7568
1951-04-27 01:00:00,1873.1323
1951-04-28 01:00:00,1851.6091
1951-04-29 01:00:00,1869.2463
1951-04-30 01:00:00,1923.565
1951-05-01 01:00:00,1976.6885
1951-05-02 01:00:00,2008.328
1951-05-03 01:00:00,2015.0698
1951-05-04 01:00:00,1998.2997
1951-05-05 01:00:00,1963.1094
1951-05-06 01:00:00,1926.6621
1951-05-07 01:00:00,1891.559
1951-05-08 01:00:00,1858.8156
1951-05-09 01:00:00,1844.9374
1951-05-10 01:00:00,1840.5319
1951-05-11 01:00:00,1829.2234
1951-05-12 01:00:00,1814.7413
1951-05-13 01:00:00,1811.0873
1951-05-14 01:00:00,1828.1249
1951-05-15 01:00:00,1852.6133
1951-05-16 01:00:00,1854.399
1951-05-17 01:00:00,1817.0956
1951-05-18 01:00:00,1753.7906
1951-05-19 01:00:00,1691.9133
1951-05-20 01:00:00,1650.5089
1951-05-21 01:00:00,1632.4341
1951-05-22 01:00:00,1627.6509
1951-05-23 01:00:00,1613.7042
1951-05-24 01:00:00,1578.718
1951-05-25 01:00:00,1534.2628
1951-05-26 01:00:00,1510.5023
1951-05-27 01:00:00,1510.1782
1951-05-28 01:00:00,1536.0635
1951-05-29 01:00:00,1614.98
1951-05-30 01:00:00,1733.8636
1951-05-31 01:00:00,1840.9255
1951-06-01 01:00:00,1904.0631
1951-06-02 01:00:00,1927.7812
1951-06-03 01:00:00,1924.454
1951-06-04 01:00:00,1908.1237
1951-06-05 01:00:00,1898.1576
1951-06-06 01:00:00,1903.8865
1951-06-07 01:00:00,1915.2272
1951-06-08 01:00:00,1913.8671
1951-06-09 01:00:00,1891.9745
1951-06-10 01:00:00,1860.8435
1951-06-11 01:00:00,1848.1666
1951-06-12 01:00:00,1879.0831
1951-06-13 01:00:00,1950.9163
1951-06-14 01:00:00,2033.66
1951-06-15 01:00:00,2093.9011
1951-06-16 01:00:00,2117.9297
1951-06-17 01:00:00,2113.169
1951-06-18 01:00:00,2094.8252
1951-06-19 01:00:00,2078.098
1951-06-20 01:00:00,2079.0698
1951-06-21 01:00:00,2108.2227
1951-06-22 01:00:00,2159.5237
1951-06-23 01:00:00,2215.1418
1951-06-24 01:00:00,2260.922
1951-06-25 01:00:00,2291.7537
1951-06-26 01:00:00,2316.66
