"","id","decimalLongitude","decimalLatitude","lifestage","basisOfRecord","eventDate","institutionCode","collectionCode","catalogNumber","sex","datasetName","bibliographicCitation","phylum","order","family","genus","scientificName","originalScientificName","scientificNameAuthorship","obisID","resourceID","yearcollected","species","qc","aphiaID","speciesID","datasetID","geodeticDatum","modified","occurrenceID","occurrenceStatus","recordedBy","scientificNameID","specificEpithet","class","depth","minimumDepthInMeters","maximumDepthInMeters","references","locality","continent","coordinateUncertaintyInMeters","county","occurrenceRemarks","stateProvince","individualCount","eventID","identifiedBy","fieldNumber","otherCatalogNumbers","recordNumber","dynamicProperties","eventTime","dateIdentified"
"1",405160854,10.173333,57.783333,"Adult","Occurrence","2005-07-19 10:00:00","ICES","DOME-Biota","12187955","F","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2005,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2008-11-13 14:32:00","urn:catalog:ICES:DOME-Biota:12187955","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",405160865,10.173333,57.783333,"Adult","Occurrence","2005-07-19 10:00:00","ICES","DOME-Biota","12187956","F","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2005,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2008-11-13 14:32:00","urn:catalog:ICES:DOME-Biota:12187956","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",405160876,10.173333,57.783333,"Adult","Occurrence","2005-07-19 10:00:00","ICES","DOME-Biota","12187958","F","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2005,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2008-11-13 14:32:00","urn:catalog:ICES:DOME-Biota:12187958","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",405160908,10.173333,57.783333,"Adult","Occurrence","2005-07-19 10:00:00","ICES","DOME-Biota","12187959","F","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2005,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2008-11-13 14:32:00","urn:catalog:ICES:DOME-Biota:12187959","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",405160930,10.173333,57.783333,"Adult","Occurrence","2005-07-19 10:00:00","ICES","DOME-Biota","12187960","M","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2005,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2008-11-13 14:32:00","urn:catalog:ICES:DOME-Biota:12187960","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",405160941,10.173333,57.783333,"Adult","Occurrence","2005-07-19 10:00:00","ICES","DOME-Biota","12187961","M","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2005,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2008-11-13 14:32:00","urn:catalog:ICES:DOME-Biota:12187961","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",405160952,10.173333,57.783333,"Adult","Occurrence","2005-07-19 10:00:00","ICES","DOME-Biota","12187963","M","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2005,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2008-11-13 14:32:00","urn:catalog:ICES:DOME-Biota:12187963","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",405160963,10.173333,57.783333,"Adult","Occurrence","2005-07-19 10:00:00","ICES","DOME-Biota","12187964","M","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2005,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2008-11-13 14:32:00","urn:catalog:ICES:DOME-Biota:12187964","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",405160974,10.173333,57.783333,"Adult","Occurrence","2005-07-19 10:00:00","ICES","DOME-Biota","12187965","M","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2005,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2008-11-13 14:32:00","urn:catalog:ICES:DOME-Biota:12187965","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",405160985,10.173333,57.783333,"Adult","Occurrence","2005-07-19 10:00:00","ICES","DOME-Biota","12187966","M","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2005,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2008-11-13 14:32:00","urn:catalog:ICES:DOME-Biota:12187966","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
