DATASET;TITLE;WORKSPACE;STYLE;PATH
sprinkling_location.nc;beregenings locatie;beregening_model;beregening;NHI-data/Modellen/NHI/modelinvoer/metaswap/sprinkling_location.nc
sprinkling_layer.nc;modellaag voor beregening;beregening_model;sprinklinglayer;NHI-data/Modellen/NHI/modelinvoer/metaswap/sprinkling_layer.nc
soil_rootzone_thickness.nc;wortelzonedikte;bodem;wortelzonedikte;NHI-data/Modellen/NHI/modelinvoer/metaswap/soil_rootzone_thickness.nc
soil_physical_unit.nc;bodem fysiche eenheid;bodem;bodemfysischeeenheid;NHI-data/Modellen/NHI/modelinvoer/metaswap/soil_physical_unit.nc
landuse.nc;landgebruik;landgebruik_ahn2;landgebruik;NHI-data/Modellen/NHI/modelinvoer/metaswap/landuse.nc
land_use_area_surfacewater.nc;Areaal oppervlaktewater;landgebruik_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/metaswap/land_use_area_surfacewater.nc
top_impermeable_layer_6.nc;top ondoorlatende laag 6;ondergrond_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/tops_bottoms/top_impermeable_layer_6.nc
top_impermeable_layer_5.nc;top ondoorlatende laag 5;ondergrond_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/tops_bottoms/top_impermeable_layer_5.nc
top_impermeable_layer_4.nc;top ondoorlatende laag 4;ondergrond_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/tops_bottoms/top_impermeable_layer_4.nc
top_impermeable_layer_3.nc;top ondoorlatende laag 3;ondergrond_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/tops_bottoms/top_impermeable_layer_3.nc
top_impermeable_layer_2.nc;top ondoorlatende laag 2;ondergrond_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/tops_bottoms/top_impermeable_layer_2.nc
top_impermeable_layer_1.nc;top ondoorlatende laag 1;ondergrond_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/tops_bottoms/top_impermeable_layer_1.nc
geohydrological_base_layer.nc;geohydrologische basis;ondergrond_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/tops_bottoms/geohydrological_base_layer.nc
base_impermeable_layer_6.nc;bodem ondoorlatende laag 6;ondergrond_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/tops_bottoms/base_impermeable_layer_6.nc
base_impermeable_layer_5.nc;bodem ondoorlatende laag 5;ondergrond_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/tops_bottoms/base_impermeable_layer_5.nc
base_impermeable_layer_4.nc;bodem ondoorlatende laag 4;ondergrond_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/tops_bottoms/base_impermeable_layer_4.nc
base_impermeable_layer_3.nc;bodem ondoorlatende laag 3;ondergrond_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/tops_bottoms/base_impermeable_layer_3.nc
base_impermeable_layer_2.nc;bodem ondoorlatende laag 2;ondergrond_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/tops_bottoms/base_impermeable_layer_2.nc
base_impermeable_layer_1.nc;bodem ondoorlatende laag 1;ondergrond_ahn2;ahn;NHI-data/Modellen/NHI/modelinvoer/tops_bottoms/base_impermeable_layer_1.nc
transmissivity_layer7.nc;doorlatendheid laag 7;ondergrond_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/transmissivity/transmissivity_layer7.nc
transmissivity_layer6.nc;doorlatendheid laag 6;ondergrond_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/transmissivity/transmissivity_layer6.nc
transmissivity_layer5.nc;doorlatendheid laag 5;ondergrond_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/transmissivity/transmissivity_layer5.nc
transmissivity_layer4.nc;doorlatendheid laag 4;ondergrond_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/transmissivity/transmissivity_layer4.nc
transmissivity_layer3.nc;doorlatendheid laag 3;ondergrond_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/transmissivity/transmissivity_layer3.nc
transmissivity_layer2.nc;doorlatendheid laag 2;ondergrond_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/transmissivity/transmissivity_layer2.nc
transmissivity_layer1.nc;doorlatendheid laag 1;ondergrond_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/transmissivity/transmissivity_layer1.nc
vertical_resistance_layer6.nc;vertical weerstand laag 6;ondergrond_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/verical_resistance/vertical_resistance_layer6.nc
vertical_resistance_layer5.nc;vertical weerstand laag 5;ondergrond_ahn2;kd-c;NHI-data/Modellen/NHI/modelinvoer/verical_resistance/vertical_resistance_layer5.nc
