time,platform_id,platform_name,lon,lat,wgs_84,epsg,x,y,z,value,unit,location_name
2013-01-22,Imares_st_1,HUIBGOT,,,,,,,,0.113263288,mgC/l,HUIBGOT
2013-02-21,Imares_st_1,HUIBGOT,,,,,,,,0.115825512,mgC/l,HUIBGOT
2013-03-07,Imares_st_1,HUIBGOT,,,,,,,,0.208820123,mgC/l,HUIBGOT
2013-03-25,Imares_st_1,HUIBGOT,,,,,,,,0.320500988,mgC/l,HUIBGOT
2013-04-03,Imares_st_1,HUIBGOT,,,,,,,,0.065156214,mgC/l,HUIBGOT
2013-04-18,Imares_st_1,HUIBGOT,,,,,,,,0.478828814,mgC/l,HUIBGOT
2013-05-02,Imares_st_1,HUIBGOT,,,,,,,,0.167977418,mgC/l,HUIBGOT
2013-05-22,Imares_st_1,HUIBGOT,,,,,,,,0.043180829,mgC/l,HUIBGOT
2013-06-04,Imares_st_1,HUIBGOT,,,,,,,,0.033641711,mgC/l,HUIBGOT
2013-06-19,Imares_st_1,HUIBGOT,,,,,,,,0.046348151,mgC/l,HUIBGOT
2013-07-03,Imares_st_1,HUIBGOT,,,,,,,,0.030445306,mgC/l,HUIBGOT
2013-07-18,Imares_st_1,HUIBGOT,,,,,,,,0.256019994,mgC/l,HUIBGOT
2013-08-01,Imares_st_1,HUIBGOT,,,,,,,,0.20223929,mgC/l,HUIBGOT
2013-08-15,Imares_st_1,HUIBGOT,,,,,,,,0.111625767,mgC/l,HUIBGOT
2013-08-29,Imares_st_1,HUIBGOT,,,,,,,,0.246041371,mgC/l,HUIBGOT
2013-09-16,Imares_st_1,HUIBGOT,,,,,,,,0.105775128,mgC/l,HUIBGOT
2013-10-15,Imares_st_1,HUIBGOT,,,,,,,,0.109553602,mgC/l,HUIBGOT
2013-11-14,Imares_st_1,HUIBGOT,,,,,,,,0.048091893,mgC/l,HUIBGOT
2013-12-12,Imares_st_1,HUIBGOT,,,,,,,,0.057327819,mgC/l,HUIBGOT
2013-01-22,Imares_st_2,RANSGZD,,,,,,,,0.217553868,mgC/l,RANSGZD
2013-02-21,Imares_st_2,RANSGZD,,,,,,,,0.052121414,mgC/l,RANSGZD
2013-03-07,Imares_st_2,RANSGZD,,,,,,,,0.19010824,mgC/l,RANSGZD
2013-03-25,Imares_st_2,RANSGZD,,,,,,,,0.049940107,mgC/l,RANSGZD
2013-04-03,Imares_st_2,RANSGZD,,,,,,,,0.048191174,mgC/l,RANSGZD
2013-04-18,Imares_st_2,RANSGZD,,,,,,,,0.553566783,mgC/l,RANSGZD
2013-05-02,Imares_st_2,RANSGZD,,,,,,,,0.61414712,mgC/l,RANSGZD
2013-05-22,Imares_st_2,RANSGZD,,,,,,,,0.244843061,mgC/l,RANSGZD
2013-06-04,Imares_st_2,RANSGZD,,,,,,,,0.043420892,mgC/l,RANSGZD
2013-06-19,Imares_st_2,RANSGZD,,,,,,,,0.103393613,mgC/l,RANSGZD
2013-07-03,Imares_st_2,RANSGZD,,,,,,,,0.121277471,mgC/l,RANSGZD
2013-07-18,Imares_st_2,RANSGZD,,,,,,,,0.407834064,mgC/l,RANSGZD
2013-08-01,Imares_st_2,RANSGZD,,,,,,,,0.142000447,mgC/l,RANSGZD
2013-08-15,Imares_st_2,RANSGZD,,,,,,,,0.127268005,mgC/l,RANSGZD
2013-08-29,Imares_st_2,RANSGZD,,,,,,,,0.40820432,mgC/l,RANSGZD
2013-09-16,Imares_st_2,RANSGZD,,,,,,,,0.322503546,mgC/l,RANSGZD
2013-10-15,Imares_st_2,RANSGZD,,,,,,,,0.125903828,mgC/l,RANSGZD
2013-11-14,Imares_st_2,RANSGZD,,,,,,,,0.062854925,mgC/l,RANSGZD
2013-12-12,Imares_st_2,RANSGZD,,,,,,,,0.148630759,mgC/l,RANSGZD
2013-01-22,Imares_st_3,DOEKGZD,,,,,,,,0.033813435,mgC/l,DOEKGZD
2013-02-21,Imares_st_3,DOEKGZD,,,,,,,,0.043295507,mgC/l,DOEKGZD
2013-03-07,Imares_st_3,DOEKGZD,,,,,,,,0.024385298,mgC/l,DOEKGZD
2013-03-25,Imares_st_3,DOEKGZD,,,,,,,,0.184877866,mgC/l,DOEKGZD
2013-04-03,Imares_st_3,DOEKGZD,,,,,,,,0.101137788,mgC/l,DOEKGZD
2013-04-18,Imares_st_3,DOEKGZD,,,,,,,,0.155052474,mgC/l,DOEKGZD
2013-05-02,Imares_st_3,DOEKGZD,,,,,,,,0.238592323,mgC/l,DOEKGZD
2013-05-22,Imares_st_3,DOEKGZD,,,,,,,,0.542436709,mgC/l,DOEKGZD
2013-06-04,Imares_st_3,DOEKGZD,,,,,,,,0.224201506,mgC/l,DOEKGZD
2013-06-19,Imares_st_3,DOEKGZD,,,,,,,,0.785179114,mgC/l,DOEKGZD
2013-07-03,Imares_st_3,DOEKGZD,,,,,,,,0.162861768,mgC/l,DOEKGZD
2013-07-18,Imares_st_3,DOEKGZD,,,,,,,,0.044244581,mgC/l,DOEKGZD
2013-08-01,Imares_st_3,DOEKGZD,,,,,,,,0.267632655,mgC/l,DOEKGZD
2013-08-15,Imares_st_3,DOEKGZD,,,,,,,,0.496310703,mgC/l,DOEKGZD
2013-08-29,Imares_st_3,DOEKGZD,,,,,,,,0.211324601,mgC/l,DOEKGZD
2013-09-16,Imares_st_3,DOEKGZD,,,,,,,,0.935806185,mgC/l,DOEKGZD
2013-10-15,Imares_st_3,DOEKGZD,,,,,,,,0.107519401,mgC/l,DOEKGZD
2013-11-14,Imares_st_3,DOEKGZD,,,,,,,,0.223795555,mgC/l,DOEKGZD
2013-12-12,Imares_st_3,DOEKGZD,,,,,,,,0.081897893,mgC/l,DOEKGZD
2013-01-22,Imares_st_4,PAAPSSD,,,,,,,,0.131451931,mgC/l,PAAPSSD
2013-02-21,Imares_st_4,PAAPSSD,,,,,,,,0.017578332,mgC/l,PAAPSSD
2013-03-07,Imares_st_4,PAAPSSD,,,,,,,,0.085441318,mgC/l,PAAPSSD
2013-03-25,Imares_st_4,PAAPSSD,,,,,,,,0.08487633,mgC/l,PAAPSSD
2013-04-03,Imares_st_4,PAAPSSD,,,,,,,,0.105807287,mgC/l,PAAPSSD
2013-04-18,Imares_st_4,PAAPSSD,,,,,,,,0.163377708,mgC/l,PAAPSSD
2013-05-02,Imares_st_4,PAAPSSD,,,,,,,,0.244483588,mgC/l,PAAPSSD
2013-05-22,Imares_st_4,PAAPSSD,,,,,,,,0.939253612,mgC/l,PAAPSSD
2013-06-04,Imares_st_4,PAAPSSD,,,,,,,,1.741434563,mgC/l,PAAPSSD
2013-06-19,Imares_st_4,PAAPSSD,,,,,,,,0.15600921,mgC/l,PAAPSSD
2013-07-03,Imares_st_4,PAAPSSD,,,,,,,,0.188667802,mgC/l,PAAPSSD
2013-07-18,Imares_st_4,PAAPSSD,,,,,,,,0.145230352,mgC/l,PAAPSSD
2013-08-01,Imares_st_4,PAAPSSD,,,,,,,,0.129933247,mgC/l,PAAPSSD
2013-08-15,Imares_st_4,PAAPSSD,,,,,,,,0.141344213,mgC/l,PAAPSSD
2013-08-29,Imares_st_4,PAAPSSD,,,,,,,,0.7815067,mgC/l,PAAPSSD
2013-09-16,Imares_st_4,PAAPSSD,,,,,,,,0.22958832,mgC/l,PAAPSSD
2013-10-15,Imares_st_4,PAAPSSD,,,,,,,,0.129901136,mgC/l,PAAPSSD
2013-11-14,Imares_st_4,PAAPSSD,,,,,,,,0.169893384,mgC/l,PAAPSSD
2013-12-12,Imares_st_4,PAAPSSD,,,,,,,,0.568596868,mgC/l,PAAPSSD
2013-01-22,Imares_st_5,MONDVDDLD,,,,,,,,0,mgC/l,MONDVDDLD
2013-02-21,Imares_st_5,MONDVDDLD,,,,,,,,0.156192773,mgC/l,MONDVDDLD
2013-03-07,Imares_st_5,MONDVDDLD,,,,,,,,0.068184432,mgC/l,MONDVDDLD
2013-03-25,Imares_st_5,MONDVDDLD,,,,,,,,0.07402379,mgC/l,MONDVDDLD
2013-04-03,Imares_st_5,MONDVDDLD,,,,,,,,0.336679892,mgC/l,MONDVDDLD
2013-04-18,Imares_st_5,MONDVDDLD,,,,,,,,0.114396056,mgC/l,MONDVDDLD
2013-05-02,Imares_st_5,MONDVDDLD,,,,,,,,0.818952228,mgC/l,MONDVDDLD
2013-05-22,Imares_st_5,MONDVDDLD,,,,,,,,1.270331391,mgC/l,MONDVDDLD
2013-06-04,Imares_st_5,MONDVDDLD,,,,,,,,1.036798761,mgC/l,MONDVDDLD
2013-06-19,Imares_st_5,MONDVDDLD,,,,,,,,0.031602369,mgC/l,MONDVDDLD
2013-07-03,Imares_st_5,MONDVDDLD,,,,,,,,0.244398282,mgC/l,MONDVDDLD
2013-07-18,Imares_st_5,MONDVDDLD,,,,,,,,0.035898223,mgC/l,MONDVDDLD
2013-08-01,Imares_st_5,MONDVDDLD,,,,,,,,0.143785243,mgC/l,MONDVDDLD
2013-08-15,Imares_st_5,MONDVDDLD,,,,,,,,0.241452625,mgC/l,MONDVDDLD
2013-08-29,Imares_st_5,MONDVDDLD,,,,,,,,0.247091648,mgC/l,MONDVDDLD
2013-09-16,Imares_st_5,MONDVDDLD,,,,,,,,0.639379463,mgC/l,MONDVDDLD
2013-10-15,Imares_st_5,MONDVDDLD,,,,,,,,0.206962284,mgC/l,MONDVDDLD
2013-11-14,Imares_st_5,MONDVDDLD,,,,,,,,0.044862769,mgC/l,MONDVDDLD
2013-12-12,Imares_st_5,MONDVDDLD,,,,,,,,0.151157871,mgC/l,MONDVDDLD
2013-01-22,Imares_st_6,GROOTGTND,,,,,,,,0,mgC/l,GROOTGTND
2013-02-21,Imares_st_6,GROOTGTND,,,,,,,,0.066159213,mgC/l,GROOTGTND
2013-03-07,Imares_st_6,GROOTGTND,,,,,,,,0.149953588,mgC/l,GROOTGTND
2013-03-25,Imares_st_6,GROOTGTND,,,,,,,,0.116008748,mgC/l,GROOTGTND
2013-04-03,Imares_st_6,GROOTGTND,,,,,,,,0.021209775,mgC/l,GROOTGTND
2013-04-18,Imares_st_6,GROOTGTND,,,,,,,,0.128687946,mgC/l,GROOTGTND
