platform_id;platform_name;lon;lat;wgs_84;epsg;x;y;z;x.upper;x.mean;x.lower
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-1;1.4090108;1.2880540;1.1670972
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-1;1.5443631;1.3901421;1.2359212
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-1;2.6405716;2.2366875;1.8328034
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-1;2.8004496;2.5363299;2.2722101
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-1;1.3583169;1.2169184;1.0755200
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-1;4.1120262;3.8139928;3.5159593
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-1;3.2185953;2.8320737;2.4455521
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250; 0;1.1888413;1.0249950;0.8611487
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950; 0;1.2661515;1.0231558;0.7801602
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400; 0;2.8697933;2.2719284;1.6740634
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000; 0;3.4362843;2.5928346;1.7493849
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900; 0;1.4661631;1.1052025;0.7442419
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700; 0;4.7228660;3.3946073;2.0663486
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050; 0;4.0518262;3.1883178;2.3248095
