platform_id;platform_name;lon;lat;wgs_84;epsg;x;y;z;x.upper;x.mean;x.lower
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-2;1.0904877;1.0192562;0.9480247
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-2;1.2909989;1.1897436;1.0884883
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-2;1.8999328;1.7304800;1.5610272
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-2;1.4138347;1.2951261;1.1764174
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-2;0.9003009;0.8343089;0.7683170
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-2;1.1045568;1.0079612;0.9113655
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-2;1.3921585;1.2788983;1.1656381
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-1;0.7772158;0.7385673;0.6999188
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-1;1.0630700;0.9834167;0.9037633
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-1;1.9419641;1.7380800;1.5341959
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-1;1.5382848;1.3940545;1.2498243
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-1;0.6969692;0.6506559;0.6043426
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-1;1.1703721;1.1211778;1.0719834
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-1;1.1641526;1.0863542;1.0085557
