platform_id;platform_name;lon;lat;wgs_84;epsg;x;y;z;x.upper;x.mean;x.lower
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-2;0.12664947;0.11370400;0.10075853
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-2;0.18148338;0.15353543;0.12558749
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-2;0.16168920;0.14365079;0.12561239
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-2;0.16679359;0.14616000;0.12552641
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-2;0.11707238;0.10368254;0.09029270
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-2;0.16123101;0.14370588;0.12618076
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-2;0.21296372;0.19134109;0.16971845
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-1;0.06474018;0.06066690;0.05659363
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-1;0.09322758;0.08621519;0.07920279
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-1;0.11172804;0.09846491;0.08520178
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-1;0.12816088;0.11405833;0.09995579
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-1;0.06530177;0.05898353;0.05266528
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-1;0.10994351;0.10096256;0.09198161
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-1;0.14088733;0.12702927;0.11317120
