platform_id;platform_name;lon;lat;wgs_84;epsg;x;y;z;x.upper;x.mean;x.lower
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-2;0.4548508;0.3958880;0.3369252
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-2;0.6677267;0.5716850;0.4756434
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-2;0.9771948;0.8251890;0.6731831
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-2;0.5688255;0.4808862;0.3929468
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-2;0.3510091;0.3001532;0.2492973
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-2;0.3593594;0.2971650;0.2349707
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-2;0.4106625;0.3467266;0.2827907
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-1;0.3317782;0.2999533;0.2681284
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-1;0.5251019;0.4618855;0.3986691
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-1;1.0438720;0.8786228;0.7133736
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-1;0.6394017;0.5384545;0.4375074
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-1;0.2768593;0.2399777;0.2030962
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-1;0.2323132;0.2039714;0.1756296
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-1;0.3618174;0.3094510;0.2570845
