platform_id;platform_name;lon;lat;wgs_84;epsg;x;y;z;x.upper;x.mean;x.lower
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-2; 9.422367; 9.162328; 8.902289
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-2; 9.752830; 9.475043; 9.197257
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-2;10.534798;10.229829; 9.924860
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-2; 9.790492; 9.540163; 9.289833
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-2; 9.585498; 9.341885; 9.098272
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-2; 9.526288; 9.276176; 9.026065
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-2;11.451466;10.049921; 8.648377
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-1; 9.273014; 9.104646; 8.936277
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-1; 9.809902; 9.598777; 9.387652
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-1;10.321285;10.013750; 9.706215
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-1; 9.412457; 9.223378; 9.034300
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-1; 9.292430; 9.117205; 8.941979
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-1; 9.107783; 8.963462; 8.819140
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-1; 9.051906; 8.861086; 8.670266
