platform_id;platform_name;lon;lat;wgs_84;epsg;x;y;z;x.upper;x.mean;x.lower
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-2;0.15340193;0.14451220;0.13562247
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-2;0.13993665;0.13181513;0.12369360
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-2;0.17698898;0.16716667;0.15734436
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-2;0.18440398;0.17089256;0.15738115
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-2;0.11582894;0.10788800;0.09994706
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-2;0.17447642;0.15684762;0.13921881
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-2;0.24870509;0.22681818;0.20493128
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-1;0.06581734;0.06101566;0.05621397
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-1;0.06361829;0.06039697;0.05717565
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-1;0.09285033;0.08575000;0.07864967
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-1;0.13326108;0.12036842;0.10747576
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-1;0.05969264;0.05592688;0.05216112
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-1;0.19159970;0.16737468;0.14314967
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-1;0.13649486;0.12960690;0.12271894
