platform_id;platform_name;lon;lat;wgs_84;epsg;x;y;z;x.upper;x.mean;x.lower
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-2;0.3040324;0.2535000;0.2029676
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-2;0.4093055;0.3386038;0.2679020
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-2;0.4854595;0.3962243;0.3069891
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-2;0.3947033;0.3298571;0.2650110
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-2;0.2502893;0.2076442;0.1649992
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-2;0.4138549;0.3518800;0.2899051
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-2;0.5769216;0.4940367;0.4111518
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-1;0.2829790;0.2557886;0.2285981
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-1;0.4291513;0.3762867;0.3234222
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-1;0.7066645;0.5949386;0.4832127
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-1;0.5881592;0.5066860;0.4252127
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-1;0.2646176;0.2315898;0.1985620
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-1;0.3635541;0.3348519;0.3061497
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-1;0.6326600;0.5547864;0.4769128
