platform_id;platform_name;lon;lat;wgs_84;epsg;x;y;z;x.upper;x.mean;x.lower
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-2;0.013245017;0.011212414;0.009179810
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-2;0.012117659;0.010232333;0.008347008
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-2;0.027438013;0.023016250;0.018594487
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-2;0.019035666;0.016326136;0.013616606
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-2;0.011629415;0.009781391;0.007933367
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-2;0.014452789;0.011954268;0.009455747
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-2;0.016325668;0.013963462;0.011601255
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-1;0.010622033;0.009643504;0.008664975
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-1;0.011122802;0.009743107;0.008363413
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-1;0.026834160;0.021535517;0.016236874
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-1;0.020276563;0.016647742;0.013018921
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-1;0.008496887;0.007757082;0.007017277
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-1;0.020446138;0.019306086;0.018166034
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-1;0.016417982;0.013944210;0.011470439
