platform_id;platform_name;lon;lat;wgs_84;epsg;x;y;z;x.upper;x.mean;x.lower
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-2;0.08600744;0.06588618;0.04576492
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-2;0.03321758;0.02950833;0.02579909
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-2;0.03928126;0.03544355;0.03160584
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-2;0.07227336;0.06343333;0.05459330
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-2;0.04429573;0.03898400;0.03367227
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-2;0.06662308;0.05733333;0.04804358
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-2;0.09887154;0.08709016;0.07530879
marsdnd;Marsdiep noord;4.749934;52.98254;4326;7415;112200;555250;-1;0.03177939;0.02918779;0.02659618
doovbwt;Doove Balg west;5.032264;53.05290;4326;7415;131200;562950;-1;0.02606900;0.02399327;0.02191754
doovbot;Doove Balg oost;5.287214;53.08438;4326;7415;148300;566400;-1;0.03875212;0.03504074;0.03132936
blauwsot;Blauwe Slenk oost;5.277907;53.22456;4326;7415;147700;582000;-1;0.08600487;0.07829772;0.07059056
vliesm;Vliestroom;5.159904;53.31335;4326;7415;139850;591900;-1;0.03219031;0.02937529;0.02656027
dantzgt;Dantziggat;5.726981;53.40113;4326;7415;177600;601700;-1;0.10316182;0.09818828;0.09321473
zoutkplg;Zoutkamperlaag;6.132650;53.42941;4326;7415;204550;605050;-1;0.06940308;0.06362883;0.05785458
