origin;obs_date;obs_value;norm_fit_sim;range_sec
WZ420Dantzig;2009-04-01;4.01999998092651;2.91644406318665;60
WZ420Dantzig;2009-04-15;1.23000001907349;2.39213848114014;60
WZ420Dantzig;2009-05-04;1.44000005722046;1.3015114068985;60
WZ420Dantzig;2009-05-14;1.75;3.1620762348175;60
WZ420Dantzig;2009-06-02;2.86999988555908;0.648605048656464;60
WZ420Dantzig;2009-06-12;3.58999991416931;1.8613452911377;60
WZ420Dantzig;2009-07-01;2.0699999332428;0.42372664809227;60
WZ420Dantzig;2009-07-14;4.07000017166138;1.67195689678192;60
WZ420Dantzig;2009-08-03;2.30999994277954;1.14620721340179;60
WZ420Dantzig;2009-08-13;2.75;2.93816924095154;60
WZ420Dantzig;2009-09-01;2.89000010490417;2.4667432308197;60
WZ420Dantzig;2009-09-11;3.21000003814697;2.19736003875732;60
WZ420Dantzig;2009-09-30;3.40000009536743;1.98404216766357;60
WZ420Dantzig;2009-10-15;4.73999977111816;1.77259433269501;60
WZ420Dantzig;2009-11-03;4.32999992370605;2.84579563140869;60
WZ420Dantzig;2009-11-16;6.13000011444092;3.47127914428711;60
WZ420Dantzig;2009-12-16;7.07999992370605;2.43307399749756;60
