"substance","location","season","value.x","value.y"
"1","Chlfa","Bocht van Watum","winter",3.5,0.330028504133224
"2","Chlfa","Bocht van Watum","winter",3.5,0.330028504133224
"3","Chlfa","Groote Gat noord","winter",4,0.521206200122833
"4","Chlfa","Groote Gat noord","winter",4,0.521206200122833
"5","Chlfa","Huibertgat oost","winter",1.6,0.378805041313171
"6","Chlfa","Huibertgat oost","winter",1.6,0.378805041313171
"7","NH4","Bocht van Watum","winter",0.184,0.205239474773407
"8","NH4","Groote Gat noord","winter",0.239,0.350236177444458
"9","NH4","Huibertgat oost","winter",0.067,0.0329941846430302
"10","NO3","Bocht van Watum","winter",2.69,3.87918186187744
"11","NO3","Groote Gat noord","winter",4.09,5.01545190811157
"12","NO3","Huibertgat oost","winter",0.31,0.439345240592957
"13","OXY","Bocht van Watum","winter",12,10.3319873809814
"14","OXY","Groote Gat noord","winter",13.1,10.5998811721802
"15","OXY","Huibertgat oost","winter",11.8,10.0500974655151
"16","PO4","Bocht van Watum","winter",0.0368,0.0395454056560993
"17","PO4","Groote Gat noord","winter",0.0493,0.0259575694799423
"18","PO4","Huibertgat oost","winter",0.0101,0.0127131985500455
"19","Salinity","Bocht van Watum","winter",17.2,18.4759273529053
"20","Salinity","Groote Gat noord","winter",6.67,12.0446434020996
"21","Salinity","Huibertgat oost","winter",29.8,32.4031791687012
"22","SecchiDept","Bocht van Watum","winter",0.2,0.163474872708321
"23","SecchiDept","Groote Gat noord","winter",0.1,0.0999333783984184
"24","SecchiDept","Huibertgat oost","winter",0.5,0.353248804807663
"25","Si","Bocht van Watum","winter",2.57,3.13414454460144
"26","Si","Groote Gat noord","winter",3.42,4.04569387435913
"27","Si","Huibertgat oost","winter",0.461,0.408976674079895
"28","SS","Bocht van Watum","winter",147,198.595321655273
"29","SS","Groote Gat noord","winter",331,363.999237060547
"30","SS","Huibertgat oost","winter",34.4,97.9094314575195
"31","TotN","Bocht van Watum","winter",4.22,4.94832611083984
"32","TotN","Groote Gat noord","winter",5.98,6.38169240951538
"33","TotN","Huibertgat oost","winter",0.827,0.725037634372711
"34","TotP","Bocht van Watum","winter",0.252,0.224555537104607
"35","TotP","Groote Gat noord","winter",0.446,0.259179174900055
"36","TotP","Huibertgat oost","winter",0.0293,0.0454339273273945
"37","Chlfa","Bocht van Watum","winter",4.5,0.832217872142792
"38","Chlfa","Bocht van Watum","winter",4.5,0.832217872142792
"39","Chlfa","Groote Gat noord","winter",1.8,2.2485830783844
"40","Chlfa","Groote Gat noord","winter",1.8,2.2485830783844
"41","Chlfa","Huibertgat oost","winter",1.8,1.29756653308868
"42","Chlfa","Huibertgat oost","winter",1.8,1.29756653308868
"43","NH4","Bocht van Watum","winter",0.238,0.130558460950851
"44","NH4","Groote Gat noord","winter",0.564,0.232179656624794
"45","NH4","Huibertgat oost","winter",0.15,0.0211772229522467
"46","NO3","Bocht van Watum","winter",2.59,3.71976733207703
"47","NO3","Groote Gat noord","winter",3.51,4.79596710205078
"48","NO3","Huibertgat oost","winter",0.977,0.68744820356369
"49","OXY","Bocht van Watum","winter",14.1,12.3044891357422
"50","OXY","Groote Gat noord","winter",14.4,12.6237678527832
"51","OXY","Huibertgat oost","winter",14.2,11.5678901672363
"52","PO4","Bocht van Watum","winter",0.0439,0.029739873483777
"53","PO4","Groote Gat noord","winter",0.037,0.0135327065363526
"54","PO4","Huibertgat oost","winter",0.026,0.0177678633481264
"55","Salinity","Bocht van Watum","winter",18.4,16.2415370941162
"56","Salinity","Groote Gat noord","winter",10.7,10.1756219863892
"57","Salinity","Huibertgat oost","winter",28.1,30.6256713867188
"58","SecchiDept","Bocht van Watum","winter",0.1,0.195484936237335
"59","SecchiDept","Groote Gat noord","winter",0.1,0.0829936489462852
"60","SecchiDept","Huibertgat oost","winter",0.8,0.558260858058929
"61","Si","Bocht van Watum","winter",2.6,2.92969250679016
"62","Si","Groote Gat noord","winter",4.02,3.73242878913879
"63","Si","Huibertgat oost","winter",1.04,0.630045115947723
"64","SS","Bocht van Watum","winter",284,159.104537963867
"65","SS","Groote Gat noord","winter",113,469.092651367188
"66","SS","Huibertgat oost","winter",23.2,52.358341217041
"67","TotN","Bocht van Watum","winter",5.19,4.5417308807373
"68","TotN","Groote Gat noord","winter",6.12,5.86353063583374
"69","TotN","Huibertgat oost","winter",1.74,0.979504883289337
"70","TotP","Bocht van Watum","winter",0.287,0.159802302718163
"71","TotP","Groote Gat noord","winter",0.185,0.185379073023796
"72","TotP","Huibertgat oost","winter",0.0551,0.0499906353652477
"73","Chlfa","Bocht van Watum","summer",4,1.39218616485596
"74","Chlfa","Bocht van Watum","summer",4,1.39218616485596
"75","Chlfa","Groote Gat noord","summer",1.7,1.50071036815643
"76","Chlfa","Groote Gat noord","summer",1.7,1.50071036815643
"77","Chlfa","Huibertgat oost","summer",3.8,8.12021064758301
"78","Chlfa","Huibertgat oost","summer",3.8,8.12021064758301
"79","NH4","Bocht van Watum","summer",0.183,0.130741149187088
"80","NH4","Groote Gat noord","summer",0.32,0.29120334982872
"81","NH4","Huibertgat oost","summer",0.149,0.0307518392801285
"82","NO3","Bocht van Watum","summer",2.33,3.38597798347473
"83","NO3","Groote Gat noord","summer",3.14,4.46349000930786
"84","NO3","Huibertgat oost","summer",0.73,0.506887912750244
