grootheid.code;grootheid.omschrijving;parameter.code;parameter.omschrijving;waarneminggroep;datagroep
NA;NA;Cl;chloride;Algemeen/Nutriënten_Cl-groep;eutrofiering
NA;NA;SO4;sulfaat;Algemeen/Nutriënten_Cl-groep;
NA;NA;NH4;ammonium;Algemeen/Nutriënten;eutrofiering
NA;NA;NO2;nitriet;Algemeen/Nutriënten;eutrofiering
NA;NA;NO3;nitraat;Algemeen/Nutriënten;eutrofiering
NA;NA;PO4;fosfaat;Algemeen/Nutriënten;eutrofiering
NA;NA;SiO2;siliciumdioxide;Algemeen/Nutriënten;eutrofiering
NA;NA;Corg;koolstof organisch;Algemeen/Nutriënten;eutrofiering
NA;NA;1234T4ClBen;1,2,3,4-tetrachloorbenzeen;NA;
NA;NA;Co58;kobalt 58;Radiochemische parameters;
NA;NA;Co60;kobalt 60;Radiochemische parameters;
NA;NA;Cs137;cesium 137;Radiochemische parameters;
NA;NA;I131;jodium 131;Radiochemische parameters;
NA;NA;Pb210;lood 210;Radiochemische parameters;
NA;NA;Ca;calcium;Metalen;
NA;NA;Fe;ijzer;Metalen;
NA;NA;Ptot;fosfor totaal;Algemeen/Nutriënten;eutrofiering
NA;NA;Ag;zilver;Metalen;
NA;NA;Al;aluminium;Metalen;
NA;NA;Ant;antraceen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;Ant;antraceen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;As;arseen;Metalen;
NA;NA;Ba;barium;Metalen;
NA;NA;BaA;benzo(a)antraceen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;BaA;benzo(a)antraceen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;BaP;benzo(a)pyreen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;BaP;benzo(a)pyreen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;BbF;benzo(b)fluorantheen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;BbF;benzo(b)fluorantheen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;1235T4ClBen;1,2,3,5-tetrachloorbenzeen;NA;
NA;NA;BghiPe;benzo(ghi)peryleen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;BghiPe;benzo(ghi)peryleen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;BkF;benzo(k)fluorantheen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;BkF;benzo(k)fluorantheen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;Cd;cadmium;Metalen;
NA;NA;Ce;cerium;Metalen;
NA;NA;Chr;chryseen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;Chr;chryseen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;Co;kobalt;Metalen;
NA;NA;Cr;chroom;Metalen;
NA;NA;Cu;koper;Metalen;
NA;NA;123TC1yBen;1,2,3-trimethylbenzeen;NA;
NA;NA;Fen;fenantreen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;Fen;fenantreen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;Flu;fluorantheen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;Flu;fluorantheen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;Hg;kwik;Metalen;
NA;NA;InP;indeno(1,2,3-cd)pyreen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;InP;indeno(1,2,3-cd)pyreen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;K;kalium;Metalen;
NA;NA;La;lanthaan;Metalen;
NA;NA;Li;lithium;Metalen;
NA;NA;Mg;magnesium;Metalen;
NA;NA;123TClBen;1,2,3-trichloorbenzeen;NA;
NA;NA;Mn;mangaan;Metalen;
NA;NA;Mo;molybdeen;Metalen;
NA;NA;Na;natrium;Metalen;
NA;NA;Naf;naftaleen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;Naf;naftaleen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;Nd;neodymium;Metalen;
NA;NA;Ni;nikkel;Metalen;
NA;NA;Pb;lood;Metalen;
