26-11-2009;09:49:08; VOX MAXIMA ; TODO
date;time; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
date;time;AIN10;AIN11;AIN12;AIN13;AIN14;AIN15;AIN40;AIN42;AIN43;AIN44;AIN45;AIN46;AIN47;AIN48;AIN49;AIN50;AIN51;AIN52;AIN58;AIN59;AIN60;AIN61;AIN110;AIN111;AOT1;AOT4;BOT103;BOT134;BOT171;BOT172;BOT241;BOT242;BOT243;BOT244;BOT245;BOT246;BOT247;BOT248;BOT249;BOT250;BOT251;BOT252;BOT253;BOT254;BOT255;BOT256;BOT257;BOT258;BOT259;BOT260;BOT261;BOT262;BOT263;BOT264;BOT265;BOT266;BOT302;BOT305;BOT306;BOT307;BOT308;BOT309;BOT310;BOT311;BOT337;BOT338;BOT339;BOT340;BOT341;BOT342;BOT343;BOT344;BOT347;BOT348;BOT351;BOT352;BOT353;BOT354;BOT355;BOT356;BOT357;BOT358;BOT359;BOT360;BOT361;BOT362;BOT590;BOT591;BOT592;BOT593;BOT594;BOT595;BOT596;BOT606;BOT607;BOT608;BOT609;BOT610;BOT611;BOT612;BOT732;BOT733;DIN97;DIN98;DIN135;DIN136;DIN137;DIN138;DIN139;DIN140;DIN145;DIN146;DIN161;DIN162;DIN163;DIN164
date;time;AIN10 discharge pump aft velocity     [m/s    ];AIN11 discharge pump aft density      [ton/m3 ];AIN12 discharge pump aft vacuum       [bar    ];AIN13 discharge pump aft pressure     [bar    ];AIN14 disch. pump fore inlet press.   [bar    ];AIN15 disch. pump fore disch. press.  [bar    ];AIN40 barometric pressure             [bar    ];AIN42 demand dredge pump rpm potm.    [rpm    ];AIN43 demand pump aft rpm potm.       [rpm    ];AIN44 demand pump fore rpm potm.      [rpm    ];AIN45 conv. DPA power reduction PMS   [kW     ];AIN46 converter dredge pump aft speed [rpm    ];AIN47 conv. dredge pump aft current   [amp    ];AIN48 converter dredge pump aft power [kW     ];AIN49 conv. DPF power reduction PMS   [kW     ];AIN50 conv. dredge pump fore speed    [rpm    ];AIN51 conv. dredge pump fore current  [amp    ];AIN52 conv. dredge pump fore power    [kW     ];AIN58 main engine ps pid / fuel rack  [%      ];AIN59 main engine sb pid / fuel rack  [%      ];AIN60 main engine ps speed            [rpm    ];AIN61 main engine sb speed            [rpm    ];AIN110 sea inlet 1 SE chan. valve pos. [%      ];AIN111 sea inlet 2 SE chan. valve pos. [%      ];AOT1 Disch pump aft speed control    [       ];AOT4 Disch pump fore speed control   [       ];BOT103 KSI discharge pipe              [-      ];BOT134 density water                   [t/m3   ];BOT171 northing ship centre            [m      ];BOT172 easting ship centre             [m      ];BOT241 DPA vacuum                      [kPa    ];BOT242 DPF vacuum                      [kPa    ];BOT243 DPA incoming pressure           [kPa    ];BOT244 DPF incoming pressure           [kPa    ];BOT245 DPA discharge pressure          [kPa    ];BOT246 DPF discharge pressure          [kPa    ];BOT247 DPA level                       [m      ];BOT248 DPF level                       [m      ];BOT249 DPA power                       [kW     ];BOT250 DPF power                       [kW     ];BOT251 DPA head                        [kPa    ];BOT252 DPF head                        [kPa    ];BOT253 DPA hydraulic power             [kW     ];BOT254 DPF hydraulic power             [kW     ];BOT255 DPA efficiency                  [%      ];BOT256 DPF efficiency                  [%      ];BOT257 DPA rpm                         [rpm    ];BOT258 DPF rpm                         [rpm    ];BOT259 DPA rpm                         [%      ];BOT260 DPF rpm                         [%      ];BOT261 DPA gear                        [       ];BOT262 DPF gear                        [       ];BOT263 DPA incoming pressure (calib    [kPa    ];BOT264 DPF incoming pressure (calib    [kPa    ];BOT265 DPA discharge pressure (cali    [kPa    ];BOT266 DPF discharge pressure (cali    [kPa    ];BOT302 SIV-P position                  [%      ];BOT305 discharge vlcty (in dis. pipe)  [m/s    ];BOT306 discharge flow                  [m3/s   ];BOT307 discharge density               [t/m3   ];BOT308 discharge vacuum                [kPa    ];BOT309 discharge suction pressure      [kPa    ];BOT310 discharge intermediate pressure [kPa    ];BOT311 discharge discharge pressure    [kPa    ];BOT337 ps ME rack setting              [mm     ];BOT338 sb ME rack setting              [mm     ];BOT339 ps ME revolutions               [rpm    ];BOT340 sb ME revolutions               [rpm    ];BOT341 ps ME load                      [%      ];BOT342 sb ME load                      [%      ];BOT343 ps ME load limit                [%      ];BOT344 sb ME load limit                [%      ];BOT347 ps power main generator         [kW     ];BOT348 sb power main generator         [kW     ];BOT351 ps propellor shaft power        [kW     ];BOT352 sb propellor shaft power        [kW     ];BOT353 ps propellor shaft revolutions  [rpm    ];BOT354 sb propellor shaft revolutions  [rpm    ];BOT355 ps rudder angle                 [deg    ];BOT356 sb rudder angle                 [deg    ];BOT357 ps propellor pitch              [%      ];BOT358 sb propellor pitch              [%      ];BOT359 ps propellor pitch              [deg    ];BOT360 sb propellor pitch              [deg    ];BOT361 ps propulsion force             [kN     ];BOT362 sb propulsion force             [kN     ];BOT590 predicted production            [m3/min ];BOT591 DPA vacuum filtered             [kPa    ];BOT592 DPF vacuum filtered             [kPa    ];BOT593 DPA efficiency filtered         [%      ];BOT594 DPF efficiency filtered         [%      ];BOT595 DPA limiting vacuum             [kPa    ];BOT596 DPF limiting vacuum             [kPa    ];BOT606 setpoint mixture flow           [m/s    ];BOT607 setpoint vacuum reclaim         [kPa    ];BOT608 SK                              [       ];BOT609 advice discharge density        [t/m3   ];BOT610 average density discharge pipe  [t/m3   ];BOT611 transportation factor discharge [-      ];BOT612 critical velocity discharge     [m/s    ];BOT732 discharge production situ       [situm3/];BOT733 discharge production wet        [ton/min];DIN97 Sea inlet 1 SE channel open     [open   ];DIN98 Sea inlet 1 SE channel presumed [presume];DIN135 Suction from hopper valve open  [open   ];DIN136 Suction from hopper valve prsmd [presume];DIN137 Sea inlet 2 SE channel open     [open   ];DIN138 Sea inlet 2 SE channel presumed [presume];DIN139 Discharge to bow valve open     [open   ];DIN140 Discharge to bow valve presumed [presume];DIN145 Suction inlet valve open        [open   ];DIN146 Suction inlet valve presumed    [presume];DIN161 Clutch disch pump aft engaged   [engaged];DIN162 M.Eng. PS PID normal/FPS backup [       ];DIN163 M.Eng. SB PID normal/FPS backup [       ];DIN164 Clutch dischpump fore engaged   [engaged]
0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0


26-11-2009; 09:49:08.280  ;      -2.5; -0.4494506;  2.738127;  2.055427;  1.012819;   1.01407; 0.9995361; -0.3296301;  -3.22305; -6.076792;  6001.095; -0.03967769; -0.04565987; -0.2232633;  9.823586; -0.03967769;  2.009034; -0.2232633;    23.712; -0.3693078;  442.5414; 0.6118301; -0.1098767; 0.04272982;         0;         0;         2;     1.025;  582039.7;   5754664; -173.9254; -1.524552;  173.9254;  1.524552;  105.6065;  101.5098; -3.472124; -2.525632; -0.2232633; -0.2232633; -68.31894;  99.98527;  192.9892; -282.5444;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.9254;  173.9254;  1.524552;  101.5098;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:08.760  ; -2.496948; -0.4494506;  2.737211;  2.055427;  1.012819;   1.01407; 0.9995361; -0.3296301; -3.390917; -5.741057;  6001.095; -0.03967769; -0.04565987; -0.2232633;  3.125687; -0.03967769;  2.009034; -0.2232633;    23.712; -0.3387865;  442.3845; 0.4549505; -0.1709193; 0.02746917;         0;         0;         2;     1.025;  582039.7;   5754664; -173.8731; -1.545966;  173.8731;  1.545966;     105.6;  101.4712; -3.472002; -2.525264; -0.2232633; -0.2232633; -68.27317;  99.92527;  192.9924; -282.5361;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506; -173.8731;  173.8731;  1.545966;  101.4712;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169;       -90; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:09.240  ; -2.496948; -0.4494506;  2.737211;  2.055427;  1.012819;   1.01407; 0.9995361; -0.3296301;  -3.22305; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769;  2.009034; -0.2232633;  23.80356; -0.3693078;  442.5414; 0.6118301; -0.03357343; 0.02746917;         0;         0;         2;     1.025;  582039.7;   5754664; -173.8425; -1.510877;  173.8425;  1.510877;  105.5959;  101.4743; -3.471999; -2.524335; -0.2232633; -0.2232633; -68.24667;  99.96339;  192.9779; -282.5188;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506; -173.8425;  173.8425;  1.510877;  101.4743;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       -90;       -90; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:09.719  ; -2.496948; -0.4494506;  2.736296;  2.055427;  1.012819;   1.01407; 0.9995361; -0.3296301;  -3.22305;  -5.57319;  6001.095; -0.03967769; -0.04565987; -0.2232633;  8.707271; -0.03967769; -0.04565987; -0.2232633;  23.65096; -0.3998291;  442.8551; 0.4549505; -0.140398; 0.02746917;         0;         0;         2;     1.025;  582039.7;   5754664; -173.8349; -1.484954;  173.8349;  1.484954;  105.5933;  101.4208; -3.472028; -2.523177; -0.2232633; -0.2232633; -68.24161;  99.93585;  192.9676; -282.5132;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506; -173.8349;  173.8349;  1.484954;  101.4208;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       -90;       -90; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
