# http://www.knmi.nl/klimatologie/metadata/index.html
# http://www.ncdc.noaa.gov/oa/climate/rcsg/cdrom/ismcs/alphanum.html
# http://weather.gladstonefamily.net/site
# http://www.knmi.nl/klimatologie/metadata/stationslijst.html
code;long_name;long_name_alt;position;METAR;operational;comment;
#integer;string;string;string;string;boolean;string;
210;Valkenburg;-;52ø 11' N.B. 04ø 25'O.L.;EHVB;0;-;
225;IJmuiden;-;52ø 28' N.B. 04ø 35'O.L.;EH02;0;from :http://www.ncdc.noaa.gov/oa/climate/rcsg/cdrom/ismcs/alphanum.html;
235;De Kooy;Den Helder;52ø 55' N.B. 04ø 47'O.L.;EHKD;1;-;
240;Schiphol;Amsterdam;52ø 18' N.B. 04ø 46' O.L.;EHAM;1;-;
242;Vlieland;-;53ø 15' N.B. 04ø 57' O.L.;EHVL;0;-;
249;Berkhout;-;52ø 39' N.B. 05ø 59'O.L.;-;0;-;
251;Hoorn Terschelling;-;53ø 15' N.B. 04ø 55' O.L.;-;0;-;
257;Wijk aan Zee;-;52ø 30' N.B. 04ø 36'O.L.;-;0;-;
260;De Bilt;-;52ø 06' N.B. 05ø 11'O.L.;EHDB;1;-;
265;Soesterberg;-;52ø 08' N.B. 05ø 17'O.L.;-;0;-;
267;Stavoren;-;52ø 53' N.B. 05ø 21' O.L.;-;0;-;
269;Lelystad;-;52ø 27' N.B. 05ø 31' O.L.;EHLE;0;KNMI info lon wrong: 52ø 27' N.B. 04ø 46' O.L.;
270;Leeuwarden;-;53ø 13' N.B. 05ø 46' O.L.;EHLW;1;-;
273;Marknesse;-;52ø 42' N.B. 05ø 53'O.L.;-;0;-;
275;Deelen;-;52ø 04' N.B. 05ø 53' O.L.;EHDL;0;-;
277;Lauwersoog;-;53ø 25' N.B. 06ø 12' O.L.;-;0;-;
278;Heino;-;52ø 26' N.B. 06ø 16' O.L.;-;0;-;
279;Hoogeveen;-;52ø 45' N.B. 06ø 34'O.L.;-;0;-;
280;Eelde;Groningen;53ø 08' N.B. 06ø 35'O.L.;EHGG;1;-;
283;Hupsel;-;52ø 04' N.B. 06ø 39' O.L.;-;0;-;
286;Nieuw Beerta;-;53ø 11' N.B. 07ø 10' O.L.;-;0;-;
290;Twenthe;-;52ø 16' N.B. 06ø 54'O.L.;EHTW;1;-;
310;Vlissingen;-;51ø 27' N.B. 03ø 36'O.L.;-;1;-;
319;Westdorpe;-;51ø 14' N.B. 03ø 50' O.L.;-;0;-;
323;Wilhelminadorp;-;51ø 32' N.B. 03ø 54' O.L.;-;0;-;
330;Hoek van Holland;-;51ø 59' N.B. 04ø 06' O.L.;-;0;-;
340;Woensdrecht;-;51ø 27' N.B. 04ø 21'O.L.;EHWO;0;-;
344;Rotterdam;-;51ø 57' N.B. 04ø 27' O.L;EHRD;1;-;
348;Cabauw;-;51ø 58' N.B. 04ø 55' O.L.;-;0;-;
350;Gilze-Rijen;-;51ø 34' N.B. 04ø 56' O.L.;EHGR;0;-;
356;Herwijnen;-;51ø 51' N.B. 05ø 09'O.L.;-;0;-;
370;Eindhoven;-;51ø 27' N.B. 05ø 25' O.L.;EHEH;1;-;
375;Volkel;-;51ø 39' N.B. 05ø 42' O.L.;EHVK;0;-;
377;Ell;-;51ø 12' N.B. 05ø 46' O.L.;-;0;-;
380;Maastricht;Beek;50ø 55' N.B. 05ø 47' O.L.;EHBK;1;-;
391;Arcen;-;51ø 30' N.B. 06ø 12'O.L.;-;0;-;
