"Aan actief kool geabsorbeerd organisch gebonden halogeen in ug/l uitgedrukt in chloride in oppervlaktewater";"256%7CAan+actief+kool+geabsorbeerd+organisch+gebonden+halogeen+in+ug%2Fl+uitgedrukt+in+chloride+in+oppervlaktewater"
"Aantal fecale coliformen in /l natgewicht in vlees";"6818%7CAantal+fecale+coliformen+in+%2Fl+natgewicht+in+vlees"
"Aantal per volume in /l in oppervlaktewater";"744%7CAantal+per+volume+in+%2Fl+in+oppervlaktewater"
"Acenafteen in mg/kg drooggewicht in bodem/sediment";"603%7CAcenafteen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment"
"Acenafteen in mg/kg drooggewicht in zwevende stof";"604%7CAcenafteen+in+mg%2Fkg+drooggewicht+in+zwevende+stof"
"Acenafteen in ug/l in oppervlaktewater";"250%7CAcenafteen+in+ug%2Fl+in+oppervlaktewater"
"Acenaftyleen in mg/kg drooggewicht in bodem/sediment";"605%7CAcenaftyleen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment"
"Acenaftyleen in mg/kg drooggewicht in zwevende stof";"606%7CAcenaftyleen+in+mg%2Fkg+drooggewicht+in+zwevende+stof"
"Acenaftyleen in ug/l in oppervlaktewater";"1005%7CAcenaftyleen+in+ug%2Fl+in+oppervlaktewater"
"Acetofenon in ug/l in oppervlaktewater";"1247%7CAcetofenon+in+ug%2Fl+in+oppervlaktewater"
"Aceton in ug/l in oppervlaktewater";"3161%7CAceton+in+ug%2Fl+in+oppervlaktewater"
"Acridine in ug/l in oppervlaktewater";"5143%7CAcridine+in+ug%2Fl+in+oppervlaktewater"
"Activiteit van strontium 90 in mBq/l in oppervlaktewater";"393%7CActiviteit+van+strontium+90+in+mBq%2Fl+in+oppervlaktewater"
"Adenosine-trifosfaat in ug/l in oppervlaktewater";"259%7CAdenosine-trifosfaat+in+ug%2Fl+in+oppervlaktewater"
"Aldicarb in ug/l in oppervlaktewater";"927%7CAldicarb+in+ug%2Fl+in+oppervlaktewater"
"Aldicarbsulfon in ug/l in oppervlaktewater";"929%7CAldicarbsulfon+in+ug%2Fl+in+oppervlaktewater"
"Aldicarbsulfoxide in ug/l in oppervlaktewater";"928%7CAldicarbsulfoxide+in+ug%2Fl+in+oppervlaktewater"
"Aldrin in ug/kg drooggewicht in bodem/sediment";"611%7CAldrin+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment"
"Aldrin in ug/kg drooggewicht in zwevende stof";"612%7CAldrin+in+ug%2Fkg+drooggewicht+in+zwevende+stof"
"Aldrin in ug/l in oppervlaktewater";"253%7CAldrin+in+ug%2Fl+in+oppervlaktewater"
"Alfa activiteit in Bq/kg drooggewicht in zwevende stof";"614%7CAlfa+activiteit+in+Bq%2Fkg+drooggewicht+in+zwevende+stof"
"Alfa activiteit in mBq/l in oppervlaktewater";"254%7CAlfa+activiteit+in+mBq%2Fl+in+oppervlaktewater"
"Alfa-endosulfan in ug/kg drooggewicht in bodem/sediment";"607%7CAlfa-endosulfan+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment"
"Alfa-endosulfan in ug/kg drooggewicht in zwevende stof";"608%7CAlfa-endosulfan+in+ug%2Fkg+drooggewicht+in+zwevende+stof"
"Alfa-endosulfan in ug/l in oppervlaktewater";"251%7CAlfa-endosulfan+in+ug%2Fl+in+oppervlaktewater"
"Alfa-hexachloorcyclohexaan in ug/kg drooggewicht in bodem/sediment";"609%7CAlfa-hexachloorcyclohexaan+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment"
"Alfa-hexachloorcyclohexaan in ug/kg drooggewicht in zwevende stof";"610%7CAlfa-hexachloorcyclohexaan+in+ug%2Fkg+drooggewicht+in+zwevende+stof"
"Alfa-hexachloorcyclohexaan in ug/l in oppervlaktewater";"412%7CAlfa-hexachloorcyclohexaan+in+ug%2Fl+in+oppervlaktewater"
"Aluminium in ug/l in oppervlaktewater";"252%7CAluminium+in+ug%2Fl+in+oppervlaktewater"
"Aminomethylfosfonzuur in ug/l in oppervlaktewater";"1000%7CAminomethylfosfonzuur+in+ug%2Fl+in+oppervlaktewater"
"Ammonium in mg/l uitgedrukt in stikstof / na filtratie in oppervlaktewater";"491%7CAmmonium+in+mg%2Fl+uitgedrukt+in+stikstof+%2F+na+filtratie+in+oppervlaktewater"
