DEPRECATION_ID,DEPRECATION_DATE,CHANGE_ID,OBJECT_TABLE_NAME,OBJECT_CODE,REPLACED_BY,DEPRECATION_REASON
2,2001-08-15 00:00,2001.223,Coordinate_Operation,8563,1670,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
3,2001-08-15 00:00,2001.222,Coordinate_Operation,8457,1676,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
4,2001-08-15 00:00,2001.222,Coordinate_Operation,8236,1675,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
5,2001-08-15 00:00,2001.222,Coordinate_Operation,8183,1677,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
6,2001-08-15 00:00,2001.222,Coordinate_Operation,8195,1680,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
7,2001-08-15 00:00,2001.222,Coordinate_Operation,8199,1679,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
8,2001-08-15 00:00,2001.222,Coordinate_Operation,8234,1673,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
9,2001-08-15 00:00,2001.222,Coordinate_Operation,8567,1681,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
10,2001-08-15 00:00,2001.222,Coordinate_Operation,8572,1672,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
11,2001-08-15 00:00,2001.222,Coordinate_Operation,8573,1671,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
12,2001-08-15 00:00,2001.222,Coordinate_Operation,8580,1678,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
13,2001-08-15 00:00,2001.221,Coordinate_Operation,8396,1665,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
14,2001-08-15 00:00,2001.221,Coordinate_Operation,8400,1666,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
15,2001-08-15 00:00,2001.221,Coordinate_Operation,8576,1667,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
16,2001-08-15 00:00,2001.221,Coordinate_Operation,8577,1668,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
17,2001-08-15 00:00,2001.221,Coordinate_Operation,8194,1669,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
18,2001-08-15 00:00,2001.221,Coordinate_Operation,8190,1665,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
19,2001-08-15 00:00,2001.221,Coordinate_Operation,8192,15789,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
20,2001-08-15 00:00,2001.221,Coordinate_Operation,8398,8576,State transformation republished by federal authority with minor changes in parameter values. Application gives result differences which are sub-metre.
21,2001-08-15 00:00,2001.221,Coordinate_Operation,8408,8578,State grid absorbed into regional grid.
22,2001-08-15 00:00,2001.221,Coordinate_Operation,8453,15786,Replaced this two-step concat tfm which includes a step giving zero coordinate change with a single tfm. The AGD66 to GDA94 state tfm 1506 upon which this tfm is based has been absorbed into national tfm 1803 from which 15786 is copied.
23,2001-08-15 00:00,2001.221,Coordinate_Operation,8454,15786,Replaced this two-step concat tfm which includes a step giving zero coordinate change with a single tfm. The AGD66 to GDA94 state tfm 1507 upon which this tfm is based has been absorbed into national tfm 1803 from which 15786 is copied.
24,2001-08-15 00:00,2001.221,Coordinate_Operation,8560,8579,Withdrawn and replaced by info source because 8-bit binary grid file format inconsistent with NTv2 16-bit format.
25,2001-08-15 00:00,2001.221,Coordinate_Operation,8578,1665,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
26,2001-08-15 00:00,2001.221,Coordinate_Operation,8579,15785,Replaced this two-step concat tfm which includes a step giving zero coordinate change wyth a single tfm. The AGD66 to GDA94 state tfm 1593 upon which this tfm is based has been absorbed into national tfm 1804 from which 15785 is copied.
27,2001-10-04 00:00,2001.121,Coordinate_Operation,1510,1766,Information source has reduced precision with which it quotes parameter values for this tfm.
28,2001-10-04 00:00,2001.45,Coordinate_Operation,14100,15302,Error in parameter values for easting and northing at grid origin.
29,2001-10-04 00:00,2001.45,Coordinate_Operation,11631,15303,Error in parameter value for latitude of 2nd standard parallel.
30,2001-08-28 00:00,2001.37,Coordinate_Operation,1508,1753,Incorrect unit assigned to scale difference parameter value.
32,2001-06-05 00:00,2001.07,Ellipsoid,7035,7047,"Changed from general ""Sphere"" to specific ""GRS 1980 Authalic Sphere""."
33,2001-06-25 00:00,2001.19,Ellipsoid,7047,7048,Incorrect radius (semi-major and semi-minor axes).
34,2001-06-21 00:00,2001.07,Datum,6035,6047,"Name changed to reflect use of specific ""GRS 1980 Authalic Sphere"" rather than general ""Sphere""."
35,1997-11-13 00:00,1997.372,Datum,5107,5118,Replace this general name with specific.
39,2001-08-28 00:00,2001.32,Coordinate Reference System,2156,2195,ProjCRS 2156 invalid as linked to projection in wrong hemisphere and has wrong name.
40,2001-08-28 00:00,2001.32,Coordinate_Operation,15300,15301,Longitude of natural origin has incorrect value (wrong hemisphere).
41,2001-08-28 00:00,2001.3,Coordinate Reference System,2291,2292,Base geogCRS code is in error.
42,2001-06-05 00:00,2001.07,Coordinate Reference System,4035,4047,"Changed from general ""Sphere"" to specific ""GRS 1980 Authalic Sphere""."
43,2001-08-28 00:00,2001.47,Datum,6226,6142,Does not exist except as an alias of 6142 and 6143.
44,2001-06-05 00:00,2001.11,Coordinate Reference System,4226,4142,Does not exist except as an alias of 4142 and 4143.
45,2001-06-05 00:00,2001.181,Coordinate Reference System,31461,,ProjCRS zone not used.
46,2001-06-05 00:00,2001.181,Coordinate Reference System,31462,31466,ProjCRS related to inappropriate coordinate system resulting in incorrect axes and name.
47,2001-06-05 00:00,2001.181,Coordinate Reference System,31463,31467,ProjCRS related to inappropriate coordinate system resulting in incorrect axes and name.
48,2001-06-05 00:00,2001.181,Coordinate Reference System,31464,31468,ProjCRS related to inappropriate coordinate system resulting in incorrect axes and name.
49,2001-06-05 00:00,2001.181,Coordinate Reference System,31465,31469,ProjCRS related to inappropriate coordinate system resulting in incorrect axes and name.
50,2001-06-05 00:00,2001.18,Coordinate Reference System,31265,31275,ProjCRS related to inappropriate projection (coordinate operation) and CS resulting in incorrect scale factor and axes order and abbreviation.
51,2001-06-05 00:00,2001.18,Coordinate Reference System,31266,31276,ProjCRS related to inappropriate projection (coordinate operation) and CS resulting in incorrect scale factor and axes order and abbreviation.
52,2001-08-15 00:00,2001.227,Coordinate_Operation,8564,1691,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
53,2001-08-15 00:00,2001.227,Coordinate_Operation,8404,1692,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
54,2001-08-15 00:00,2001.227,Coordinate_Operation,8565,1692,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
55,2001-08-15 00:00,2001.227,Coordinate_Operation,8243,1693,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
56,2001-08-15 00:00,2001.227,Coordinate_Operation,8245,1693,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
57,2001-08-15 00:00,2001.227,Coordinate_Operation,8574,1694,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
58,2001-08-15 00:00,2001.227,Coordinate_Operation,8575,1695,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
59,2001-08-15 00:00,2001.227,Coordinate_Operation,8566,1696,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
60,2001-08-15 00:00,2001.227,Coordinate_Operation,8421,1697,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
61,2001-08-15 00:00,2001.227,Coordinate_Operation,8388,1698,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
62,2001-08-15 00:00,2001.227,Coordinate_Operation,8390,1699,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
63,2001-08-15 00:00,2001.227,Coordinate_Operation,8392,1700,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
64,2001-08-15 00:00,2001.227,Coordinate_Operation,8422,1702,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
65,2001-08-15 00:00,2001.226,Coordinate_Operation,8215,1683,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
66,2001-08-15 00:00,2001.226,Coordinate_Operation,8217,1684,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
67,2001-08-15 00:00,2001.226,Coordinate_Operation,8219,1685,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
68,2001-08-15 00:00,2001.226,Coordinate_Operation,8221,1686,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
69,2001-08-15 00:00,2001.226,Coordinate_Operation,8223,1687,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
70,2001-08-15 00:00,2001.225,Coordinate_Operation,8530,1682,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
71,2001-06-05 00:00,2001.18,Coordinate Reference System,31267,31277,ProjCRS related to inappropriate projection (coordinate operation) and CS resulting in incorrect scale factor and axes order and abbreviation.
72,2001-06-05 00:00,2001.18,Coordinate Reference System,31268,31278,ProjCRS related to inappropriate projection (coordinate operation) and CS resulting in incorrect scale factor and axes order and abbreviation.
73,2001-08-28 00:00,2001.31,Coordinate Reference System,31278,31279,ProjCRS related to incorrect projection.
74,2001-06-05 00:00,2001.182,Coordinate Reference System,31291,31281,ProjCRS related to inappropriate coordinate system resulting in incorrect axes.
75,2001-06-05 00:00,2001.182,Coordinate Reference System,31292,31282,ProjCRS related to inappropriate coordinate system resulting in incorrect axes.
76,2001-06-05 00:00,2001.182,Coordinate Reference System,31293,31283,ProjCRS related to inappropriate coordinate system resulting in incorrect axes.
77,2001-06-05 00:00,2001.182,Coordinate Reference System,31294,31284,ProjCRS related to inappropriate coordinate system resulting in incorrect axes.
78,2001-06-05 00:00,2001.182,Coordinate Reference System,31295,31285,ProjCRS related to inappropriate coordinate system resulting in incorrect axes.
79,2001-06-05 00:00,2001.182,Coordinate Reference System,31296,31286,ProjCRS related to inappropriate coordinate system resulting in incorrect axes.
80,2001-06-05 00:00,2001.182,Coordinate Reference System,31297,31287,ProjCRS related to inappropriate coordinate system resulting in incorrect axes.
81,2001-06-05 00:00,2001.183,Coordinate_Operation,1471,1618,Error in signs of all transformation parameter values and for scale factor also incorrect units.
82,2001-08-15 00:00,2001.122,Coordinate_Operation,1310,1674,Change of source CRS.
83,2001-08-28 00:00,2001.4,Coordinate_Operation,8497,,Invalid concatenation: area of use of steps 1 and 2 do not overlap.
84,2001-10-04 00:00,2001.39,Coordinate_Operation,1258,1755,Change to tfm name.
85,2001-10-04 00:00,2001.39,Coordinate_Operation,1259,1756,Correction to name.
86,2001-10-04 00:00,2001.39,Coordinate_Operation,1261,1757,Correction to name.
87,2001-10-04 00:00,2001.39,Coordinate_Operation,1263,1758,Correction to name.
88,2001-10-04 00:00,2001.39,Coordinate_Operation,1268,1759,Change of tfm name.
89,2001-10-04 00:00,2001.39,Coordinate_Operation,1269,1760,Correction to name.
90,2001-10-04 00:00,2001.39,Coordinate_Operation,1270,1761,Correction to name.
91,2001-10-04 00:00,2001.39,Coordinate_Operation,1466,1762,Correction to name.
92,2001-10-04 00:00,2001.39,Coordinate_Operation,1467,1763,Correction to name.
93,2001-10-04 00:00,2001.39,Coordinate_Operation,1468,1764,Correction to name.
94,2001-10-04 00:00,2001.39,Coordinate_Operation,1519,1765,Change to tfm name.
95,2001-08-28 00:00,2001.38,Coordinate_Operation,1534,1754,Incorrect unit assigned to scale difference parameter value.
96,2001-08-28 00:00,2001.35,Coordinate_Operation,1602,1752,Incorrect source geogCRS code assigned.
97,2001-08-28 00:00,2001.34,Coordinate_Operation,1571,1751,Incorrect source and target geogCRS codes assigned.
98,2001-08-28 00:00,2001.23,Coordinate_Operation,1567,1701,Incorrect parameter value for z-axis rotation.
99,2001-08-15 00:00,2001.228,Coordinate_Operation,8386,8582,Changed second step from zero to HARN.
100,2001-08-15 00:00,2001.228,Coordinate_Operation,8402,8583,Changed second step from zero to HARN.
101,2001-08-15 00:00,2001.227,Coordinate_Operation,8418,1688,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
102,2001-08-15 00:00,2001.227,Coordinate_Operation,8419,1689,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
103,2001-08-15 00:00,2001.227,Coordinate_Operation,8406,1690,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
104,2001-08-15 00:00,2001.227,Coordinate_Operation,8394,1691,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
105,2001-11-06 00:00,2001.48,Coordinate_Operation,19908,19972,Change name.
106,2001-08-28 00:00,2001.48,Coordinate Reference System,29900,29902,Change name.
107,2001-06-05 00:00,2001.181,Area,1628,,Invalid area - country does not extend into this longitude range..
108,2001-08-15 00:00,2001.227,Coordinate_Operation,8420,1703,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
109,2001-08-28 00:00,2001.32,Coordinate Reference System,2155,2194,Dependent upon deprecated coordinate operation 15300.
112,2001-08-15 00:00,2001.221,Coordinate_Operation,8190,15788,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
117,1997-11-13 00:00,1997.372,Datum,5107,5120,Replace this general name with specific.
135,2001-08-15 00:00,2001.221,Coordinate_Operation,8190,1667,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
142,2001-08-15 00:00,2001.221,Coordinate_Operation,8578,15786,Replaced this two-step concat tfm which includes a step giving zero coordinate change with a single tfm. The AGD66 to GDA94 state tfm 1596 upon which this tfm is based has been absorbed into national tfm 1803 from which 15786 is copied.
160,2001-08-28 00:00,2001.47,Datum,6226,6143,Does not exist except as an alias of 6142 and 6143.
161,2001-06-05 00:00,2001.11,Coordinate Reference System,4226,4143,Does not exist except as an alias of 4142 and 4143.
229,2001-08-15 00:00,2001.221,Coordinate_Operation,8190,1668,Replaced this two-step concatenated tfm which includes a step giving zero coordinate change with a single tfm.
233,1997-11-13 00:00,1997.372,Datum,5107,5119,Replace this general name with specific.
237,2001-11-06 00:00,2001.53,Datum,6172,6190,Original name POSGAR is ambiguous given 1994 and 1998 adjustments.
240,2001-11-06 00:00,2001.53,Coordinate Reference System,4172,4190,Original name POSGAR is ambiguous given 1994 and 1998 adjustments.
242,2001-11-06 00:00,2001.53,Coordinate_Operation,1598,1773,Dependent upon deprecated source CRS 4172.
244,2001-11-06 00:00,2001.54,Coordinate Reference System,27581,27571,Changed projCRS name.
245,2001-11-06 00:00,2001.54,Coordinate Reference System,27582,27572,Changed projCRS name.
246,2001-11-06 00:00,2001.54,Coordinate Reference System,27583,27573,Changed projCRS name.
247,2001-11-06 00:00,2001.54,Coordinate Reference System,27584,27574,Changed projCRS name.
248,2001-11-06 00:00,2001.54,Coordinate Reference System,27591,27561,Changed projCRS name.
249,2001-11-06 00:00,2001.54,Coordinate Reference System,27592,27562,Changed projCRS name.
250,2001-11-06 00:00,2001.54,Coordinate Reference System,27593,27563,Changed projCRS name.
251,2001-11-06 00:00,2001.54,Coordinate Reference System,27594,27564,Changed projCRS name.
260,2001-11-06 00:00,2001.54,Coordinate Reference System,7401,7411,Dependent projCRS name changed.
261,2001-11-06 00:00,2001.54,Coordinate Reference System,7402,7412,Dependent projCRS name changed.
262,2001-11-06 00:00,2001.54,Coordinate Reference System,7403,7413,Dependent projCRS name changed.
266,2001-01-21 00:00,2006.62,Ellipsoid,7006,7046,Change of axis unit from International metre to German Legal Metre to reflect local usage.
268,2001-11-06 00:00,2001.45,Coordinate Reference System,32036,2204,Deprecation of constituent map projection 11631 which was in error.
270,2001-11-06 00:00,2001.45,Coordinate Reference System,26979,2205,Deprecation of constituent map projection 14100 which was in error.
274,2002-01-18 00:00,2002.01,Datum,6228,6192,Incorrect ellipsoid attached.
276,2002-01-18 00:00,2002.01,Datum,6260,6193,Incorrect ellipsoid attached.
278,2002-01-18 00:00,2002.01,Coordinate Reference System,4228,4192,Dependent datum 6228 in error.
280,2002-01-18 00:00,2002.01,Coordinate Reference System,4260,4193,Dependent datum 6260 in error.
282,2002-01-18 00:00,2002.01,Coordinate Reference System,22832,2214,Base geogCRS 4228 deprecated due to datum error.
285,2002-01-18 00:00,2001.17,Datum,6287,6194,Change of name.
287,2002-01-18 00:00,2001.17,Coordinate Reference System,4287,4194,Change of name (adjustment date added).
288,2002-01-18 00:00,2001.17,Coordinate_Operation,1211,1797,Dependent source CRS name changed.
290,2002-02-12 00:00,2002.01,Datum,6234,6197,Incorrect ellipsoid attached.
291,2002-02-12 00:00,2002.21,Coordinate Reference System,32074,32064,Change name to include unit abbreviation per US State Plane CRSs.
294,2002-02-12 00:00,2002.21,Coordinate Reference System,32075,32065,Change name to include unit abbreviation per US State Plane CRSs.
295,2002-02-12 00:00,2002.21,Coordinate Reference System,32076,32066,Change name to include unit abbreviation per US State Plane CRSs.
296,2002-02-12 00:00,2002.21,Coordinate Reference System,32077,32067,Change name to include unit abbreviation per US State Plane CRSs.
297,2002-03-15 00:00,2002.29,Coordinate_Operation,1819,1754,Duplication of data already given in transformation 1754.
298,2002-06-22 00:00,2002.16,Coordinate Reference System,5704,5736,Change of name following readjustment.
299,2002-06-22 00:00,2002.16,Coordinate Reference System,21473,21453,Change of CRS name to indicate longitude of origin.
300,2002-06-22 00:00,2002.16,Coordinate Reference System,21474,21454,Change of CRS name to indicate longitude of origin.
301,2002-06-22 00:00,2002.16,Coordinate Reference System,21475,21455,Change of CRS name to indicate longitude of origin.
302,2002-06-22 00:00,2002.16,Coordinate Reference System,21476,21456,Change of CRS name to indicate longitude of origin.
303,2002-06-22 00:00,2002.16,Coordinate Reference System,21477,21457,Change of CRS name to indicate longitude of origin.
304,2002-06-22 00:00,2002.16,Coordinate Reference System,21478,21458,Change of CRS name to indicate longitude of origin.
305,2002-06-22 00:00,2002.16,Coordinate Reference System,21479,21459,Change of CRS name to indicate longitude of origin.
306,2002-06-22 00:00,2002.16,Coordinate Reference System,21480,21460,Change of CRS name to indicate longitude of origin.
307,2002-06-22 00:00,2002.16,Coordinate Reference System,21481,21461,Change of CRS name to indicate longitude of origin.
308,2002-06-22 00:00,2002.16,Coordinate Reference System,21482,21462,Change of CRS name to indicate longitude of origin.
309,2002-06-22 00:00,2002.16,Coordinate Reference System,21483,21463,Change of CRS name to indicate longitude of origin.
