VERSION_HISTORY_CODE,VERSION_DATE,VERSION_NUMBER,VERSION_REMARKS,SUPERCEDED_BY,SUPERCEDES
1,1994-06-01 00:00,1.0,Version 1.0 release.  Excel v2.,,
2,1996-06-02 00:00,2.1,Version 2.1 release.  Excel v4.,3.0,
3,1996-12-12 00:00,3.0,Version 3.0 release.  Access v2.,3.1,2.1
4,1997-04-11 00:00,3.1,Version 3.1 release.,3.2,3.0
5,1997-08-28 00:00,3.2,Version 3.2 release.,4.0,3.1
6,1998-03-24 00:00,4.0,Version 4.0 release.  Access v7.,4.1,3.2
7,1998-09-29 00:00,4.1,Version 4.1 release.,4.2,4.0
8,1998-11-25 00:00,4.2,Version 4.2 release.,4.3,4.1
9,1999-07-26 00:00,4.3,Version 4.3 release.,4.4,4.2
10,1999-11-19 00:00,4.4,Version 4.4 release.,4.5 5.0,4.3
11,2000-06-29 00:00,4.5,Version 4.5 release.,5.1,4.4
12,2000-06-29 00:00,5.0,Version 5.0 release.  Access97,5.01,4.4
13,2000-07-09 00:00,5.01,Version 5.01 release.,5.1,5.0
14,2000-12-31 00:00,5.1,Version 5.1 release.,5.2,4.5  5.01
15,2001-06-11 00:00,5.2,Version 5.2 release.,5.21,5.1
16,2001-06-26 00:00,5.21,Version 5.21 release.,6.1,5.2
17,2002-02-21 00:00,5.3,Version 5.3 release. Same data as v6.1.,6.1,5.21
18,2001-09-03 00:00,6.02,v6.02 release to EPSG wg and ISO 19127 project team.,6.1,
19,2002-02-25 00:00,6.1,Version 6.1 release. ISO 19111 compliant data model and terminology.,6.2,5.21  6.02
20,2002-07-31 00:00,6.2,Version 6.2 release.,6.2.1,5.3  6.1
21,2002-09-05 00:00,6.2.1,v6.2 data; purged redundant Visual Basic code behind forms.,6.2.2,6.2
22,2002-09-16 00:00,6.2.2,v6.2 data; purged further redundant Visual Basic code behind forms.,6.3,6.2.1
23,2003-02-26 00:00,6.3,Version 6.3 release.,6.4,6.2.2
24,2003-10-15 00:00,6.4,Version 6.4 release.,6.5,6.3
25,2004-01-13 00:00,6.5,Version 6.5 release.,6.6,6.4
26,2004-04-09 00:00,6.5.1,Version 6.5.1. VBA module for creating SQL DDL updated. No other change.,6.6,6.5
27,2004-04-27 00:00,6.5.2,Version 6.5.2. Further update to VBA module for creating SQL DDL. Data exactly as v6.5.,6.6,6.5.1
28,2004-06-29 00:00,6.5.3,Version 6.5.3. Further update to VBA module for creating SQL DDL. Data exactly as v6.5.,6.6,6.5.2
29,2004-10-23 00:00,6.6,Version 6.6 release.,6.7,6.5.3
30,2005-05-31 00:00,6.7,Version 6.7 release.,6.8,6.6
31,2005-10-10 00:00,6.8,Version 6.8 release.,6.9,6.7
32,2006-02-20 00:00,6.9,Version 6.9 release.,6.10,6.8
33,2006-04-07 00:00,6.10,Version 6.10 release.,6.10.1,6.9
34,2006-05-23 00:00,6.10.1,Version 6.10.1 release. SQL script modified to amend date format. Same data as v6.10.,6.10.2,6.10
35,2006-06-08 00:00,6.10.2,Version 6.10.2 release. SQL script modified to remove unique constraint. Same data as v6.10.,6.11,6.10.1
36,2006-08-09 00:00,6.11,Version 6.11 release.,6.11.1,6.10.*
37,2006-10-04 00:00,6.11.1,Version 6.11.1 release.,6.11.2,6.11
38,2006-10-23 00:00,6.11.2,Version 6.11.2 release.,6.12,6.11.1
39,2007-02-08 00:00,6.12,Version 6.12 release.,6.13,6.11.2
40,2007-07-16 00:00,6.13,Version 6.13 release.,6.14,6.12
41,2007-09-02 00:00,6.14,Version 6.14 release.,6.15,6.13
42,2008-04-15 00:00,6.15,Version 6.15 release.,6.16,6.14
43,2008-04-16 00:00,6.16a1,working db,,6.15
44,2008-06-27 00:00,6.16,Version 6.16 release.,6.16.1,6.15
45,2008-06-27 00:00,6.16.1,Registry software upgrade v1.1.2.,6.16.2,6.16
46,2008-07-05 00:00,6.16.2,Registry software upgrade v1.1.3.,6.17,6.16.1
47,2008-07-14 00:00,6.17,Version 6.17 release.,6.18,6.16.2
48,2008-08-05 00:00,6.17.1,Version 6.17.1 registry interim data release and software upgrade v1.1.4.,6.17.1,6.17
49,2008-11-12 00:00,6.18,Version 6.18 release. Access and SQL only.,6.18.1,6.17.1
50,2009-01-20 00:00,6.18.1,Version 6.18.1 registry interim data release.,6.18.3,6.18
