VERSION_HISTORY_CODE,VERSION_DATE,VERSION_NUMBER,VERSION_REMARKS,SUPERCEDED_BY,SUPERCEDES
1,01-06-94,1.0,Version 1.0 release.  Excel v2.,,
2,02-06-96,2.1,Version 2.1 release.  Excel v4.,3.0,
3,12-12-96,3.0,Version 3.0 release.  Access v2.,3.1,2.1
4,11-04-97,3.1,Version 3.1 release.,3.2,3.0
5,28-08-97,3.2,Version 3.2 release.,4.0,3.1
6,24-03-98,4.0,Version 4.0 release.  Access v7.,4.1,3.2
7,29-09-98,4.1,Version 4.1 release.,4.2,4.0
8,25-11-98,4.2,Version 4.2 release.,4.3,4.1
9,26-07-99,4.3,Version 4.3 release.,4.4,4.2
10,19-11-99,4.4,Version 4.4 release.,4.5 5.0,4.3
11,29-06-00,4.5,Version 4.5 release.,5.1,4.4
12,29-06-00,5.0,Version 5.0 release.  Access97,5.01,4.4
13,09-07-00,5.01,Version 5.01 release.,5.1,5.0
14,31-12-00,5.1,Version 5.1 release.,5.2,4.5  5.01
15,11-06-01,5.2,Version 5.2 release.,5.21,5.1
16,26-06-01,5.21,Version 5.21 release.,6.1,5.2
17,21-02-02,5.3,Version 5.3 release. Same data as v6.1.,6.1,5.21
18,03-09-01,6.02,v6.02 release to EPSG wg and ISO 19127 project team.,6.1,
19,25-02-02,6.1,Version 6.1 release. ISO 19111 compliant data model and terminology.,6.2,5.21  6.02
20,31-07-02,6.2,Version 6.2 release.,6.2.1,5.3  6.1
21,05-09-02,6.2.1,v6.2 data; purged redundant Visual Basic code behind forms.,6.2.2,6.2
22,16-09-02,6.2.2,v6.2 data; purged further redundant Visual Basic code behind forms.,6.3,6.2.1
23,26-02-03,6.3,Version 6.3 release.,6.4,6.2.2
24,15-10-03,6.4,Version 6.4 release.,6.5,6.3
25,13-01-04,6.5,Version 6.5 release.,6.6,6.4
26,09-04-04,6.5.1,Version 6.5.1. VBA module for creating SQL DDL updated. No other change.,6.6,6.5
27,27-04-04,6.5.2,Version 6.5.2. Further update to VBA module for creating SQL DDL. Data exactly as v6.5.,6.6,6.5.1
28,29-06-04,6.5.3,Version 6.5.3. Further update to VBA module for creating SQL DDL. Data exactly as v6.5.,6.6,6.5.2
29,23-10-04,6.6,Version 6.6 release.,6.7,6.5.3
30,31-05-05,6.7,Version 6.7 release.,6.8,6.6
31,10-10-05,6.8,Version 6.8 release.,6.9,6.7
32,20-02-06,6.9,Version 6.9 release.,6.10,6.8
33,07-04-06,6.10,Version 6.10 release.,6.10.1,6.9
34,23-05-06,6.10.1,Version 6.10.1 release. SQL script modified to amend date format. Same data as v6.10.,6.10.2,6.10
35,08-06-06,6.10.2,Version 6.10.2 release. SQL script modified to remove unique constraint. Same data as v6.10.,6.11,6.10.1
36,09-08-06,6.11,Version 6.11 release.,6.11.1,6.10.*
37,04-10-06,6.11.1,Version 6.11.1 release.,6.11.2,6.11
38,23-10-06,6.11.2,Version 6.11.2 release.,6.12,6.11.1
39,08-02-07,6.12,Version 6.12 release.,6.13,6.11.2
40,16-07-07,6.13,Version 6.13 release.,6.14,6.12
41,02-09-07,6.14,Version 6.14 release.,6.15,6.13
42,15-04-08,6.15,Version 6.15 release.,6.16,6.14
43,16-04-08,6.16a1,working db,,6.15
44,27-06-08,6.16,Version 6.16 release.,6.16.1,6.15
45,27-06-08,6.16.1,Registry software upgrade v1.1.2.,6.16.2,6.16
46,05-07-08,6.16.2,Registry software upgrade v1.1.3.,6.17,6.16.1
47,14-07-08,6.17,Version 6.17 release.,6.18,6.16.2
48,05-08-08,6.17.1,Version 6.17.1 registry interim data release and software upgrade v1.1.4.,6.17.1,6.17
49,12-11-08,6.18,Version 6.18 release. Access and SQL only.,6.18.1,6.17.1
50,20-01-09,6.18.1,Version 6.18.1 registry interim data release.,6.18.3,6.18
51,10-02-09,6.18.3,Version 6.18.3 registry interim data release.,6.18.4,6.18.1
52,20-05-09,6.18.4,"Registry interim release. Registry software v1.2.3 loaded. Change requests 2009.004, 2009.018 and 2009.019 released.",7.1,6.18.3
53,21-05-09,7.1,"Version 7.1 marks the transition of the master dataset from the Access database to the online Registry. It also marks a change in the version of MS Access in which the database is distributed, from v97 to v2000.",,6.18.4
