variable,key
eta,elevation
etab,bed_elevation
mesh2d_mor_bl,bed_elevation
dps,bed_elevation
bl,bed_elevation
mesh1d_bl_ave,bed_elevation
detab,bed_elevation_change
bl_t,bed_elevation_change
detab_ds,bed_slope
detab_ds_t,bed_slope_change
dist,distance
cel_morpho_t,distance
dist_prof,distance_section
dist_mouth,distance_mouth
etaw,water_level
waterlevel,water_level
wathte,water_level
mesh2d_s0,water_level
mesh2d_s1,water_level
wl,water_level
waterlevelbnd,water_level
mesh1d_s1,water_level
etaw/t,water_level_change
waterlevel/t,water_level_change
wathte/t,water_level_change
mesh2d_s1/t,water_level_change
wl/t,water_level_change
plotted period,plotted_period
entire period,entire_period
h,depth
mesh2d_waterdepth,depth
hu,depth_velocity_point
sal,salinity
cl,chloride
conctte,chloride
cl_surf,surface_chloride
cl_bottom,bottom_chloride
salm2,salt_m2
sal_mass,salt_mass
cl_mass,chloride_mass
sal_t,salt_t
cl_t,chloride_t
clm2,chloride_m2
umag,velocity_magnitude
mesh2d_ucmag,velocity_magnitude
velocity_magnitude,velocity_magnitude
ucmag,velocity_magnitude
umod,velocity_magnitude
mesh2d_umod,velocity_magnitude
umag_layer,velocity_magnitude
un,cross_velocity
vperp,cross_velocity
us,long_velocity
vpara,long_velocity
uz,vertical_velocity
x,x_coord
y,y_coord
q,discharge
qsp_b,discharge
lateral_discharge,discharge
ctr,discharge
cross_section_discharge,discharge
cl_bottom,bottom_chloride
salm2,salt_density
sal_mass,salt_mass
cl_mass,chloride_mass
sal_t,salt_time
cl_t,chloride_time
clm2,chloride_density
q,discharge
qsp_b,discharge
dischargebnd,discharge
qcum,cumulative_discharge
qsp,specific_discharge
qxsp,x_specific_discharge
qysp,y_specific_discharge
t,time
tshift,time_shift
corr,correlation_coefficient
dd,wind_direction
wind_dir,wind_direction
dir,direction
fh,wind_speed
wind_u,wind_speed
wind_mag,wind_speed
wind_x,wind_speed_x
wind_mag_x,wind_speed_x
wind_y,wind_speed_y
wind_mag_y,wind_speed_y
mea,measured
sim,computed
mesh2d_dg,dg
dg_la,dg
mesh1d_dg,dg
dm,dm
mesh2d_dm,dm
mesh1d_dm,dm
vicouv,horizontal_viscosity
thlyr,active_layer_thickness
lyrfrac,volume_fraction_content_size_frac
fs,volume_fraction_content_sand
fs_t,volume_fraction_content_sand_per_time
fak,volume_fraction_content_size_frac
mesh2d_taus,bed_shear_stress
taus,bed_shear_stress
taub,bed_shear_stress
mesh2d_taus_t,bed_shear_stress_time
taus_t,bed_shear_stress_time
ltot,sediment_thickness
sbtot,bedload_sediment_transport
sb,bedload_sediment_transport
s,sediment_transport_size_frac_L2T
s_b_mor,sediment_transport_size_frac_L3T
s_b_mor_t,sediment_transport_size_frac_L3
stot,total_sediment_transport_L2T
stot_b_mor,total_sediment_transport_L3T
stot_b_mor_t,total_sediment_transport_L3
stot_t,total_sediment_transport_L3
q_t,water_volume
qsp_b_t,water_volume
mesh2d_czs,chezy_friction_coefficient
czs,chezy_friction_coefficient
rkm,river_kilometre
ba_mor,morphodynamic_cell_area
ba,cell_area
ba/b,width
t_da,depth_average_residence_time
t_surf,surface_residence_time
t_max,maximum_residence_time
fourier_max_length_x,wavelength_max_amplitude
dicouv,horizontal_diffusivity
water_dispersion,horizontal_diffusivity
mesh2d_fixed weir energy loss,energy_loss
weirgen_structure_head,energy_loss
mesh2d_flowelem_domain,flowelem_domain
e,energy_head
dunelength,dune_length 
mesh2d_dunelength,dune_length
duneheight,dune_height
mesh2d_duneheight,dune_height
waveheight,wave_height
mesh2d_hwav,wave_height
pp1d,peak_wave_period
mwd,mean_wave_direction
