id            , Unit, en                    , nl                          , es                                   , haags                 ,
eta           ,   m , Elevation             , Hoogte                      , Elevación                            , Haugte                ,
dist          ,   m , Distance              , Afstand                     , Distancia                            , Afstand                   ,
dist_prof     ,   m , Distance along section, Afstand langs gevaren track , Distancia a lo largo de la sección   , Afstand langs gevare track,
etaw          ,   m , Water level           , Waterstand                  , Nivel del agua                       , Watâh haugte          ,
waterlevel    ,   m , Water level           , Waterstand                  , Nivel del agua                       , Watâh haugte          ,
tide          ,   m , Tide                  , Getij                       , Marea                                , Getè                  ,
surge         ,   m , Surge                 , Opzet                       , Marejada ciclónica                   , Opzet                 ,
plotted period,     , Plotted period        , Weergegeven periode         , Período trazado                      , Weâhgegeive Periaude  ,
entire period ,     , Entire period         , Gehele periode              , Todo el período                      , Geheile Periaude      ,
h             ,   m , Depth                 , Diepte                      , Profundidad                          , Diepte                ,
sal           ,  psu, Salinity              , Saliniteit                  , Salinidad                            , Salinitèt             ,
tem           ,  ^oC, Temperature           , Temperatuur                 , Temperatura                          , Temperatuâh           ,
chl           , mg/l, Chloride              , Chloride                    , Cloruro                              , Chloride              ,
simulation    ,     , Simulation            , Berekening                  , Simulación                           , Bereikening           ,
measurement   ,     , Measurement           , Meting                      , Medición                             , Meting                ,
difference    ,     , Difference            , Verschil                    , Diferencia                           , Vâhschil              ,
date          ,     , Date                  , Datum                       , Fecha                                , Datem                 ,
model         ,     , Model                 , Model                       , Modelo                               , Model                 ,
easting       ,  ^o , Easting               , Breedtegraad                , Este                                 , Breidtegraad          ,
northing      ,  ^o , Northing              , Hoogtegraad                 , Norte                                , Haugtegraad           ,
X             ,   m , X                     , X-RD                        , X                                    , X-Rèksdriehoekennet   ,
Y             ,   m , Y                     , Y-RD                        , Y                                    , Y-Rèksdriehoekennet   ,
O2           ,  mg/l, Dissolved Oxygen      , Zuurstof                    , Oxígeno disuelto                     , Zuâhstof              ,
stationname  ,      , Stationname           , Stationsnaam                , Lugar de medición                    , Stasionslaukasie      ,
station      ,      , Station               , Station                     , Lugar de medición                    , Stasionslaukasie      ,
analysis     ,      , Analysis              , Analyse                     , Análisis                             , Beoâhdeling           ,
period       ,      , Period                , Periode                     , Período                              , Periaude              ,
stn          ,      , Statistical numbers   , Statistische kentallen      , Cifras clave estadísticas            , Statistiese kentalle  ,
until        ,      , until                 , tot                         , -                                    , tot                   ,
mean         ,      , Mean                  , Gemiddelde                  , promedio                             , Ongeveâh              ,
highwaters   ,      , Highwaters            , Hoogwaters                  , Agua alta                            , Haugwategs            ,
lowwaters    ,      , Lowwaters             , Laagwaters                  , Agua baja                            , Laagwategs            ,
